[ 2026-03-27 18:41:40 | node_4 | INFO ] 🧩 Model added for round 97 (3/10) from ['node_1']
[ 2026-03-27 18:41:41 | node_2 | INFO ] 🧩 Model added for round 97 (4/9) from ['node_3']
[ 2026-03-27 18:41:41 | node_1 | INFO ] 🧩 Model added for round 97 (4/10) from ['node_2']
[ 2026-03-27 18:41:41 | node_5 | INFO ] 🧩 Model added for round 97 (2/9) from ['node_1']
[ 2026-03-27 18:41:41 | node_4 | INFO ] 🧩 Model added for round 97 (4/10) from ['node_3']
[ 2026-03-27 18:41:41 | node_3 | INFO ] 🧩 Model added for round 97 (4/9) from ['node_2']
[ 2026-03-27 18:41:41 | node_6 | INFO ] 🧩 Model added for round 97 (3/9) from ['node_1']
[ 2026-03-27 18:41:41 | node_5 | INFO ] 🧩 Model added for round 97 (3/9) from ['node_3']
[ 2026-03-27 18:41:41 | node_4 | INFO ] 🧩 Model added for round 97 (5/10) from ['node_2']
[ 2026-03-27 18:41:41 | node_7 | INFO ] 🧩 Model added for round 97 (3/9) from ['node_1']
[ 2026-03-27 18:41:41 | node_6 | INFO ] 🧩 Model added for round 97 (4/9) from ['node_3']
[ 2026-03-27 18:41:42 | node_5 | INFO ] 🧩 Model added for round 97 (4/9) from ['node_2']
[ 2026-03-27 18:41:42 | node_7 | INFO ] 🧩 Model added for round 97 (4/9) from ['node_3']
[ 2026-03-27 18:41:42 | node_8 | INFO ] 🧩 Model added for round 97 (2/7) from ['node_1']
[ 2026-03-27 18:41:42 | node_9 | INFO ] 🧩 Model added for round 97 (3/10) from ['node_3']
[ 2026-03-27 18:41:42 | node_9 | INFO ] 🧩 Model added for round 97 (4/10) from ['node_1']
[ 2026-03-27 18:41:42 | node_6 | INFO ] 🧩 Model added for round 97 (5/9) from ['node_2']
[ 2026-03-27 18:41:42 | node_5 | INFO ] 📤 Sending model to 8 direct neighbors: ['node_1', 'node_2', 'node_3', 'node_4', 'node_6', 'node_7', 'node_8', 'node_9']
[ 2026-03-27 18:41:42 | node_8 | INFO ] 🧩 Model added for round 97 (3/7) from ['node_2']
[ 2026-03-27 18:41:42 | node_1 | INFO ] 🧩 Model added for round 97 (5/10) from ['node_5']
