[ 2026-03-27 19:41:58 | node_5 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-27 19:41:58 | node_3 | INFO ] 🧩 Model added for round 97 (4/10) from ['node_1']
[ 2026-03-27 19:41:58 | node_5 | INFO ] ✅ [FORCE] Local model added for round 97. (3/10)
[ 2026-03-27 19:41:58 | node_4 | INFO ] 🧩 Model added for round 97 (4/10) from ['node_1']
[ 2026-03-27 19:41:58 | node_5 | INFO ] 🧩 Model added for round 97 (4/10) from ['node_1']
[ 2026-03-27 19:41:58 | node_2 | INFO ] 📤 Sending model to 7 direct neighbors: ['node_1', 'node_3', 'node_4', 'node_5', 'node_6', 'node_7', 'node_8']
[ 2026-03-27 19:41:58 | node_1 | INFO ] 🧩 Model added for round 97 (3/8) from ['node_2']
[ 2026-03-27 19:41:58 | node_8 | INFO ] 🧩 Model added for round 97 (4/10) from ['node_1']
[ 2026-03-27 19:41:58 | node_3 | INFO ] 🧩 Model added for round 97 (5/10) from ['node_2']
[ 2026-03-27 19:41:59 | node_9 | INFO ] 🧩 Model added for round 97 (2/8) from ['node_1']
[ 2026-03-27 19:41:59 | node_4 | INFO ] 🧩 Model added for round 97 (5/10) from ['node_2']
[ 2026-03-27 19:41:59 | node_5 | INFO ] 🧩 Model added for round 97 (5/10) from ['node_2']
[ 2026-03-27 19:41:59 | node_6 | INFO ] 🧩 Model added for round 97 (4/9) from ['node_2']
[ 2026-03-27 19:41:59 | node_7 | INFO ] 🧩 Model added for round 97 (2/8) from ['node_2']
[ 2026-03-27 19:41:59 | node_8 | INFO ] 🧩 Model added for round 97 (5/10) from ['node_2']
[ 2026-03-27 19:42:00 | node_3 | INFO ] 📤 Sending model to 9 direct neighbors: ['node', 'node_1', 'node_2', 'node_4', 'node_5', 'node_6', 'node_7', 'node_8', 'node_9']
[ 2026-03-27 19:42:00 | node_8 | INFO ] 📤 Sending model to 9 direct neighbors: ['node', 'node_1', 'node_2', 'node_3', 'node_4', 'node_5', 'node_6', 'node_7', 'node_9']
[ 2026-03-27 19:42:00 | node | INFO ] 🧩 Model added for round 97 (5/9) from ['node_3']
[ 2026-03-27 19:42:00 | node | INFO ] 🧩 Model added for round 97 (6/9) from ['node_8']
[ 2026-03-27 19:42:00 | node_1 | INFO ] 🧩 Model added for round 97 (4/8) from ['node_3']
[ 2026-03-27 19:42:00 | node_1 | INFO ] 🧩 Model added for round 97 (5/8) from ['node_8']
[ 2026-03-27 19:42:01 | node_2 | INFO ] 🧩 Model added for round 97 (4/8) from ['node_3']
[ 2026-03-27 19:42:01 | node_2 | INFO ] 🧩 Model added for round 97 (5/8) from ['node_8']
[ 2026-03-27 19:42:01 | node_4 | INFO ] 🧩 Model added for round 97 (6/10) from ['node_3']
[ 2026-03-27 19:42:01 | node_3 | INFO ] 🧩 Model added for round 97 (6/10) from ['node_8']
[ 2026-03-27 19:42:01 | node_4 | INFO ] 🧩 Model added for round 97 (7/10) from ['node_8']
[ 2026-03-27 19:42:01 | node_5 | INFO ] 🧩 Model added for round 97 (6/10) from ['node_3']
[ 2026-03-27 19:42:01 | node_5 | INFO ] 🧩 Model added for round 97 (7/10) from ['node_8']
[ 2026-03-27 19:42:01 | node_6 | INFO ] 🧩 Model added for round 97 (5/9) from ['node_3']
[ 2026-03-27 19:42:01 | node_6 | INFO ] 🧩 Model added for round 97 (6/9) from ['node_8']
[ 2026-03-27 19:42:01 | node_7 | INFO ] 🧩 Model added for round 97 (3/8) from ['node_3']
[ 2026-03-27 19:42:01 | node_4 | INFO ] 📤 Sending model to 9 direct neighbors: ['node', 'node_1', 'node_2', 'node_3', 'node_5', 'node_6', 'node_7', 'node_8', 'node_9']
[ 2026-03-27 19:42:01 | node_7 | INFO ] 🧩 Model added for round 97 (4/8) from ['node_8']
[ 2026-03-27 19:42:02 | node | INFO ] 🧩 Model added for round 97 (7/9) from ['node_4']
[ 2026-03-27 19:42:02 | node_8 | INFO ] 🧩 Model added for round 97 (6/10) from ['node_3']
[ 2026-03-27 19:42:02 | node_9 | INFO ] 🧩 Model added for round 97 (3/8) from ['node_8']
[ 2026-03-27 19:42:02 | node_1 | INFO ] 🧩 Model added for round 97 (6/8) from ['node_4']
[ 2026-03-27 19:42:02 | node_9 | INFO ] 🧩 Model added for round 97 (4/8) from ['node_3']
[ 2026-03-27 19:42:02 | node_6 | INFO ] 📤 Sending model to 8 direct neighbors: ['node', 'node_2', 'node_3', 'node_4', 'node_5', 'node_7', 'node_8', 'node_9']
[ 2026-03-27 19:42:02 | node_2 | INFO ] 🧩 Model added for round 97 (6/8) from ['node_4']
[ 2026-03-27 19:42:02 | node | INFO ] 🧩 Model added for round 97 (8/9) from ['node_6']
[ 2026-03-27 19:42:02 | node_3 | INFO ] 🧩 Model added for round 97 (7/10) from ['node_4']
[ 2026-03-27 19:42:02 | node_2 | INFO ] 🧩 Model added for round 97 (7/8) from ['node_6']
[ 2026-03-27 19:42:02 | node_5 | INFO ] 🧩 Model added for round 97 (8/10) from ['node_4']
[ 2026-03-27 19:42:02 | node | INFO ] 📤 Sending model to 8 direct neighbors: ['node_1', 'node_3', 'node_4', 'node_5', 'node_6', 'node_7', 'node_8', 'node_9']
[ 2026-03-27 19:42:02 | node_3 | INFO ] 🧩 Model added for round 97 (8/10) from ['node_6']
[ 2026-03-27 19:42:02 | node_1 | INFO ] 🧩 Model added for round 97 (7/8) from ['node']
[ 2026-03-27 19:42:02 | node_6 | INFO ] 🧩 Model added for round 97 (7/9) from ['node_4']
[ 2026-03-27 19:42:03 | node_4 | INFO ] 🧩 Model added for round 97 (8/10) from ['node_6']
[ 2026-03-27 19:42:03 | node_3 | INFO ] 🧩 Model added for round 97 (9/10) from ['node']
[ 2026-03-27 19:42:03 | node_7 | INFO ] 🧩 Model added for round 97 (5/8) from ['node_4']
[ 2026-03-27 19:42:03 | node_4 | INFO ] 🧩 Model added for round 97 (9/10) from ['node']
[ 2026-03-27 19:42:03 | node_5 | INFO ] 🧩 Model added for round 97 (9/10) from ['node_6']
[ 2026-03-27 19:42:03 | node_5 | INFO ] 📤 Sending model to 9 direct neighbors: ['node', 'node_1', 'node_2', 'node_3', 'node_4', 'node_6', 'node_7', 'node_8', 'node_9']
[ 2026-03-27 19:42:03 | node_8 | INFO ] 🧩 Model added for round 97 (7/10) from ['node_4']
[ 2026-03-27 19:42:03 | node | INFO ] 🧩 Model added for round 97 (9/9) from ['node_5']
[ 2026-03-27 19:42:03 | node_5 | INFO ] 🧩 Model added for round 97 (10/10) from ['node']
[ 2026-03-27 19:42:03 | node_7 | INFO ] 🧩 Model added for round 97 (6/8) from ['node_6']
[ 2026-03-27 19:42:03 | node_1 | INFO ] 🧩 Model added for round 97 (8/8) from ['node_5']
[ 2026-03-27 19:42:03 | node_9 | INFO ] 🧩 Model added for round 97 (5/8) from ['node_4']
[ 2026-03-27 19:42:03 | node_8 | INFO ] 🧩 Model added for round 97 (8/10) from ['node_6']
[ 2026-03-27 19:42:03 | node_6 | INFO ] 🧩 Model added for round 97 (8/9) from ['node']
[ 2026-03-27 19:42:03 | node_2 | INFO ] 🧩 Model added for round 97 (8/8) from ['node_5']
[ 2026-03-27 19:42:04 | node_1 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 19:42:04 | node_9 | INFO ] 🧩 Model added for round 97 (6/8) from ['node_6']
[ 2026-03-27 19:42:04 | node_2 | INFO ] 🧠 Aggregation complete. Setting new model.
