[ 2026-03-27 22:45:45 | node_1 | INFO ] 🧩 Model added for round 97 (2/8) from ['node_5']
[ 2026-03-27 22:45:45 | node_1 | INFO ] 🧩 Model added for round 97 (3/8) from ['node_6']
[ 2026-03-27 22:45:45 | node_1 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-27 22:45:45 | node_8 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-27 22:45:45 | node_8 | INFO ] 🔬 Evaluating...
[ 2026-03-27 22:45:45 | node_7 | INFO ] 🎉 Round 97 of 100 finished.
[ 2026-03-27 22:45:45 | node_7 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 10
[ 2026-03-27 22:45:45 | node_7 | INFO ] ♻️ Proactively processing 3 early models for round 97.
[ 2026-03-27 22:45:45 | node_7 | INFO ] 🧩 Model added for round 97 (1/10) from ['node_9']
[ 2026-03-27 22:45:45 | node_7 | INFO ] 🧩 Model added for round 97 (2/10) from ['node_5']
[ 2026-03-27 22:45:45 | node_7 | INFO ] 🧩 Model added for round 97 (3/10) from ['node_6']
[ 2026-03-27 22:45:45 | node_7 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-27 22:45:45 | node | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-27 22:45:45 | node | INFO ] 🔬 Evaluating...
[ 2026-03-27 22:45:45 | node_4 | INFO ] 🎉 Round 97 of 100 finished.
[ 2026-03-27 22:45:45 | node_4 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 10
[ 2026-03-27 22:45:45 | node_4 | INFO ] ♻️ Proactively processing 3 early models for round 97.
[ 2026-03-27 22:45:45 | node_4 | INFO ] 🧩 Model added for round 97 (1/9) from ['node_9']
[ 2026-03-27 22:45:45 | node_4 | INFO ] 🧩 Model added for round 97 (2/9) from ['node_5']
[ 2026-03-27 22:45:45 | node_4 | INFO ] 🧩 Model added for round 97 (3/9) from ['node_6']
[ 2026-03-27 22:45:45 | node_4 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-27 22:45:46 | node | INFO ] 📈 Evaluated. Results: {'test_loss': 0.06257219612598419, 'test_acc': 0.9898785352706909, 'test_precision': 0.8333333730697632, 'test_recall': 0.8291835188865662, 'test_f1': 0.8312216401100159, 'communication_cost': 33870564}
[ 2026-03-27 22:45:46 | node | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 22:45:46 | node_8 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.7170771360397339, 'test_acc': 0.9527637958526611, 'test_precision': 0.44269344210624695, 'test_recall': 0.4335179328918457, 'test_f1': 0.4369179308414459, 'communication_cost': 33870564}
[ 2026-03-27 22:45:46 | node_8 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 22:45:46 | node | INFO ] 🎉 Round 97 of 100 finished.
[ 2026-03-27 22:45:46 | node | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 10
[ 2026-03-27 22:45:46 | node | INFO ] ♻️ Proactively processing 3 early models for round 97.
[ 2026-03-27 22:45:46 | node | INFO ] 🧩 Model added for round 97 (1/10) from ['node_9']
[ 2026-03-27 22:45:46 | node | INFO ] 🧩 Model added for round 97 (2/10) from ['node_5']
[ 2026-03-27 22:45:46 | node | INFO ] 🧩 Model added for round 97 (3/10) from ['node_6']
[ 2026-03-27 22:45:46 | node | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-27 22:45:46 | node_2 | INFO ] 🎓 Training step done.
[ 2026-03-27 22:45:46 | node_2 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-27 22:45:46 | node_2 | INFO ] ✅ [FORCE] Local model added for round 97. (4/10)
[ 2026-03-27 22:45:46 | node_8 | INFO ] 🎉 Round 97 of 100 finished.
[ 2026-03-27 22:45:46 | node_8 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 10
[ 2026-03-27 22:45:46 | node_8 | INFO ] ♻️ Proactively processing 3 early models for round 97.
[ 2026-03-27 22:45:46 | node_8 | INFO ] 🧩 Model added for round 97 (1/10) from ['node_9']
[ 2026-03-27 22:45:46 | node_8 | INFO ] 🧩 Model added for round 97 (2/10) from ['node_5']
[ 2026-03-27 22:45:46 | node_8 | INFO ] 🧩 Model added for round 97 (3/10) from ['node_6']
[ 2026-03-27 22:45:46 | node_8 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-27 22:45:46 | node_3 | INFO ] 🎓 Training step done.
[ 2026-03-27 22:45:46 | node_3 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-27 22:45:46 | node_3 | INFO ] ✅ [FORCE] Local model added for round 97. (3/8)
[ 2026-03-27 22:45:47 | node_7 | INFO ] 🎓 Training step done.
[ 2026-03-27 22:45:47 | node_7 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-27 22:45:47 | node_7 | INFO ] ✅ [FORCE] Local model added for round 97. (4/10)
[ 2026-03-27 22:45:47 | node_4 | INFO ] 🎓 Training step done.
[ 2026-03-27 22:45:47 | node_4 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-27 22:45:47 | node_4 | INFO ] ✅ [FORCE] Local model added for round 97. (4/9)
[ 2026-03-27 22:45:48 | node_8 | INFO ] 🎓 Training step done.
[ 2026-03-27 22:45:48 | node_8 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-27 22:45:48 | node_8 | INFO ] ✅ [FORCE] Local model added for round 97. (4/10)
[ 2026-03-27 22:45:48 | node_1 | INFO ] 🎓 Training step done.
