[ 2026-03-27 21:44:05 | node_8 | INFO ] 🧩 Model added for round 97 (6/9) from ['node_3']
[ 2026-03-27 21:44:06 | node_4 | INFO ] 🎉 Round 97 of 100 finished.
[ 2026-03-27 21:44:06 | node_4 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 10
[ 2026-03-27 21:44:06 | node_4 | INFO ] ♻️ Proactively processing 7 early models for round 97.
[ 2026-03-27 21:44:06 | node_4 | INFO ] 🧩 Model added for round 97 (1/10) from ['node']
[ 2026-03-27 21:44:06 | node_4 | INFO ] 🧩 Model added for round 97 (2/10) from ['node_8']
[ 2026-03-27 21:44:06 | node_4 | INFO ] 🧩 Model added for round 97 (3/10) from ['node_1']
[ 2026-03-27 21:44:06 | node_4 | INFO ] 🧩 Model added for round 97 (4/10) from ['node_6']
[ 2026-03-27 21:44:06 | node_4 | INFO ] 🧩 Model added for round 97 (5/10) from ['node_3']
[ 2026-03-27 21:44:06 | node_4 | INFO ] 🧩 Model added for round 97 (6/10) from ['node_5']
[ 2026-03-27 21:44:06 | node_4 | INFO ] 🧩 Model added for round 97 (7/10) from ['node_2']
[ 2026-03-27 21:44:06 | node_4 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-27 21:44:06 | node_9 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-27 21:44:06 | node_9 | INFO ] 🔬 Evaluating...
[ 2026-03-27 21:44:06 | node_4 | INFO ] 🎓 Training step done.
[ 2026-03-27 21:44:06 | node_4 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-27 21:44:07 | node_4 | INFO ] ✅ [FORCE] Local model added for round 97. (8/10)
[ 2026-03-27 21:44:07 | node_9 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.4567294418811798, 'test_acc': 0.9495267868041992, 'test_precision': 0.37486857175827026, 'test_recall': 0.3416330814361572, 'test_f1': 0.3538546562194824, 'communication_cost': 30107168}
[ 2026-03-27 21:44:07 | node_9 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 21:44:07 | node_7 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-27 21:44:07 | node_7 | INFO ] 🔬 Evaluating...
[ 2026-03-27 21:44:07 | node_7 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.695717453956604, 'test_acc': 0.9614984393119812, 'test_precision': 0.4854379892349243, 'test_recall': 0.47208109498023987, 'test_f1': 0.47853392362594604, 'communication_cost': 30107168}
[ 2026-03-27 21:44:07 | node_7 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 21:44:07 | node_9 | INFO ] 🎉 Round 97 of 100 finished.
[ 2026-03-27 21:44:07 | node_9 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 10
[ 2026-03-27 21:44:07 | node_9 | INFO ] ♻️ Proactively processing 6 early models for round 97.
[ 2026-03-27 21:44:07 | node_9 | INFO ] 🧩 Model added for round 97 (1/9) from ['node']
[ 2026-03-27 21:44:07 | node_9 | INFO ] 🧩 Model added for round 97 (2/9) from ['node_8']
[ 2026-03-27 21:44:07 | node_9 | INFO ] 🧩 Model added for round 97 (3/9) from ['node_1']
[ 2026-03-27 21:44:07 | node_9 | INFO ] 🧩 Model added for round 97 (4/9) from ['node_6']
[ 2026-03-27 21:44:07 | node_9 | INFO ] 🧩 Model added for round 97 (5/9) from ['node_3']
[ 2026-03-27 21:44:07 | node_9 | INFO ] 🧩 Model added for round 97 (6/9) from ['node_2']
[ 2026-03-27 21:44:07 | node_9 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-27 21:44:08 | node_7 | INFO ] 🎉 Round 97 of 100 finished.
[ 2026-03-27 21:44:08 | node_7 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 10
[ 2026-03-27 21:44:08 | node_7 | INFO ] ♻️ Proactively processing 6 early models for round 97.
[ 2026-03-27 21:44:08 | node_7 | INFO ] 🧩 Model added for round 97 (1/9) from ['node']
[ 2026-03-27 21:44:08 | node_7 | INFO ] 🧩 Model added for round 97 (2/9) from ['node_1']
[ 2026-03-27 21:44:08 | node_7 | INFO ] 🧩 Model added for round 97 (3/9) from ['node_8']
[ 2026-03-27 21:44:08 | node_7 | INFO ] 🧩 Model added for round 97 (4/9) from ['node_3']
[ 2026-03-27 21:44:08 | node_7 | INFO ] 🧩 Model added for round 97 (5/9) from ['node_5']
[ 2026-03-27 21:44:08 | node_7 | INFO ] 🧩 Model added for round 97 (6/9) from ['node_2']
[ 2026-03-27 21:44:08 | node_7 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-27 21:44:09 | node_9 | INFO ] 🎓 Training step done.
[ 2026-03-27 21:44:09 | node_9 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-27 21:44:09 | node_9 | INFO ] ✅ [FORCE] Local model added for round 97. (7/9)
[ 2026-03-27 21:44:10 | node_7 | INFO ] 🎓 Training step done.
[ 2026-03-27 21:44:10 | node_7 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-27 21:44:11 | node_7 | INFO ] ✅ [FORCE] Local model added for round 97. (7/9)
[ 2026-03-27 21:44:12 | node_4 | INFO ] 📤 Sending model to 9 direct neighbors: ['node', 'node_1', 'node_2', 'node_3', 'node_5', 'node_6', 'node_7', 'node_8', 'node_9']
[ 2026-03-27 21:44:12 | node | INFO ] 🧩 Model added for round 97 (8/10) from ['node_4']
[ 2026-03-27 21:44:12 | node_1 | INFO ] 🧩 Model added for round 97 (6/8) from ['node_4']
[ 2026-03-27 21:44:12 | node_2 | INFO ] 🧩 Model added for round 97 (6/8) from ['node_4']
[ 2026-03-27 21:44:12 | node_3 | INFO ] 🧩 Model added for round 97 (8/10) from ['node_4']
[ 2026-03-27 21:44:13 | node_5 | INFO ] 🧩 Model added for round 97 (8/9) from ['node_4']
[ 2026-03-27 21:44:13 | node_6 | INFO ] 🧩 Model added for round 97 (7/8) from ['node_4']
[ 2026-03-27 21:44:13 | node_7 | INFO ] 🧩 Model added for round 97 (8/9) from ['node_4']
[ 2026-03-27 21:44:13 | node_8 | INFO ] 🧩 Model added for round 97 (7/9) from ['node_4']
[ 2026-03-27 21:44:14 | node_9 | INFO ] 🧩 Model added for round 97 (8/9) from ['node_4']
[ 2026-03-27 21:44:14 | node_9 | INFO ] 📤 Sending model to 8 direct neighbors: ['node', 'node_1', 'node_2', 'node_3', 'node_4', 'node_6', 'node_7', 'node_8']
