[ 2026-05-14 11:56:07 | node_34 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 11:56:07 | node_20 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-14 11:56:08 | node_38 | INFO ] 🤫 Gossip finished.
[ 2026-05-14 11:56:08 | node_20 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-14 11:56:08 | node_49 | INFO ] 🧩 Model added for round 93 (9/10) from ['node_43']
[ 2026-05-14 11:56:08 | node_38 | INFO ] 🔬 Evaluating...
[ 2026-05-14 11:56:08 | node_20 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 11:56:08 | node_35 | INFO ] 🎓 Training step done.
[ 2026-05-14 11:56:08 | node_44 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 11:56:08 | node_38 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.31130436062812805, 'test_acc': 0.9247311949729919, 'test_precision': 0.7289299368858337, 'test_recall': 0.6440294981002808, 'test_f1': 0.6772855520248413, 'communication_cost': 22582320}
[ 2026-05-14 11:56:09 | node_38 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 11:56:09 | node_21 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-14 11:56:09 | node_20 | INFO ] 🎓 Training step done.
[ 2026-05-14 11:56:09 | node_21 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-14 11:56:09 | node_47 | INFO ] 🤫 Gossip finished.
[ 2026-05-14 11:56:09 | node_21 | INFO ] ♻️ Proactively processing 2 early models for round 94.
[ 2026-05-14 11:56:09 | node_21 | INFO ] 🧩 Model added for round 94 (1/9) from ['node_3']
[ 2026-05-14 11:56:09 | node_45 | INFO ] 🧩 Model added for round 93 (6/6) from ['node_25']
[ 2026-05-14 11:56:09 | node_47 | INFO ] 🔬 Evaluating...
[ 2026-05-14 11:56:09 | node_21 | INFO ] 🧩 Model added for round 94 (2/9) from ['node_24']
[ 2026-05-14 11:56:10 | node_21 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 11:56:10 | node_34 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 11:56:10 | node_47 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.10057839751243591, 'test_acc': 0.9637096524238586, 'test_precision': 0.5994623899459839, 'test_recall': 0.5685641169548035, 'test_f1': 0.5803024768829346, 'communication_cost': 14113950}
[ 2026-05-14 11:56:10 | node_45 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 11:56:10 | node_47 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 11:56:11 | node_27 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-14 11:56:11 | node_37 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 11:56:11 | node_27 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
