[ 2026-03-30 02:38:15 | node_45 | INFO ] 📤 Sending model to 1 direct neighbors: ['node']
[ 2026-03-30 02:38:15 | node_39 | INFO ] 📤 Sending model to 1 direct neighbors: ['node']
[ 2026-03-30 02:38:15 | node_37 | INFO ] 📤 Sending model to 1 direct neighbors: ['node']
[ 2026-03-30 02:38:15 | node_47 | INFO ] 📤 Sending model to 1 direct neighbors: ['node']
[ 2026-03-30 02:38:15 | node_29 | INFO ] 📤 Sending model to 1 direct neighbors: ['node']
[ 2026-03-30 02:38:15 | node_48 | INFO ] 📤 Sending model to 1 direct neighbors: ['node']
[ 2026-03-30 02:38:15 | node_46 | INFO ] 📤 Sending model to 1 direct neighbors: ['node']
[ 2026-03-30 02:38:15 | node_2 | INFO ] 📤 Sending model to 1 direct neighbors: ['node']
[ 2026-03-30 02:38:15 | node | INFO ] 🧩 Model added for round 99 (20/50) from ['node_23']
[ 2026-03-30 02:38:15 | node | INFO ] 🧩 Model added for round 99 (21/50) from ['node_15']
[ 2026-03-30 02:38:15 | node | INFO ] 🧩 Model added for round 99 (22/50) from ['node_34']
[ 2026-03-30 02:38:15 | node | INFO ] 🧩 Model added for round 99 (23/50) from ['node_16']
[ 2026-03-30 02:38:15 | node | INFO ] 🧩 Model added for round 99 (24/50) from ['node_6']
[ 2026-03-30 02:38:15 | node | INFO ] 🧩 Model added for round 99 (25/50) from ['node_25']
[ 2026-03-30 02:38:15 | node | INFO ] 🧩 Model added for round 99 (26/50) from ['node_33']
[ 2026-03-30 02:38:15 | node | INFO ] 🧩 Model added for round 99 (27/50) from ['node_49']
[ 2026-03-30 02:38:15 | node | INFO ] 🧩 Model added for round 99 (28/50) from ['node_4']
[ 2026-03-30 02:38:15 | node | INFO ] 🧩 Model added for round 99 (29/50) from ['node_24']
[ 2026-03-30 02:38:15 | node | INFO ] 🧩 Model added for round 99 (30/50) from ['node_10']
[ 2026-03-30 02:38:15 | node | INFO ] 🧩 Model added for round 99 (31/50) from ['node_35']
[ 2026-03-30 02:38:15 | node | INFO ] 🧩 Model added for round 99 (32/50) from ['node_27']
[ 2026-03-30 02:38:16 | node | INFO ] 🧩 Model added for round 99 (33/50) from ['node_43']
[ 2026-03-30 02:38:16 | node | INFO ] 🧩 Model added for round 99 (34/50) from ['node_38']
[ 2026-03-30 02:38:16 | node | INFO ] 🧩 Model added for round 99 (35/50) from ['node_45']
[ 2026-03-30 02:38:16 | node | INFO ] 🧩 Model added for round 99 (36/50) from ['node_42']
[ 2026-03-30 02:38:16 | node | INFO ] 🧩 Model added for round 99 (37/50) from ['node_44']
[ 2026-03-30 02:38:16 | node | INFO ] 🧩 Model added for round 99 (38/50) from ['node_48']
[ 2026-03-30 02:38:16 | node | INFO ] 🧩 Model added for round 99 (39/50) from ['node_26']
[ 2026-03-30 02:38:16 | node | INFO ] 🧩 Model added for round 99 (40/50) from ['node_37']
[ 2026-03-30 02:38:16 | node | INFO ] 📤 Sending model to 49 direct neighbors: ['node_1', 'node_2', 'node_3', 'node_4', 'node_5', 'node_6', 'node_7', 'node_8', 'node_9', 'node_10', 'node_11', 'node_12', 'node_13', 'node_14', 'node_15', 'node_16', 'node_17', 'node_18', 'node_19', 'node_20', 'node_21', 'node_22', 'node_23', 'node_24', 'node_25', 'node_26', 'node_27', 'node_28', 'node_29', 'node_30', 'node_31', 'node_32', 'node_33', 'node_34', 'node_35', 'node_36', 'node_37', 'node_38', 'node_39', 'node_40', 'node_41', 'node_42', 'node_43', 'node_44', 'node_45', 'node_46', 'node_47', 'node_48', 'node_49']
[ 2026-03-30 02:38:16 | node | INFO ] 🧩 Model added for round 99 (41/50) from ['node_13']
[ 2026-03-30 02:38:16 | node | INFO ] 🧩 Model added for round 99 (42/50) from ['node_39']
[ 2026-03-30 02:38:16 | node | INFO ] 🧩 Model added for round 99 (43/50) from ['node_28']
[ 2026-03-30 02:38:16 | node | INFO ] 🧩 Model added for round 99 (44/50) from ['node_17']
[ 2026-03-30 02:38:16 | node | INFO ] 🧩 Model added for round 99 (45/50) from ['node_46']
[ 2026-03-30 02:38:16 | node | INFO ] 🧩 Model added for round 99 (46/50) from ['node_36']
[ 2026-03-30 02:38:16 | node | INFO ] 🧩 Model added for round 99 (47/50) from ['node_47']
[ 2026-03-30 02:38:16 | node | INFO ] 🧩 Model added for round 99 (48/50) from ['node_2']
[ 2026-03-30 02:38:16 | node | INFO ] 🧩 Model added for round 99 (49/50) from ['node_18']
[ 2026-03-30 02:38:16 | node | INFO ] 🧩 Model added for round 99 (50/50) from ['node_29']
[ 2026-03-30 02:38:16 | node_1 | INFO ] 🧩 Model added for round 99 (2/2) from ['node']
