[ 2026-03-28 23:06:48 | node_27 | INFO ] 🎉 Round 79 of 100 finished.
[ 2026-03-28 23:06:48 | node_27 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 10
[ 2026-03-28 23:06:48 | node_27 | INFO ] ⏳ Waiting aggregation.
[ 2026-03-28 23:06:48 | node_44 | INFO ] 🎉 Round 79 of 100 finished.
[ 2026-03-28 23:06:48 | node_44 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 10
[ 2026-03-28 23:06:48 | node_44 | INFO ] ⏳ Waiting aggregation.
[ 2026-03-28 23:11:45 | node_40 | WARNING ] ⏰ Aggregation timeout occurred.
[ 2026-03-28 23:11:45 | node_33 | WARNING ] ⏰ Aggregation timeout occurred.
[ 2026-03-28 23:11:45 | node_40 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-28 23:11:45 | node_33 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-28 23:11:45 | node_19 | INFO ] ✅ Aggregation event received.
[ 2026-03-28 23:11:45 | node_2 | INFO ] ✅ Aggregation event received.
[ 2026-03-28 23:11:45 | node_21 | INFO ] ✅ Aggregation event received.
[ 2026-03-28 23:11:45 | node_22 | INFO ] ✅ Aggregation event received.
[ 2026-03-28 23:11:45 | node_26 | WARNING ] ⏰ Aggregation timeout occurred.
[ 2026-03-28 23:11:45 | node_32 | WARNING ] ⏰ Aggregation timeout occurred.
[ 2026-03-28 23:11:45 | node_2 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-28 23:11:45 | node_26 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-28 23:11:45 | node_19 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-28 23:11:46 | node_32 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-28 23:11:46 | node_34 | INFO ] ✅ Aggregation event received.
[ 2026-03-28 23:11:46 | node_27 | INFO ] ✅ Aggregation event received.
[ 2026-03-28 23:11:46 | node_43 | WARNING ] ⏰ Aggregation timeout occurred.
[ 2026-03-28 23:11:46 | node_24 | WARNING ] ⏰ Aggregation timeout occurred.
[ 2026-03-28 23:11:46 | node_21 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-28 23:11:46 | node_42 | INFO ] ✅ Aggregation event received.
[ 2026-03-28 23:11:46 | node_22 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-28 23:11:46 | node_4 | INFO ] ✅ Aggregation event received.
[ 2026-03-28 23:11:46 | node_6 | INFO ] ✅ Aggregation event received.
[ 2026-03-28 23:11:46 | node_34 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-28 23:11:46 | node_34 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 23:11:46 | node_34 | INFO ] 🔬 Evaluating...
[ 2026-03-28 23:11:46 | node_9 | WARNING ] ⏰ Aggregation timeout occurred.
[ 2026-03-28 23:11:46 | node_43 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-28 23:11:46 | node_24 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-28 23:11:46 | node_36 | INFO ] ✅ Aggregation event received.
