[ 2026-03-27 14:12:21 | node_23 | INFO ] 🎓 Training step done.
[ 2026-03-27 14:12:21 | node_23 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-27 14:12:21 | node_23 | INFO ] ✅ [FORCE] Local model added for round 149. (11/14)
[ 2026-03-27 14:12:21 | node_16 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-27 14:12:21 | node_16 | INFO ] 🔬 Evaluating...
[ 2026-03-27 14:12:22 | node_20 | INFO ] 🧩 Model added for round 149 (11/11) from ['node_35']
[ 2026-03-27 14:12:22 | node_20 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 14:12:22 | node_16 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.003242494771257043, 'test_accuracy': 0.9919928312301636, 'test_precision': 0.2793576419353485, 'test_recall': 0.6972945332527161, 'test_f1': 0.3929542005062103, 'communication_cost': 4373448}
[ 2026-03-27 14:12:23 | node_16 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 14:12:23 | node_10 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-27 14:12:23 | node_20 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 14:12:23 | node_10 | INFO ] 🔬 Evaluating...
[ 2026-03-27 14:12:23 | node_21 | INFO ] 🧩 Model added for round 149 (6/7) from ['node_35']
[ 2026-03-27 14:12:24 | node_16 | INFO ] 🎉 Round 150 of 150 finished.
[ 2026-03-27 14:12:24 | node_16 | INFO ] 😋 Training finished!!
[ 2026-03-27 14:12:24 | node_46 | INFO ] 📤 Sending model to 8 direct neighbors: ['node_2', 'node_11', 'node_12', 'node_15', 'node_23', 'node_43', 'node_44', 'node_45']
[ 2026-03-27 14:12:24 | node_10 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.003979959525167942, 'test_accuracy': 0.9917228817939758, 'test_precision': 0.2040380835533142, 'test_recall': 0.5612964034080505, 'test_f1': 0.29381391406059265, 'communication_cost': 5102356}
[ 2026-03-27 14:12:24 | node_10 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 14:12:25 | node_23 | INFO ] 🧩 Model added for round 149 (12/14) from ['node_35']
[ 2026-03-27 14:12:25 | node_41 | INFO ] 📤 Sending model to 17 direct neighbors: ['node_3', 'node_4', 'node_6', 'node_11', 'node_14', 'node_17', 'node_19', 'node_22', 'node_23', 'node_28', 'node_30', 'node_33', 'node_39', 'node_43', 'node_44', 'node_45', 'node_48']
[ 2026-03-27 14:12:25 | node_2 | INFO ] 🧩 Model added for round 149 (9/9) from ['node_46']
[ 2026-03-27 14:12:25 | node_7 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-27 14:12:25 | node_7 | INFO ] 🔬 Evaluating...
[ 2026-03-27 14:12:26 | node_3 | INFO ] 🧩 Model added for round 149 (10/10) from ['node_41']
[ 2026-03-27 14:12:26 | node_23 | INFO ] 📤 Sending model to 13 direct neighbors: ['node_6', 'node_11', 'node_21', 'node_22', 'node_28', 'node_31', 'node_33', 'node_34', 'node_35', 'node_41', 'node_42', 'node_45', 'node_46']
[ 2026-03-27 14:12:26 | node_10 | INFO ] 🎉 Round 150 of 150 finished.
[ 2026-03-27 14:12:26 | node_10 | INFO ] 😋 Training finished!!
[ 2026-03-27 14:12:26 | node_31 | INFO ] 🧩 Model added for round 149 (9/10) from ['node_35']
[ 2026-03-27 14:12:27 | node_7 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.004753171931952238, 'test_accuracy': 0.9916329383850098, 'test_precision': 0.23395869135856628, 'test_recall': 0.4594440460205078, 'test_f1': 0.30470767617225647, 'communication_cost': 7289080}
[ 2026-03-27 14:12:27 | node_11 | INFO ] 🧩 Model added for round 149 (5/7) from ['node_46']
[ 2026-03-27 14:12:27 | node_7 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 14:12:27 | node_6 | INFO ] 🧩 Model added for round 149 (8/9) from ['node_23']
[ 2026-03-27 14:12:27 | node_4 | INFO ] 🧩 Model added for round 149 (7/7) from ['node_41']
[ 2026-03-27 14:12:27 | node_2 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 14:12:27 | node_13 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-27 14:12:27 | node_13 | INFO ] 🔬 Evaluating...
[ 2026-03-27 14:12:28 | node_8 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-27 14:12:28 | node_25 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-27 14:12:28 | node_8 | INFO ] 🔬 Evaluating...
