[ 2026-03-27 19:43:33 | node_9 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 19:43:33 | node_10 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-27 19:43:33 | node_9 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 19:43:33 | node_11 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-27 19:43:33 | node_10 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 19:43:33 | node_10 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 19:43:33 | node_11 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 19:43:33 | node_12 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-27 19:43:33 | node_11 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 19:43:33 | node_12 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 19:43:33 | node_13 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-27 19:43:34 | node_12 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 19:43:34 | node_14 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-27 19:43:34 | node_13 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 19:43:34 | node_13 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 19:43:34 | node_14 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 19:43:34 | node_15 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-27 19:43:34 | node_14 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 19:43:34 | node_16 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-27 19:43:34 | node_15 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 19:43:34 | node_15 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 19:43:34 | node_17 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-27 19:43:34 | node_16 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 19:43:34 | node_16 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 19:43:34 | node_17 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 19:43:34 | node_18 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-27 19:43:34 | node_17 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 19:43:34 | node_19 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-27 19:43:34 | node_18 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 19:43:34 | node_18 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 19:43:34 | node_20 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-27 19:43:34 | node_19 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 19:43:34 | node_19 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 19:43:34 | node_21 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-27 19:43:34 | node_20 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 19:43:34 | node_20 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 19:43:34 | node_22 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-27 19:43:34 | node_21 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 19:43:34 | node_21 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 19:43:34 | node_22 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 19:43:34 | node_23 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-27 19:43:34 | node_22 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 19:43:34 | node_24 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-27 19:43:34 | node_23 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 19:43:34 | node_23 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 19:43:34 | node_25 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-27 19:43:34 | node_24 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 19:43:34 | node_24 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 19:43:35 | node_26 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-27 19:43:35 | node_26 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 19:43:35 | node_27 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-27 19:43:35 | node_25 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 19:43:35 | node_26 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 19:43:35 | node_25 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 19:43:35 | node_27 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 19:43:35 | node_28 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-27 19:43:35 | node_27 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 19:43:35 | node_28 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 19:43:35 | node_29 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-27 19:43:35 | node_28 | INFO ] 🗣️ Gossiping aggregated model.
