[ 2026-03-27 17:49:27 | node_37 | INFO ] 🧩 Model added for round 141 (2/11) from ['node_18']
[ 2026-03-27 17:49:27 | node_5 | INFO ] 🧩 Model added for round 141 (2/7) from ['node_19']
[ 2026-03-27 17:49:27 | node_12 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-27 17:49:27 | node_24 | INFO ] 📤 Sending model to 6 direct neighbors: ['node_3', 'node_10', 'node_21', 'node_30', 'node_32', 'node_45']
[ 2026-03-27 17:49:27 | node_27 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-27 17:49:27 | node_26 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-27 17:49:27 | node_12 | INFO ] 🔬 Evaluating...
[ 2026-03-27 17:49:27 | node_27 | INFO ] 🔬 Evaluating...
[ 2026-03-27 17:49:27 | node_26 | INFO ] 🔬 Evaluating...
[ 2026-03-27 17:49:27 | node_6 | INFO ] 🎉 Round 141 of 150 finished.
[ 2026-03-27 17:49:27 | node_49 | INFO ] 📤 Sending model to 7 direct neighbors: ['node_4', 'node_8', 'node_20', 'node_30', 'node_37', 'node_39', 'node_44']
[ 2026-03-27 17:49:27 | node_3 | INFO ] 🧩 Model added for round 141 (5/12) from ['node_24']
[ 2026-03-27 17:49:27 | node_6 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-27 17:49:27 | node_13 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-27 17:49:27 | node_37 | INFO ] 🧩 Model added for round 141 (3/11) from ['node_4']
[ 2026-03-27 17:49:27 | node_46 | INFO ] 🎓 Training step done.
[ 2026-03-27 17:49:27 | node_46 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-27 17:49:27 | node_30 | INFO ] 🎓 Training step done.
[ 2026-03-27 17:49:27 | node_6 | INFO ] ♻️ Proactively processing 2 early models for round 141.
[ 2026-03-27 17:49:27 | node_13 | INFO ] 🔬 Evaluating...
[ 2026-03-27 17:49:27 | node_46 | INFO ] ✅ [FORCE] Local model added for round 141. (2/10)
[ 2026-03-27 17:49:27 | node_30 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-27 17:49:27 | node_6 | INFO ] 🧩 Model added for round 141 (1/10) from ['node']
[ 2026-03-27 17:49:27 | node_4 | INFO ] 🧩 Model added for round 141 (2/7) from ['node_49']
[ 2026-03-27 17:49:27 | node_23 | INFO ] 📤 Sending model to 6 direct neighbors: ['node_11', 'node_12', 'node_15', 'node_16', 'node_35', 'node_40']
[ 2026-03-27 17:49:27 | node_22 | INFO ] 🎉 Round 141 of 150 finished.
[ 2026-03-27 17:49:28 | node_30 | INFO ] ✅ [FORCE] Local model added for round 141. (2/7)
[ 2026-03-27 17:49:28 | node_6 | INFO ] 🧩 Model added for round 141 (2/10) from ['node_14']
[ 2026-03-27 17:49:28 | node_6 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-27 17:49:28 | node_22 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-27 17:49:28 | node_44 | INFO ] 🎓 Training step done.
[ 2026-03-27 17:49:28 | node_44 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-27 17:49:28 | node_38 | INFO ] 📤 Sending model to 7 direct neighbors: ['node_2', 'node_6', 'node_13', 'node_17', 'node_25', 'node_29', 'node_44']
[ 2026-03-27 17:49:28 | node_16 | INFO ] 📤 Sending model to 9 direct neighbors: ['node_10', 'node_12', 'node_17', 'node_23', 'node_26', 'node_27', 'node_33', 'node_43', 'node_45']
[ 2026-03-27 17:49:28 | node_22 | INFO ] ♻️ Proactively processing 1 early models for round 141.
[ 2026-03-27 17:49:28 | node_22 | INFO ] 🧩 Model added for round 141 (1/8) from ['node_3']
[ 2026-03-27 17:49:28 | node_22 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-27 17:49:28 | node_44 | INFO ] ✅ [FORCE] Local model added for round 141. (1/8)
[ 2026-03-27 17:49:28 | node_42 | INFO ] 📤 Sending model to 6 direct neighbors: ['node_1', 'node_15', 'node_20', 'node_22', 'node_45', 'node_47']
[ 2026-03-27 17:49:28 | node_11 | INFO ] 🧩 Model added for round 141 (3/8) from ['node_23']
[ 2026-03-27 17:49:28 | node_6 | INFO ] 🧩 Model added for round 141 (3/10) from ['node_19']
[ 2026-03-27 17:49:28 | node_10 | INFO ] 🧩 Model added for round 141 (2/10) from ['node_16']
[ 2026-03-27 17:49:28 | node_29 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-27 17:49:28 | node_46 | INFO ] 🧩 Model added for round 141 (3/10) from ['node_18']
[ 2026-03-27 17:49:28 | node_10 | INFO ] 🎓 Training step done.
