[ 2026-03-27 10:30:46 | node_35 | INFO ] ✅ [FORCE] Local model added for round 96. (1/12)
[ 2026-03-27 10:30:46 | node_22 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 10:30:46 | node_28 | INFO ] 🧩 Model added for round 95 (8/8) from ['node_31']
[ 2026-03-27 10:30:46 | node_1 | INFO ] 🎓 Training step done.
[ 2026-03-27 10:30:46 | node_1 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-27 10:30:46 | node_1 | INFO ] ✅ [FORCE] Local model added for round 96. (4/11)
[ 2026-03-27 10:30:46 | node_30 | INFO ] 🧩 Model added for round 96 (3/7) from ['node_8']
[ 2026-03-27 10:30:46 | node_24 | INFO ] 🎓 Training step done.
[ 2026-03-27 10:30:46 | node_25 | INFO ] 🧩 Model added for round 96 (4/9) from ['node_4']
[ 2026-03-27 10:30:46 | node_24 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-27 10:30:46 | node_24 | INFO ] ✅ [FORCE] Local model added for round 96. (1/11)
[ 2026-03-27 10:30:46 | node_28 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 10:30:46 | node_36 | INFO ] 📤 Sending model to 8 direct neighbors: ['node_4', 'node_7', 'node_8', 'node_11', 'node_14', 'node_23', 'node_40', 'node_44']
[ 2026-03-27 10:30:46 | node_35 | INFO ] 🧩 Model added for round 96 (2/12) from ['node_2']
[ 2026-03-27 10:30:47 | node_26 | INFO ] 📤 Sending model to 8 direct neighbors: ['node_6', 'node_15', 'node_23', 'node_27', 'node_35', 'node_43', 'node_47', 'node_49']
[ 2026-03-27 10:30:47 | node_26 | INFO ] 🧩 Model added for round 96 (2/9) from ['node_23']
[ 2026-03-27 10:30:47 | node_9 | INFO ] 🧩 Model added for round 96 (3/10) from ['node_17']
[ 2026-03-27 10:30:47 | node_40 | INFO ] 🎓 Training step done.
[ 2026-03-27 10:30:47 | node_27 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_25', 'node_26', 'node_35', 'node_45']
[ 2026-03-27 10:30:47 | node_40 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-27 10:30:47 | node_14 | INFO ] 🧩 Model added for round 96 (3/9) from ['node_13']
[ 2026-03-27 10:30:47 | node_42 | INFO ] 🧩 Model added for round 96 (2/11) from ['node_9']
[ 2026-03-27 10:30:47 | node_25 | INFO ] 📤 Sending model to 8 direct neighbors: ['node_4', 'node_9', 'node_12', 'node_13', 'node_14', 'node_15', 'node_27', 'node_29']
[ 2026-03-27 10:30:47 | node_40 | INFO ] ✅ [FORCE] Local model added for round 96. (4/9)
[ 2026-03-27 10:30:47 | node_4 | INFO ] 🧩 Model added for round 96 (4/8) from ['node_36']
[ 2026-03-27 10:30:47 | node_37 | INFO ] 🎉 Round 96 of 150 finished.
[ 2026-03-27 10:30:47 | node_25 | INFO ] 🧩 Model added for round 96 (5/9) from ['node_14']
[ 2026-03-27 10:30:47 | node_25 | INFO ] 🧩 Model added for round 96 (6/9) from ['node_27']
[ 2026-03-27 10:30:47 | node_37 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-27 10:30:47 | node_4 | INFO ] 🧩 Model added for round 96 (5/8) from ['node_25']
[ 2026-03-27 10:30:47 | node_36 | INFO ] 🧩 Model added for round 96 (3/9) from ['node_8']
[ 2026-03-27 10:30:47 | node_33 | INFO ] 🧩 Model added for round 95 (7/7) from ['node_31']
[ 2026-03-27 10:30:47 | node_37 | INFO ] ♻️ Proactively processing 2 early models for round 96.
[ 2026-03-27 10:30:47 | node_37 | INFO ] 🧩 Model added for round 96 (1/12) from ['node_30']
[ 2026-03-27 10:30:47 | node_37 | INFO ] 🧩 Model added for round 96 (2/12) from ['node_9']
[ 2026-03-27 10:30:47 | node_28 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 10:30:47 | node_15 | INFO ] 🧩 Model added for round 96 (4/9) from ['node_26']
[ 2026-03-27 10:30:47 | node_37 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-27 10:30:48 | node_42 | INFO ] 📤 Sending model to 10 direct neighbors: ['node_6', 'node_8', 'node_9', 'node_17', 'node_21', 'node_22', 'node_23', 'node_24', 'node_44', 'node_47']
[ 2026-03-27 10:30:48 | node_30 | INFO ] 🧩 Model added for round 96 (4/7) from ['node_4']
[ 2026-03-27 10:30:48 | node_33 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 10:30:48 | node_23 | INFO ] 🧩 Model added for round 96 (4/10) from ['node_13']
[ 2026-03-27 10:30:48 | node_44 | INFO ] 🧩 Model added for round 96 (3/10) from ['node_2']
[ 2026-03-27 10:30:48 | node_34 | INFO ] 🧩 Model added for round 96 (3/6) from ['node_23']
[ 2026-03-27 10:30:48 | node_9 | INFO ] 🧩 Model added for round 96 (4/10) from ['node_25']
[ 2026-03-27 10:30:48 | node_8 | INFO ] 🧩 Model added for round 96 (5/9) from ['node_42']
[ 2026-03-27 10:30:48 | node_39 | INFO ] 🧩 Model added for round 95 (7/7) from ['node_31']
