[ 2026-03-28 05:00:30 | node_31 | INFO ] 🧩 Model added for round 144 (1/11) from ['node_15']
[ 2026-03-28 05:00:30 | node_39 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-28 05:00:30 | node_6 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-28 05:00:30 | node_31 | INFO ] 🧩 Model added for round 144 (2/11) from ['node_19']
[ 2026-03-28 05:00:30 | node_27 | INFO ] 🧩 Model added for round 144 (3/7) from ['node_11']
[ 2026-03-28 05:00:31 | node_9 | INFO ] 🧩 Model added for round 144 (5/6) from ['node_26']
[ 2026-03-28 05:00:31 | node | INFO ] 🧩 Model added for round 144 (6/10) from ['node_1']
[ 2026-03-28 05:00:31 | node_31 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-28 05:00:31 | node_26 | INFO ] 🧩 Model added for round 144 (6/8) from ['node_48']
[ 2026-03-28 05:00:31 | node_39 | INFO ] 🔬 Evaluating...
[ 2026-03-28 05:00:31 | node_6 | INFO ] 🔬 Evaluating...
[ 2026-03-28 05:00:31 | node_30 | INFO ] 🧩 Model added for round 144 (9/12) from ['node_24']
[ 2026-03-28 05:00:31 | node_27 | INFO ] 🧩 Model added for round 144 (4/7) from ['node_13']
[ 2026-03-28 05:00:31 | node_43 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_accuracy': 0.9963109493255615, 'test_precision': 0.0, 'test_recall': 0.0, 'test_f1': 0.0, 'communication_cost': 1642248}
[ 2026-03-28 05:00:31 | node_47 | INFO ] 🧩 Model added for round 144 (2/6) from ['node_30']
[ 2026-03-28 05:00:31 | node_43 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-28 05:00:31 | node_37 | INFO ] 📤 Sending model to 9 direct neighbors: ['node_1', 'node_6', 'node_12', 'node_21', 'node_26', 'node_32', 'node_34', 'node_38', 'node_48']
[ 2026-03-28 05:00:32 | node_21 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_accuracy': 0.9965808987617493, 'test_precision': 0.0, 'test_recall': 0.0, 'test_f1': 0.0, 'communication_cost': 1642248}
[ 2026-03-28 05:00:32 | node_21 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-28 05:00:32 | node_45 | INFO ] 🧩 Model added for round 144 (3/5) from ['node_14']
[ 2026-03-28 05:00:32 | node_42 | INFO ] 🧩 Model added for round 144 (3/7) from ['node_3']
[ 2026-03-28 05:00:32 | node_14 | INFO ] 🧩 Model added for round 144 (7/9) from ['node_26']
[ 2026-03-28 05:00:32 | node_30 | INFO ] 🧩 Model added for round 144 (10/12) from ['node_48']
[ 2026-03-28 05:00:32 | node_31 | INFO ] 🧩 Model added for round 144 (3/11) from ['node_11']
[ 2026-03-28 05:00:32 | node_10 | INFO ] 🧩 Model added for round 144 (2/6) from ['node_25']
[ 2026-03-28 05:00:32 | node_27 | INFO ] 🎓 Training step done.
[ 2026-03-28 05:00:32 | node_1 | INFO ] 🧩 Model added for round 144 (3/7) from ['node_37']
[ 2026-03-28 05:00:32 | node_6 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_accuracy': 0.9965811967849731, 'test_precision': 0.0, 'test_recall': 0.0, 'test_f1': 0.0, 'communication_cost': 1459776}
[ 2026-03-28 05:00:32 | node_28 | INFO ] 🎉 Round 144 of 150 finished.
[ 2026-03-28 05:00:32 | node_27 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-28 05:00:32 | node_35 | INFO ] 🧩 Model added for round 144 (3/5) from ['node_32']
[ 2026-03-28 05:00:32 | node_39 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_accuracy': 0.9947813749313354, 'test_precision': 0.0, 'test_recall': 0.0, 'test_f1': 0.0, 'communication_cost': 2007192}
[ 2026-03-28 05:00:32 | node_48 | INFO ] 🧩 Model added for round 144 (3/13) from ['node_30']
[ 2026-03-28 05:00:32 | node_6 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-28 05:00:32 | node_27 | INFO ] ✅ [FORCE] Local model added for round 144. (5/7)
[ 2026-03-28 05:00:32 | node_39 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-28 05:00:32 | node_45 | INFO ] 🧩 Model added for round 144 (4/5) from ['node_34']
[ 2026-03-28 05:00:32 | node_38 | INFO ] 🎉 Round 144 of 150 finished.
[ 2026-03-28 05:00:32 | node_28 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-28 05:00:32 | node_38 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-28 05:00:32 | node_28 | INFO ] ♻️ Proactively processing 3 early models for round 144.
[ 2026-03-28 05:00:32 | node_25 | INFO ] 🧩 Model added for round 144 (3/8) from ['node_8']
[ 2026-03-28 05:00:32 | node_28 | INFO ] 🧩 Model added for round 144 (1/8) from ['node_12']
[ 2026-03-28 05:00:32 | node_38 | INFO ] ♻️ Proactively processing 3 early models for round 144.
[ 2026-03-28 05:00:32 | node_28 | INFO ] 🧩 Model added for round 144 (2/8) from ['node_3']
[ 2026-03-28 05:00:32 | node_42 | INFO ] 📤 Sending model to 6 direct neighbors: ['node_3', 'node_7', 'node_22', 'node_38', 'node_24', 'node_30']
[ 2026-03-28 05:00:32 | node_38 | INFO ] 🧩 Model added for round 144 (1/11) from ['node_12']
[ 2026-03-28 05:00:32 | node_22 | INFO ] 🎓 Training step done.
[ 2026-03-28 05:00:32 | node_28 | INFO ] 🧩 Model added for round 144 (3/8) from ['node_23']
[ 2026-03-28 05:00:32 | node_31 | INFO ] 🧩 Model added for round 144 (4/11) from ['node_1']
[ 2026-03-28 05:00:32 | node_38 | INFO ] 🧩 Model added for round 144 (2/11) from ['node_15']
[ 2026-03-28 05:00:32 | node_22 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-28 05:00:32 | node_28 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-28 05:00:32 | node_38 | INFO ] 🧩 Model added for round 144 (3/11) from ['node_17']
[ 2026-03-28 05:00:33 | node_22 | INFO ] ✅ [FORCE] Local model added for round 144. (3/9)
[ 2026-03-28 05:00:33 | node_44 | INFO ] 📤 Sending model to 8 direct neighbors: ['node_1', 'node_2', 'node_7', 'node_10', 'node_14', 'node_36', 'node_43', 'node_48']
[ 2026-03-28 05:00:33 | node_42 | INFO ] 🧩 Model added for round 144 (4/7) from ['node_24']
[ 2026-03-28 05:00:33 | node_38 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-28 05:00:33 | node_3 | INFO ] 🧩 Model added for round 144 (7/12) from ['node_42']
[ 2026-03-28 05:00:33 | node_31 | INFO ] 🎓 Training step done.
[ 2026-03-28 05:00:33 | node_27 | INFO ] 🧩 Model added for round 144 (6/7) from ['node_25']
[ 2026-03-28 05:00:33 | node_31 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-28 05:00:33 | node_29 | INFO ] 📤 Sending model to 8 direct neighbors: ['node_2', 'node_17', 'node_18', 'node_20', 'node_22', 'node_30', 'node_36', 'node_49']
[ 2026-03-28 05:00:33 | node_31 | INFO ] ✅ [FORCE] Local model added for round 144. (5/11)
[ 2026-03-28 05:00:33 | node_7 | INFO ] 📤 Sending model to 12 direct neighbors: ['node_2', 'node_3', 'node_4', 'node_5', 'node_17', 'node_20', 'node_21', 'node_22', 'node_28', 'node_36', 'node_42', 'node_44']
[ 2026-03-28 05:00:33 | node_1 | INFO ] 🧩 Model added for round 144 (4/7) from ['node_44']
[ 2026-03-28 05:00:33 | node_48 | INFO ] 🧩 Model added for round 144 (4/13) from ['node_3']
[ 2026-03-28 05:00:33 | node_37 | INFO ] 🧩 Model added for round 144 (4/10) from ['node_32']
[ 2026-03-28 05:00:33 | node_17 | INFO ] 🧩 Model added for round 144 (7/12) from ['node_26']
[ 2026-03-28 05:00:33 | node_2 | INFO ] 🧩 Model added for round 144 (3/6) from ['node_29']
