[ 2026-05-14 15:32:02 | node_45 | INFO ] 🧩 Model added for round 93 (11/12) from ['node_21']
[ 2026-05-14 15:32:02 | node_19 | INFO ] 🔬 Evaluating...
[ 2026-05-14 15:32:02 | node_40 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 15:32:02 | node_1 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-14 15:32:02 | node_19 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.04519699513912201, 'test_acc': 0.9851852059364319, 'test_precision': 0.8261728882789612, 'test_recall': 0.8083950281143188, 'test_f1': 0.8167829513549805, 'communication_cost': 14113950}
[ 2026-05-14 15:32:02 | node_1 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-14 15:32:03 | node_19 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 15:32:03 | node_1 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 15:32:03 | node_41 | INFO ] 🧩 Model added for round 93 (8/9) from ['node_4']
[ 2026-05-14 15:32:03 | node_48 | INFO ] 🧩 Model added for round 93 (9/11) from ['node_39']
[ 2026-05-14 15:32:03 | node_31 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-14 15:32:03 | node_31 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-14 15:32:03 | node_42 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-14 15:32:03 | node_31 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 15:32:03 | node_42 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-14 15:32:03 | node_14 | INFO ] 🧩 Model added for round 93 (8/8) from ['node_3']
[ 2026-05-14 15:32:03 | node_1 | INFO ] 🎓 Training step done.
[ 2026-05-14 15:32:04 | node_42 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 15:32:04 | node_8 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 15:32:04 | node_14 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 15:32:04 | node_31 | INFO ] 🎓 Training step done.
[ 2026-05-14 15:32:04 | node_48 | INFO ] 🧩 Model added for round 93 (10/11) from ['node_21']
[ 2026-05-14 15:32:05 | node_42 | INFO ] 🎓 Training step done.
[ 2026-05-14 15:32:05 | node_45 | INFO ] 🧩 Model added for round 93 (12/12) from ['node_4']
[ 2026-05-14 15:32:05 | node_17 | INFO ] 🧩 Model added for round 93 (7/7) from ['node_3']
[ 2026-05-14 15:32:06 | node_14 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 15:32:06 | node_12 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-14 15:32:06 | node_12 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-14 15:32:06 | node_17 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 15:32:06 | node_45 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 15:32:06 | node_12 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 15:32:06 | node_19 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-14 15:32:06 | node_19 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-14 15:32:07 | node_19 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 15:32:07 | node_12 | INFO ] 🎓 Training step done.
[ 2026-05-14 15:32:07 | node_21 | INFO ] 🧩 Model added for round 93 (10/10) from ['node_3']
[ 2026-05-14 15:32:07 | node_17 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 15:32:07 | node_18 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-05-14 15:32:07 | node_19 | INFO ] 🎓 Training step done.
[ 2026-05-14 15:32:08 | node_21 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 15:32:08 | node_18 | INFO ] 🔬 Evaluating...
[ 2026-05-14 15:32:08 | node_4 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 15:32:08 | node_18 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.08092200011014938, 'test_acc': 0.9714285731315613, 'test_precision': 0.8405895233154297, 'test_recall': 0.823072612285614, 'test_f1': 0.8303461074829102, 'communication_cost': 16936740}
[ 2026-05-14 15:32:08 | node_45 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 15:32:08 | node_18 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 15:32:09 | node_1 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 15:32:09 | node_1 | INFO ] ✅ [FORCE] Local model added for round 94. (1/8)
[ 2026-05-14 15:32:09 | node_1 | INFO ] 📤 Sending model to 7 direct neighbors: ['node_6', 'node_14', 'node_15', 'node_23', 'node_30', 'node_31', 'node_46']
[ 2026-05-14 15:32:09 | node_26 | INFO ] 🧩 Model added for round 93 (11/11) from ['node_3']
[ 2026-05-14 15:32:09 | node_31 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 15:32:09 | node_21 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 15:32:09 | node_31 | INFO ] ✅ [FORCE] Local model added for round 94. (1/6)
[ 2026-05-14 15:32:10 | node_31 | INFO ] 📤 Sending model to 5 direct neighbors: ['node_1', 'node_14', 'node_26', 'node_41', 'node_49']
[ 2026-05-14 15:32:10 | node_42 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 15:32:10 | node_7 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-05-14 15:32:10 | node_42 | INFO ] ✅ [FORCE] Local model added for round 94. (1/4)
[ 2026-05-14 15:32:10 | node_4 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 15:32:10 | node_42 | INFO ] 📤 Sending model to 3 direct neighbors: ['node_5', 'node_38', 'node_49']
[ 2026-05-14 15:32:10 | node_7 | INFO ] 🔬 Evaluating...
[ 2026-05-14 15:32:10 | node_36 | INFO ] 🤫 Gossip finished.
[ 2026-05-14 15:32:10 | node_1 | INFO ] 🧩 Model added for round 94 (2/8) from ['node_31']
[ 2026-05-14 15:32:10 | node_26 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 15:32:10 | node_36 | INFO ] 🔬 Evaluating...
[ 2026-05-14 15:32:11 | node_7 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.11820641160011292, 'test_acc': 0.9638158082962036, 'test_precision': 0.7894737124443054, 'test_recall': 0.7771927714347839, 'test_f1': 0.7829359769821167, 'communication_cost': 14113950}
[ 2026-05-14 15:32:11 | node_7 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 15:32:11 | node_36 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.09035538882017136, 'test_acc': 0.9734042286872864, 'test_precision': 0.9034001231193542, 'test_recall': 0.9079391956329346, 'test_f1': 0.9046627879142761, 'communication_cost': 19759530}
[ 2026-05-14 15:32:11 | node_36 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 15:32:12 | node_16 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-05-14 15:32:12 | node_16 | INFO ] 🔬 Evaluating...
[ 2026-05-14 15:32:12 | node_12 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 15:32:12 | node_12 | INFO ] ✅ [FORCE] Local model added for round 94. (1/7)
[ 2026-05-14 15:32:12 | node_12 | INFO ] 📤 Sending model to 6 direct neighbors: ['node_27', 'node_45', 'node_46', 'node_47', 'node_48', 'node_49']
[ 2026-05-14 15:32:12 | node_31 | INFO ] 🧩 Model added for round 94 (2/6) from ['node_1']
[ 2026-05-14 15:32:13 | node_9 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-05-14 15:32:13 | node_16 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.20923849940299988, 'test_acc': 0.9487179517745972, 'test_precision': 0.7750727534294128, 'test_recall': 0.7633571028709412, 'test_f1': 0.766147255897522, 'communication_cost': 11291160}
[ 2026-05-14 15:32:13 | node_19 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 15:32:13 | node_33 | INFO ] 🧩 Model added for round 93 (10/10) from ['node_3']
[ 2026-05-14 15:32:13 | node_19 | INFO ] ✅ [FORCE] Local model added for round 94. (1/6)
[ 2026-05-14 15:32:13 | node_16 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 15:32:13 | node_9 | INFO ] 🔬 Evaluating...
[ 2026-05-14 15:32:13 | node_19 | INFO ] 📤 Sending model to 5 direct neighbors: ['node', 'node_18', 'node_22', 'node_25', 'node_27']
[ 2026-05-14 15:32:14 | node_26 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 15:32:14 | node_9 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.2036874145269394, 'test_acc': 0.9501661062240601, 'test_precision': 0.6578863859176636, 'test_recall': 0.6240779757499695, 'test_f1': 0.6386452913284302, 'communication_cost': 22582320}
[ 2026-05-14 15:32:14 | node_33 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 15:32:14 | node_9 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 15:32:15 | node_18 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-14 15:32:15 | node | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-05-14 15:32:16 | node_18 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-14 15:32:16 | node | INFO ] 🔬 Evaluating...
[ 2026-05-14 15:32:16 | node_18 | INFO ] ♻️ Proactively processing 1 early models for round 94.
[ 2026-05-14 15:32:16 | node_18 | INFO ] 🧩 Model added for round 94 (1/7) from ['node_19']
[ 2026-05-14 15:32:16 | node_27 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
