[ 2026-05-15 12:05:36 | node_3 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-15 12:05:36 | node_17 | INFO ] ✅ [FORCE] Local model added for round 94. (1/8)
[ 2026-05-15 12:05:36 | node_48 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-15 12:05:36 | node_49 | INFO ] 🤫 Gossip finished.
[ 2026-05-15 12:05:36 | node_17 | INFO ] 📤 Sending model to 7 direct neighbors: ['node', 'node_6', 'node_10', 'node_12', 'node_13', 'node_26', 'node_30']
[ 2026-05-15 12:05:36 | node_34 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-15 12:05:37 | node_49 | INFO ] 🔬 Evaluating...
[ 2026-05-15 12:05:37 | node_46 | INFO ] 📈 Evaluated. Results: {'test_loss': 1.2712796926498413, 'test_acc': 0.701298713684082, 'test_precision': 0.24122807383537292, 'test_recall': 0.24122807383537292, 'test_f1': 0.24122807383537292, 'communication_cost': 30107168}
[ 2026-05-15 12:05:37 | node_46 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-15 12:05:37 | node_45 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-15 12:05:37 | node_7 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-05-15 12:05:37 | node_7 | INFO ] 🔬 Evaluating...
[ 2026-05-15 12:05:37 | node_49 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.5004889965057373, 'test_acc': 1.0, 'test_precision': 1.0, 'test_recall': 1.0, 'test_f1': 1.0, 'communication_cost': 30107168}
[ 2026-05-15 12:05:38 | node_49 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-15 12:05:38 | node_7 | INFO ] 📈 Evaluated. Results: {'test_loss': 1.9018434286117554, 'test_acc': 0.2222222238779068, 'test_precision': 0.125, 'test_recall': 0.0357142873108387, 'test_f1': 0.0555555559694767, 'communication_cost': 37633960}
[ 2026-05-15 12:05:38 | node_7 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-15 12:05:38 | node_2 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-15 12:05:39 | node_48 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-15 12:05:39 | node_2 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-15 12:05:39 | node_2 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-15 12:05:39 | node_17 | INFO ] 🧩 Model added for round 94 (2/8) from ['node_12']
[ 2026-05-15 12:05:39 | node_16 | INFO ] 🤫 Gossip finished.
[ 2026-05-15 12:05:39 | node_16 | INFO ] 🔬 Evaluating...
[ 2026-05-15 12:05:39 | node_20 | INFO ] 🤫 Gossip finished.
[ 2026-05-15 12:05:39 | node_23 | INFO ] 🤫 Gossip finished.
[ 2026-05-15 12:05:39 | node_20 | INFO ] 🔬 Evaluating...
[ 2026-05-15 12:05:39 | node_23 | INFO ] 🔬 Evaluating...
[ 2026-05-15 12:05:39 | node_34 | INFO ] 🎓 Training step done.
[ 2026-05-15 12:05:40 | node_2 | INFO ] 🎓 Training step done.
[ 2026-05-15 12:05:40 | node_16 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.46991556882858276, 'test_acc': 0.9320388436317444, 'test_precision': 0.472222238779068, 'test_recall': 0.4870370626449585, 'test_f1': 0.47810474038124084, 'communication_cost': 37633960}
[ 2026-05-15 12:05:40 | node_20 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.8317891955375671, 'test_acc': 0.8214285969734192, 'test_precision': 0.3107532858848572, 'test_recall': 0.2403458207845688, 'test_f1': 0.24624113738536835, 'communication_cost': 37633960}
[ 2026-05-15 12:05:40 | node_16 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-15 12:05:40 | node_20 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-15 12:05:40 | node_23 | INFO ] 📈 Evaluated. Results: {'test_loss': 1.1555389165878296, 'test_acc': 0.7586206793785095, 'test_precision': 0.4285714328289032, 'test_recall': 0.4663461446762085, 'test_f1': 0.4305555522441864, 'communication_cost': 33870564}
[ 2026-05-15 12:05:40 | node_32 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-15 12:05:40 | node_24 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-05-15 12:05:40 | node_42 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-15 12:05:40 | node_47 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-15 12:05:40 | node_23 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-15 12:05:41 | node_38 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-05-15 12:05:41 | node_24 | INFO ] 🔬 Evaluating...
