[ 2026-03-14 08:19:20 | None | INFO ] Created experiment folder: /mnt/c/Users/thaih/HK252/DATN/p2pfl/experiments/fraudTrain.csv_fraudTest.csv_RandomIIDPartitionStrategy_DFedAdp_model_build_fn_20260314_081920 and copied fraud.yaml
[ 2026-03-14 08:19:20 | None | INFO ] Set simulation heartbeat: timeout=10s, period=2s
[ 2026-03-14 08:20:37 | node | INFO ] InMemoryServer started at node
[ 2026-03-14 08:20:37 | node | INFO ] 🏁 Starting gossiper...
[ 2026-03-14 08:20:37 | None | INFO ] 🚀 Created 0/3 nodes, waiting 0.50s...
[ 2026-03-14 08:20:38 | node_1 | INFO ] InMemoryServer started at node_1
[ 2026-03-14 08:20:38 | node_1 | INFO ] 🏁 Starting gossiper...
[ 2026-03-14 08:20:38 | node_2 | INFO ] InMemoryServer started at node_2
[ 2026-03-14 08:20:38 | node_2 | INFO ] 🏁 Starting gossiper...
[ 2026-03-14 08:20:39 |  | INFO ] Connected nodes node and node_1
[ 2026-03-14 08:20:39 |  | INFO ] Connected nodes node and node_2
[ 2026-03-14 08:20:39 |  | INFO ] Connected nodes node_1 and node_2
[ 2026-03-14 08:20:39 | None | INFO ] 📡 Performing global simulation discovery for 3 nodes...
[ 2026-03-14 08:20:39 | None | INFO ] ⌛ Waiting for direct topology connections (2-2 per node)...
[ 2026-03-14 08:20:39 | None | INFO ] ✅ Network topology ready.
[ 2026-03-14 08:20:39 | node | INFO ] 🚀 Broadcasting start learning to 3 nodes...
[ 2026-03-14 08:20:39 | node_1 | INFO ] 🔍 Neighbors found: ['node', 'node_2'] | Degree: 2
[ 2026-03-14 08:20:39 | node_2 | INFO ] 🔍 Neighbors found: ['node', 'node_1'] | Degree: 2
[ 2026-03-14 08:20:39 | node_1 | INFO ] ⏳ Waiting initialization.
[ 2026-03-14 08:20:39 | node_2 | INFO ] ⏳ Waiting initialization.
[ 2026-03-14 08:20:39 | node | INFO ] 🔍 Neighbors found: ['node_1', 'node_2'] | Degree: 2
[ 2026-03-14 08:20:39 | node | INFO ] ⏳ Waiting initialization.
[ 2026-03-14 08:20:39 | node | INFO ] 🗣️ Gossiping model initialization.
[ 2026-03-14 08:20:40 | node_1 | INFO ] 🗣️ Gossiping model initialization.
[ 2026-03-14 08:20:40 | node_2 | INFO ] 🗣️ Gossiping model initialization.
[ 2026-03-14 08:20:41 | node_1 | INFO ] 🤫 Gossip finished.
[ 2026-03-14 08:20:41 | node_2 | INFO ] 🤫 Gossip finished.
[ 2026-03-14 08:20:41 | node | INFO ] 🤫 Gossip finished.
