[ 2026-05-15 06:13:59 | None | INFO ] Created experiment folder: /home/hoap/p2pfl/experiments/p2pfl_MNIST_DirichletPartitionStrategy_DFedAdp_model_build_fn_20260515_061359 and copied 02_mnist_dirichlet_10.0.yaml
[ 2026-05-15 06:13:59 | None | INFO ] Set simulation heartbeat: timeout=99999s, period=10s
[ 2026-05-15 06:14:01 | node | INFO ] InMemoryServer started at node
[ 2026-05-15 06:14:01 | node | INFO ] 🏁 Starting gossiper...
[ 2026-05-15 06:14:01 | None | INFO ] 🚀 Created 0/50 nodes, waiting 1.00s for CPU to breathe...
[ 2026-05-15 06:14:02 | node_1 | INFO ] InMemoryServer started at node_1
[ 2026-05-15 06:14:02 | node_1 | INFO ] 🏁 Starting gossiper...
[ 2026-05-15 06:14:04 | node_2 | INFO ] InMemoryServer started at node_2
[ 2026-05-15 06:14:04 | node_2 | INFO ] 🏁 Starting gossiper...
[ 2026-05-15 06:14:05 | node_3 | INFO ] InMemoryServer started at node_3
[ 2026-05-15 06:14:05 | node_3 | INFO ] 🏁 Starting gossiper...
[ 2026-05-15 06:14:06 | node_4 | INFO ] InMemoryServer started at node_4
[ 2026-05-15 06:14:06 | node_4 | INFO ] 🏁 Starting gossiper...
[ 2026-05-15 06:14:08 | node_5 | INFO ] InMemoryServer started at node_5
[ 2026-05-15 06:14:08 | node_5 | INFO ] 🏁 Starting gossiper...
[ 2026-05-15 06:14:08 | None | INFO ] 🚀 Created 5/50 nodes, waiting 1.50s for CPU to breathe...
[ 2026-05-15 06:14:09 | node_6 | INFO ] InMemoryServer started at node_6
[ 2026-05-15 06:14:09 | node_6 | INFO ] 🏁 Starting gossiper...
[ 2026-05-15 06:14:11 | node_7 | INFO ] InMemoryServer started at node_7
[ 2026-05-15 06:14:11 | node_7 | INFO ] 🏁 Starting gossiper...
[ 2026-05-15 06:14:12 | node_8 | INFO ] InMemoryServer started at node_8
[ 2026-05-15 06:14:12 | node_8 | INFO ] 🏁 Starting gossiper...
[ 2026-05-15 06:14:14 | node_9 | INFO ] InMemoryServer started at node_9
[ 2026-05-15 06:14:14 | node_9 | INFO ] 🏁 Starting gossiper...
[ 2026-05-15 06:14:16 | node_10 | INFO ] InMemoryServer started at node_10
[ 2026-05-15 06:14:16 | node_10 | INFO ] 🏁 Starting gossiper...
[ 2026-05-15 06:14:16 | None | INFO ] 🚀 Created 10/50 nodes, waiting 2.00s for CPU to breathe...
[ 2026-05-15 06:14:18 | node_11 | INFO ] InMemoryServer started at node_11
[ 2026-05-15 06:14:18 | node_11 | INFO ] 🏁 Starting gossiper...
[ 2026-05-15 06:14:20 | node_12 | INFO ] InMemoryServer started at node_12
[ 2026-05-15 06:14:20 | node_12 | INFO ] 🏁 Starting gossiper...
[ 2026-05-15 06:14:23 | node_13 | INFO ] InMemoryServer started at node_13
[ 2026-05-15 06:14:23 | node_13 | INFO ] 🏁 Starting gossiper...
[ 2026-05-15 06:14:25 | node_14 | INFO ] InMemoryServer started at node_14
[ 2026-05-15 06:14:25 | node_14 | INFO ] 🏁 Starting gossiper...
[ 2026-05-15 06:14:27 | node_15 | INFO ] InMemoryServer started at node_15
[ 2026-05-15 06:14:27 | node_15 | INFO ] 🏁 Starting gossiper...
[ 2026-05-15 06:14:27 | None | INFO ] 🚀 Created 15/50 nodes, waiting 2.50s for CPU to breathe...
[ 2026-05-15 06:14:30 | node_16 | INFO ] InMemoryServer started at node_16
[ 2026-05-15 06:14:30 | node_16 | INFO ] 🏁 Starting gossiper...
[ 2026-05-15 06:14:33 | node_17 | INFO ] InMemoryServer started at node_17
[ 2026-05-15 06:14:33 | node_17 | INFO ] 🏁 Starting gossiper...
[ 2026-05-15 06:14:35 | node_18 | INFO ] InMemoryServer started at node_18
[ 2026-05-15 06:14:35 | node_18 | INFO ] 🏁 Starting gossiper...
[ 2026-05-15 06:14:38 | node_19 | INFO ] InMemoryServer started at node_19
[ 2026-05-15 06:14:38 | node_19 | INFO ] 🏁 Starting gossiper...
[ 2026-05-15 06:14:41 | node_20 | INFO ] InMemoryServer started at node_20
[ 2026-05-15 06:14:41 | node_20 | INFO ] 🏁 Starting gossiper...
[ 2026-05-15 06:14:41 | None | INFO ] 🚀 Created 20/50 nodes, waiting 3.00s for CPU to breathe...
[ 2026-05-15 06:14:44 | node_21 | INFO ] InMemoryServer started at node_21
[ 2026-05-15 06:14:44 | node_21 | INFO ] 🏁 Starting gossiper...
[ 2026-05-15 06:14:47 | node_22 | INFO ] InMemoryServer started at node_22
[ 2026-05-15 06:14:47 | node_22 | INFO ] 🏁 Starting gossiper...
[ 2026-05-15 06:14:50 | node_23 | INFO ] InMemoryServer started at node_23
[ 2026-05-15 06:14:50 | node_23 | INFO ] 🏁 Starting gossiper...
[ 2026-05-15 06:14:54 | node_24 | INFO ] InMemoryServer started at node_24
[ 2026-05-15 06:14:54 | node_24 | INFO ] 🏁 Starting gossiper...
[ 2026-05-15 06:14:57 | node_25 | INFO ] InMemoryServer started at node_25
[ 2026-05-15 06:14:57 | node_25 | INFO ] 🏁 Starting gossiper...
