[ 2026-03-06 13:53:07 | node_30 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.3971349000930786, 'test_acc': 0.9537572264671326, 'test_precision': 0.931736946105957, 'test_recall': 0.927399754524231, 'test_f1': 0.9277729988098145, 'communication_cost': 0}
[ 2026-03-06 13:53:07 | node_37 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.17731845378875732, 'test_acc': 0.9504132270812988, 'test_precision': 0.928186297416687, 'test_recall': 0.9596638679504395, 'test_f1': 0.9319449067115784, 'communication_cost': 0}
[ 2026-03-06 13:53:07 | node_17 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.2654573619365692, 'test_acc': 0.9682539701461792, 'test_precision': 0.8289855122566223, 'test_recall': 0.8646997809410095, 'test_f1': 0.8287723064422607, 'communication_cost': 0}
[ 2026-03-06 13:53:07 | node_12 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.43905478715896606, 'test_acc': 0.9576271176338196, 'test_precision': 0.8965687155723572, 'test_recall': 0.9541997313499451, 'test_f1': 0.9083592295646667, 'communication_cost': 0}
[ 2026-03-06 13:53:07 | node_34 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.30360671877861023, 'test_acc': 0.96875, 'test_precision': 0.6906566023826599, 'test_recall': 0.6732969880104065, 'test_f1': 0.6809649467468262, 'communication_cost': 0}
[ 2026-03-06 13:53:07 | node_40 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.685118556022644, 'test_acc': 0.8873873949050903, 'test_precision': 0.606966495513916, 'test_recall': 0.6252492070198059, 'test_f1': 0.6120808720588684, 'communication_cost': 0}
[ 2026-03-06 13:53:07 | node_48 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:07 | node_41 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:07 | node_11 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:08 | node_3 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:08 | node_33 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:08 | node_28 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:08 | node_2 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:09 | node_32 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:09 | node_48 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.2057001292705536, 'test_acc': 0.942307710647583, 'test_precision': 0.7226448655128479, 'test_recall': 0.7027956247329712, 'test_f1': 0.7113150954246521, 'communication_cost': 0}
[ 2026-03-06 13:53:09 | node_29 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:09 | node_22 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:09 | node_28 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.18117868900299072, 'test_acc': 0.9534883499145508, 'test_precision': 0.8612204194068909, 'test_recall': 0.9711673259735107, 'test_f1': 0.897770345211029, 'communication_cost': 0}
[ 2026-03-06 13:53:09 | node_20 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.13181741535663605, 'test_acc': 0.9746835231781006, 'test_precision': 0.9065900444984436, 'test_recall': 0.9288473129272461, 'test_f1': 0.9122238159179688, 'communication_cost': 0}
[ 2026-03-06 13:53:09 | node_45 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.30096516013145447, 'test_acc': 0.9399999976158142, 'test_precision': 0.8012537956237793, 'test_recall': 0.8556585907936096, 'test_f1': 0.8183818459510803, 'communication_cost': 0}
[ 2026-03-06 13:53:09 | node_19 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.1185327097773552, 'test_acc': 0.9679999947547913, 'test_precision': 0.9788063764572144, 'test_recall': 0.9332167506217957, 'test_f1': 0.947210431098938, 'communication_cost': 0}
[ 2026-03-06 13:53:09 | node_42 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.07534760981798172, 'test_acc': 0.9756097793579102, 'test_precision': 0.8843206167221069, 'test_recall': 0.8989121913909912, 'test_f1': 0.8890116810798645, 'communication_cost': 0}
[ 2026-03-06 13:53:09 | node_31 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.42511528730392456, 'test_acc': 0.9455252885818481, 'test_precision': 0.7329946756362915, 'test_recall': 0.7489178776741028, 'test_f1': 0.7362314462661743, 'communication_cost': 0}
[ 2026-03-06 13:53:09 | node_7 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.4834021329879761, 'test_acc': 0.9545454382896423, 'test_precision': 0.6444123983383179, 'test_recall': 0.635683536529541, 'test_f1': 0.6376791596412659, 'communication_cost': 0}
[ 2026-03-06 13:53:09 | node_24 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.6881769895553589, 'test_acc': 0.915032684803009, 'test_precision': 0.8489832878112793, 'test_recall': 0.837220311164856, 'test_f1': 0.8401635885238647, 'communication_cost': 0}
[ 2026-03-06 13:53:09 | node_21 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.6365852952003479, 'test_acc': 0.9444444179534912, 'test_precision': 0.6812112927436829, 'test_recall': 0.6736665964126587, 'test_f1': 0.675975501537323, 'communication_cost': 0}
[ 2026-03-06 13:53:09 | node_41 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.19694240391254425, 'test_acc': 0.9624060392379761, 'test_precision': 0.8719708323478699, 'test_recall': 0.8884162902832031, 'test_f1': 0.8792793154716492, 'communication_cost': 0}
[ 2026-03-06 13:53:09 | node_39 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.3563024699687958, 'test_acc': 0.9468085169792175, 'test_precision': 0.6325487494468689, 'test_recall': 0.6380565166473389, 'test_f1': 0.6340236663818359, 'communication_cost': 0}
[ 2026-03-06 13:53:09 | node_10 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.42428112030029297, 'test_acc': 0.925000011920929, 'test_precision': 0.8060443997383118, 'test_recall': 0.7897360920906067, 'test_f1': 0.791734516620636, 'communication_cost': 0}
[ 2026-03-06 13:53:09 | node_36 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.056286878883838654, 'test_acc': 0.9893048405647278, 'test_precision': 0.9157754182815552, 'test_recall': 0.9937681555747986, 'test_f1': 0.9421847462654114, 'communication_cost': 0}
[ 2026-03-06 13:53:09 | node_13 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.3284599184989929, 'test_acc': 0.931034505367279, 'test_precision': 0.6185611486434937, 'test_recall': 0.6425514817237854, 'test_f1': 0.6249893307685852, 'communication_cost': 0}
[ 2026-03-06 13:53:09 | node_38 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.28730571269989014, 'test_acc': 0.9526066184043884, 'test_precision': 0.6636139750480652, 'test_recall': 0.6636633276939392, 'test_f1': 0.6618526577949524, 'communication_cost': 0}
[ 2026-03-06 13:53:09 | node_35 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.20986342430114746, 'test_acc': 0.9602649211883545, 'test_precision': 0.8687270283699036, 'test_recall': 0.8674281239509583, 'test_f1': 0.8673803210258484, 'communication_cost': 0}
[ 2026-03-06 13:53:09 | node_43 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.3985166847705841, 'test_acc': 0.9202127456665039, 'test_precision': 0.7304965257644653, 'test_recall': 0.7273324131965637, 'test_f1': 0.7276409864425659, 'communication_cost': 0}
[ 2026-03-06 13:53:09 | node_14 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.11346711963415146, 'test_acc': 0.9738219976425171, 'test_precision': 0.8350785374641418, 'test_recall': 0.8182427883148193, 'test_f1': 0.8257409334182739, 'communication_cost': 0}
[ 2026-03-06 13:53:09 | node_26 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.12390642613172531, 'test_acc': 0.9738562107086182, 'test_precision': 0.9019607901573181, 'test_recall': 0.8913542032241821, 'test_f1': 0.8961887955665588, 'communication_cost': 0}
[ 2026-03-06 13:53:09 | node_46 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.35832881927490234, 'test_acc': 0.9319371581077576, 'test_precision': 0.7319525480270386, 'test_recall': 0.7752261161804199, 'test_f1': 0.7407956719398499, 'communication_cost': 0}
[ 2026-03-06 13:53:09 | node_1 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.3572082817554474, 'test_acc': 0.9541547298431396, 'test_precision': 0.6752008199691772, 'test_recall': 0.6414210200309753, 'test_f1': 0.6538422107696533, 'communication_cost': 0}
[ 2026-03-06 13:53:09 | node_15 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.21499429643154144, 'test_acc': 0.9653679728507996, 'test_precision': 0.7328476905822754, 'test_recall': 0.7565445303916931, 'test_f1': 0.7391222715377808, 'communication_cost': 0}
[ 2026-03-06 13:53:09 | node_6 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.15678343176841736, 'test_acc': 0.9927007555961609, 'test_precision': 0.9949222803115845, 'test_recall': 0.9959728121757507, 'test_f1': 0.9953557848930359, 'communication_cost': 0}
[ 2026-03-06 13:53:09 | node_5 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.3390662968158722, 'test_acc': 0.9454545378684998, 'test_precision': 0.6304148435592651, 'test_recall': 0.5786258578300476, 'test_f1': 0.5977400541305542, 'communication_cost': 0}
[ 2026-03-06 13:53:09 | node_49 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.8670229911804199, 'test_acc': 0.9058823585510254, 'test_precision': 0.7488739490509033, 'test_recall': 0.7527338862419128, 'test_f1': 0.7391390800476074, 'communication_cost': 0}
[ 2026-03-06 13:53:09 | node_23 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.26305219531059265, 'test_acc': 0.9550561904907227, 'test_precision': 0.552523672580719, 'test_recall': 0.5342409610748291, 'test_f1': 0.5427346229553223, 'communication_cost': 0}
[ 2026-03-06 13:53:09 | node_9 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.15878236293792725, 'test_acc': 0.9576923251152039, 'test_precision': 0.6951118111610413, 'test_recall': 0.6811232566833496, 'test_f1': 0.6873230934143066, 'communication_cost': 0}
[ 2026-03-06 13:53:09 | node_16 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.27816733717918396, 'test_acc': 0.9090909361839294, 'test_precision': 0.6311255693435669, 'test_recall': 0.628885805606842, 'test_f1': 0.6267920136451721, 'communication_cost': 0}
[ 2026-03-06 13:53:09 | node_34 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:09 | node_12 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:10 | node_17 | INFO ] 🚂 Round 81: Client training...
