[ 2026-03-06 14:03:44 | node_4 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:44 | node_19 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:44 | node_14 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.12968844175338745, 'test_acc': 0.9642857313156128, 'test_precision': 0.851311981678009, 'test_recall': 0.8327065110206604, 'test_f1': 0.8410019278526306, 'communication_cost': 0}
[ 2026-03-06 14:03:44 | node_8 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.31985703110694885, 'test_acc': 0.9487179517745972, 'test_precision': 0.6595215201377869, 'test_recall': 0.629584014415741, 'test_f1': 0.6429327130317688, 'communication_cost': 0}
[ 2026-03-06 14:03:44 | node_20 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:44 | node_18 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.16146822273731232, 'test_acc': 0.9637305736541748, 'test_precision': 0.8267296552658081, 'test_recall': 0.8078343868255615, 'test_f1': 0.8165509104728699, 'communication_cost': 0}
[ 2026-03-06 14:03:44 | node_23 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:44 | node_16 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 14:03:44 | node_26 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:44 | node_8 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 14:03:44 | node_3 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.40949344635009766, 'test_acc': 0.9444444179534912, 'test_precision': 0.5967972874641418, 'test_recall': 0.5880332589149475, 'test_f1': 0.5862994194030762, 'communication_cost': 0}
[ 2026-03-06 14:03:44 | node_17 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.1346360445022583, 'test_acc': 0.9691630005836487, 'test_precision': 0.8734463453292847, 'test_recall': 0.8520087599754333, 'test_f1': 0.8618064522743225, 'communication_cost': 0}
[ 2026-03-06 14:03:44 | node_14 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 14:03:44 | node_28 | INFO ] 🔬 Evaluating...
