[ 2026-03-06 14:15:52 | None | INFO ] Created experiment folder: /root/p2pfl/experiments/p2pfl_MNIST_RandomIIDPartitionStrategy_FedAvg_model_build_fn_20260306_141552 and copied 99_centralized_mnist_test_verify.yaml
[ 2026-03-06 14:15:52 | None | INFO ] Set simulation heartbeat: timeout=99999s, period=1.0s
[ 2026-03-06 14:15:52 | None | INFO ] 🏗️ Running in CENTRALIZED mode.
[ 2026-03-06 14:15:56 | node | INFO ] InMemoryServer started at node
[ 2026-03-06 14:15:56 | node | INFO ] 🏁 Starting gossiper...
[ 2026-03-06 14:15:56 | None | INFO ] 🚀 Created 0/5 nodes, waiting 0.50s...
[ 2026-03-06 14:15:56 | node_1 | INFO ] InMemoryServer started at node_1
[ 2026-03-06 14:15:56 | node_1 | INFO ] 🏁 Starting gossiper...
[ 2026-03-06 14:15:57 | node_2 | INFO ] InMemoryServer started at node_2
[ 2026-03-06 14:15:57 | node_2 | INFO ] 🏁 Starting gossiper...
[ 2026-03-06 14:15:57 | node_3 | INFO ] InMemoryServer started at node_3
[ 2026-03-06 14:15:57 | node_3 | INFO ] 🏁 Starting gossiper...
[ 2026-03-06 14:15:58 | node_4 | INFO ] InMemoryServer started at node_4
[ 2026-03-06 14:15:58 | node_4 | INFO ] 🏁 Starting gossiper...
[ 2026-03-06 14:15:59 |  | INFO ] Connected nodes node and node_1
[ 2026-03-06 14:15:59 |  | INFO ] Connected nodes node and node_2
[ 2026-03-06 14:15:59 |  | INFO ] Connected nodes node and node_3
[ 2026-03-06 14:15:59 |  | INFO ] Connected nodes node and node_4
[ 2026-03-06 14:15:59 | None | INFO ] 📡 Performing global simulation discovery for 5 nodes...
[ 2026-03-06 14:15:59 | None | INFO ] ⌛ Waiting for direct topology connections (1-4 per node)...
[ 2026-03-06 14:15:59 | None | INFO ] ✅ Network topology ready.
[ 2026-03-06 14:15:59 | node | INFO ] 🚀 Broadcasting start learning to 5 nodes...
[ 2026-03-06 14:15:59 | node_1 | INFO ] 🔍 Neighbors found: ['node'] | Degree: 1
[ 2026-03-06 14:15:59 | node_2 | INFO ] 🔍 Neighbors found: ['node'] | Degree: 1
[ 2026-03-06 14:15:59 | node_1 | INFO ] 💻 Node is CLIENT. Waiting for initialization.
[ 2026-03-06 14:15:59 | node_3 | INFO ] 🔍 Neighbors found: ['node'] | Degree: 1
[ 2026-03-06 14:15:59 | node_2 | INFO ] 💻 Node is CLIENT. Waiting for initialization.
[ 2026-03-06 14:15:59 | node_4 | INFO ] 🔍 Neighbors found: ['node'] | Degree: 1
