[ 2026-02-16 03:32:27 | 0.0.0.0:59095 | INFO ] 🧩 Model added for round 93 (8/10) from ['0.0.0.0:40611']
[ 2026-02-16 03:32:27 | 0.0.0.0:57761 | INFO ] 🧩 Model added for round 93 (12/12) from ['0.0.0.0:33615']
[ 2026-02-16 03:32:27 | 0.0.0.0:34283 | INFO ] 🧩 Model added for round 93 (9/10) from ['0.0.0.0:40463']
[ 2026-02-16 03:32:27 | 0.0.0.0:43217 | INFO ] 🧩 Model added for round 93 (6/7) from ['0.0.0.0:57761']
[ 2026-02-16 03:32:27 | 0.0.0.0:50223 | INFO ] 🧩 Model added for round 93 (8/9) from ['0.0.0.0:59095']
[ 2026-02-16 03:32:27 | 0.0.0.0:34953 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 03:32:27 | 0.0.0.0:59629 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 03:32:27 | 0.0.0.0:51261 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 03:32:28 | 0.0.0.0:44791 | INFO ] 🧩 Model added for round 93 (10/12) from ['0.0.0.0:42937']
[ 2026-02-16 03:32:28 | 0.0.0.0:55593 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 03:32:28 | 0.0.0.0:42433 | INFO ] 🧩 Model added for round 93 (6/9) from ['0.0.0.0:45373']
[ 2026-02-16 03:32:28 | 0.0.0.0:59459 | INFO ] 🧩 Model added for round 93 (8/12) from ['0.0.0.0:59201']
[ 2026-02-16 03:32:28 | 0.0.0.0:41511 | INFO ] 🧩 Model added for round 93 (9/9) from ['0.0.0.0:56693']
[ 2026-02-16 03:32:28 | 0.0.0.0:47871 | INFO ] 🧩 Model added for round 93 (6/7) from ['0.0.0.0:33443']
[ 2026-02-16 03:32:28 | 0.0.0.0:41511 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 03:32:28 | 0.0.0.0:34769 | INFO ] 🧩 Model added for round 93 (5/10) from ['0.0.0.0:40611']
[ 2026-02-16 03:32:28 | 0.0.0.0:34953 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 03:32:28 | 0.0.0.0:33615 | INFO ] 🧩 Model added for round 93 (10/14) from ['0.0.0.0:57761']
[ 2026-02-16 03:32:29 | 0.0.0.0:39591 | INFO ] 🧩 Model added for round 93 (10/10) from ['0.0.0.0:40463']
[ 2026-02-16 03:32:29 | 0.0.0.0:59201 | INFO ] 🧩 Model added for round 93 (11/13) from ['0.0.0.0:59095']
[ 2026-02-16 03:32:29 | 0.0.0.0:55593 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 03:32:29 | 0.0.0.0:34283 | INFO ] 🧩 Model added for round 93 (10/10) from ['0.0.0.0:33615']
[ 2026-02-16 03:32:29 | 0.0.0.0:39591 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 03:32:29 | 0.0.0.0:33615 | INFO ] 🧩 Model added for round 93 (11/14) from ['0.0.0.0:45373']
[ 2026-02-16 03:32:29 | 0.0.0.0:34283 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 03:32:29 | 0.0.0.0:44791 | INFO ] 🧩 Model added for round 93 (11/12) from ['0.0.0.0:56693']
[ 2026-02-16 03:32:29 | 0.0.0.0:33053 | INFO ] 🧩 Model added for round 93 (7/9) from ['0.0.0.0:42937']
[ 2026-02-16 03:32:29 | 0.0.0.0:41511 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 03:32:29 | 0.0.0.0:59459 | INFO ] 🧩 Model added for round 93 (9/12) from ['0.0.0.0:33443']
[ 2026-02-16 03:32:30 | 0.0.0.0:59095 | INFO ] 🧩 Model added for round 93 (9/10) from ['0.0.0.0:59201']
[ 2026-02-16 03:32:30 | 0.0.0.0:58713 | INFO ] 🧩 Model added for round 93 (9/10) from ['0.0.0.0:40611']
[ 2026-02-16 03:32:30 | 0.0.0.0:39591 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 03:32:30 | 0.0.0.0:42937 | INFO ] 🧩 Model added for round 93 (12/12) from ['0.0.0.0:40463']
[ 2026-02-16 03:32:30 | 0.0.0.0:33443 | INFO ] 🧩 Model added for round 93 (14/14) from ['0.0.0.0:33615']
[ 2026-02-16 03:32:30 | 0.0.0.0:34283 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 03:32:30 | 0.0.0.0:34769 | INFO ] 🧩 Model added for round 93 (6/10) from ['0.0.0.0:57761']
[ 2026-02-16 03:32:31 | 0.0.0.0:44791 | INFO ] 🧩 Model added for round 93 (12/12) from ['0.0.0.0:59095']
[ 2026-02-16 03:32:31 | 0.0.0.0:47871 | INFO ] 🧩 Model added for round 93 (7/7) from ['0.0.0.0:42937']
[ 2026-02-16 03:32:31 | 0.0.0.0:59459 | INFO ] 🧩 Model added for round 93 (10/12) from ['0.0.0.0:56693']
[ 2026-02-16 03:32:31 | 0.0.0.0:44791 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 03:32:31 | 0.0.0.0:43217 | INFO ] 🧩 Model added for round 93 (7/7) from ['0.0.0.0:33443']
[ 2026-02-16 03:32:31 | 0.0.0.0:47871 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 03:32:31 | 0.0.0.0:44715 | INFO ] 🧩 Model added for round 93 (9/12) from ['0.0.0.0:59201']
[ 2026-02-16 03:32:31 | 0.0.0.0:43217 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 03:32:31 | 0.0.0.0:40611 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 03:32:32 | 0.0.0.0:44715 | INFO ] 🧩 Model added for round 93 (10/12) from ['0.0.0.0:42937']
[ 2026-02-16 03:32:32 | 0.0.0.0:47871 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 03:32:32 | 0.0.0.0:59201 | INFO ] 🧩 Model added for round 93 (12/13) from ['0.0.0.0:40463']
[ 2026-02-16 03:32:32 | 0.0.0.0:57761 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 03:32:32 | 0.0.0.0:42433 | INFO ] 🧩 Model added for round 93 (7/9) from ['0.0.0.0:33443']
[ 2026-02-16 03:32:32 | 0.0.0.0:43217 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 03:32:32 | 0.0.0.0:38433 | INFO ] 🧩 Model added for round 93 (9/9) from ['0.0.0.0:59095']
[ 2026-02-16 03:32:32 | 0.0.0.0:45373 | INFO ] 🧩 Model added for round 93 (11/11) from ['0.0.0.0:33615']
[ 2026-02-16 03:32:33 | 0.0.0.0:44791 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 03:32:33 | 0.0.0.0:38433 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 03:32:33 | 0.0.0.0:45373 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 03:32:33 | 0.0.0.0:40611 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 03:32:33 | 0.0.0.0:34769 | INFO ] 🧩 Model added for round 93 (7/10) from ['0.0.0.0:56693']
[ 2026-02-16 03:32:33 | 0.0.0.0:40721 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-16 03:32:33 | 0.0.0.0:40463 | INFO ] 🧩 Model added for round 93 (7/11) from ['0.0.0.0:59201']
[ 2026-02-16 03:32:33 | 0.0.0.0:40721 | INFO ] 🔬 Evaluating...
[ 2026-02-16 03:32:34 | 0.0.0.0:57761 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 03:32:34 | 0.0.0.0:56693 | INFO ] 🧩 Model added for round 93 (9/10) from ['0.0.0.0:33443']
[ 2026-02-16 03:32:34 | 0.0.0.0:40721 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_acc': 0.11063829809427261, 'test_precision': 0.015805469825863838, 'test_recall': 0.07781155407428741, 'test_f1': 0.026274029165506363}
[ 2026-02-16 03:32:34 | 0.0.0.0:58713 | INFO ] 🧩 Model added for round 93 (10/10) from ['0.0.0.0:42937']
[ 2026-02-16 03:32:34 | 0.0.0.0:40721 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-16 03:32:34 | 0.0.0.0:38433 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 03:32:34 | 0.0.0.0:33615 | INFO ] 🧩 Model added for round 93 (12/14) from ['0.0.0.0:59095']
[ 2026-02-16 03:32:34 | 0.0.0.0:33053 | INFO ] 🧩 Model added for round 93 (8/9) from ['0.0.0.0:40463']
[ 2026-02-16 03:32:34 | 0.0.0.0:58713 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 03:32:34 | 0.0.0.0:51839 | INFO ] 🧩 Model added for round 93 (10/11) from ['0.0.0.0:33615']
[ 2026-02-16 03:32:34 | 0.0.0.0:45373 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 03:32:34 | 0.0.0.0:40463 | INFO ] 🧩 Model added for round 93 (8/11) from ['0.0.0.0:56693']
[ 2026-02-16 03:32:35 | 0.0.0.0:58811 | INFO ] 🤫 Gossip finished.
[ 2026-02-16 03:32:35 | 0.0.0.0:58811 | INFO ] 🔬 Evaluating...
[ 2026-02-16 03:32:35 | 0.0.0.0:49453 | INFO ] 🤫 Gossip finished.
[ 2026-02-16 03:32:35 | 0.0.0.0:33615 | INFO ] 🧩 Model added for round 93 (13/14) from ['0.0.0.0:33443']
[ 2026-02-16 03:32:35 | 0.0.0.0:40463 | INFO ] 🧩 Model added for round 93 (9/11) from ['0.0.0.0:42937']
[ 2026-02-16 03:32:35 | 0.0.0.0:49453 | INFO ] 🔬 Evaluating...
[ 2026-02-16 03:32:35 | 0.0.0.0:58811 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_acc': 0.008733624592423439, 'test_precision': 0.0017467249417677522, 'test_recall': 0.11179039627313614, 'test_f1': 0.0034397044219076633}
[ 2026-02-16 03:32:35 | 0.0.0.0:58713 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 03:32:35 | 0.0.0.0:42433 | INFO ] 🧩 Model added for round 93 (8/9) from ['0.0.0.0:40463']
[ 2026-02-16 03:32:35 | 0.0.0.0:58811 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-16 03:32:35 | 0.0.0.0:49453 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_acc': 0.06111111119389534, 'test_precision': 0.006790123414248228, 'test_recall': 0.07901234924793243, 'test_f1': 0.012505550868809223}
[ 2026-02-16 03:32:35 | 0.0.0.0:49453 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-16 03:32:36 | 0.0.0.0:48187 | INFO ] 🧩 Model added for round 93 (6/6) from ['0.0.0.0:33615']
[ 2026-02-16 03:32:36 | 0.0.0.0:48187 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 03:32:37 | 0.0.0.0:56693 | INFO ] 🧩 Model added for round 93 (10/10) from ['0.0.0.0:40463']
[ 2026-02-16 03:32:37 | 0.0.0.0:48187 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 03:32:37 | 0.0.0.0:33053 | INFO ] 🧩 Model added for round 93 (9/9) from ['0.0.0.0:33615']
[ 2026-02-16 03:32:37 | 0.0.0.0:56693 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 03:32:37 | 0.0.0.0:42937 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 03:32:37 | 0.0.0.0:49453 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-02-16 03:32:37 | 0.0.0.0:58811 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-02-16 03:32:37 | 0.0.0.0:44715 | INFO ] 🧩 Model added for round 93 (11/12) from ['0.0.0.0:33443']
[ 2026-02-16 03:32:37 | 0.0.0.0:49453 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-16 03:32:37 | 0.0.0.0:58811 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-16 03:32:37 | 0.0.0.0:33053 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 03:32:37 | 0.0.0.0:49453 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-16 03:32:37 | 0.0.0.0:58811 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-16 03:32:38 | 0.0.0.0:40721 | INFO ] 🎉 Round 93 of 100 finished.
[ 2026-02-16 03:32:38 | 0.0.0.0:58811 | INFO ] 🎓 Training step done.
[ 2026-02-16 03:32:38 | 0.0.0.0:40721 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-16 03:32:38 | 0.0.0.0:58811 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-16 03:32:38 | 0.0.0.0:49453 | INFO ] 🎓 Training step done.
[ 2026-02-16 03:32:38 | 0.0.0.0:49453 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-16 03:32:38 | 0.0.0.0:58811 | INFO ] ✅ [FORCE] Local model added for round 94. (1/5)
[ 2026-02-16 03:32:38 | 0.0.0.0:49453 | INFO ] ✅ [FORCE] Local model added for round 94. (1/5)
[ 2026-02-16 03:32:38 | 0.0.0.0:40721 | INFO ] ♻️ Proactively processing 9 early models for round 93.
[ 2026-02-16 03:32:38 | 0.0.0.0:40721 | INFO ] 🧩 Model added for round 93 (1/11) from ['0.0.0.0:38055']
[ 2026-02-16 03:32:38 | 0.0.0.0:40721 | INFO ] 🧩 Model added for round 93 (2/11) from ['0.0.0.0:50223']
[ 2026-02-16 03:32:38 | 0.0.0.0:33615 | INFO ] 🧩 Model added for round 93 (14/14) from ['0.0.0.0:40463']
[ 2026-02-16 03:32:38 | 0.0.0.0:40721 | INFO ] 🧩 Model added for round 93 (3/11) from ['0.0.0.0:40863']
[ 2026-02-16 03:32:38 | 0.0.0.0:40721 | INFO ] 🧩 Model added for round 93 (4/11) from ['0.0.0.0:42433']
[ 2026-02-16 03:32:38 | 0.0.0.0:56693 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 03:32:38 | 0.0.0.0:40721 | INFO ] 🧩 Model added for round 93 (5/11) from ['0.0.0.0:37661']
[ 2026-02-16 03:32:38 | 0.0.0.0:49631 | INFO ] 🧩 Model added for round 93 (7/7) from ['0.0.0.0:33615']
[ 2026-02-16 03:32:38 | 0.0.0.0:40721 | INFO ] 🧩 Model added for round 93 (6/11) from ['0.0.0.0:34769']
[ 2026-02-16 03:32:38 | 0.0.0.0:33053 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 03:32:38 | 0.0.0.0:40721 | INFO ] 🧩 Model added for round 93 (7/11) from ['0.0.0.0:59459']
[ 2026-02-16 03:32:38 | 0.0.0.0:40721 | INFO ] 🧩 Model added for round 93 (8/11) from ['0.0.0.0:51839']
[ 2026-02-16 03:32:38 | 0.0.0.0:40721 | INFO ] 🧩 Model added for round 93 (9/11) from ['0.0.0.0:59201']
[ 2026-02-16 03:32:38 | 0.0.0.0:42937 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 03:32:38 | 0.0.0.0:40721 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-16 03:32:38 | 0.0.0.0:49631 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 03:32:39 | 0.0.0.0:34769 | INFO ] 🧩 Model added for round 93 (8/10) from ['0.0.0.0:33443']
[ 2026-02-16 03:32:39 | 0.0.0.0:40721 | INFO ] 🎓 Training step done.
