[ 2026-05-20 15:19:06 | None | INFO ] Created experiment folder: /home/hoap/p2pfl/experiments/p2pfl_MNIST_DirichletPartitionStrategy_DSGTAggregator_model_build_fn_20260520_151906 and copied 02_mnist_dirichlet_0.1_dsgt.yaml
[ 2026-05-20 15:19:06 | None | INFO ] Set simulation heartbeat: timeout=300.0s, period=1.0s
[ 2026-05-20 15:19:08 | node | INFO ] InMemoryServer started at node
[ 2026-05-20 15:19:08 | node | INFO ] 🏁 Starting gossiper...
[ 2026-05-20 15:19:08 | None | INFO ] 🚀 Created 0/10 nodes, waiting 1.00s for CPU to breathe...
[ 2026-05-20 15:19:09 | node_1 | INFO ] InMemoryServer started at node_1
[ 2026-05-20 15:19:09 | node_1 | INFO ] 🏁 Starting gossiper...
[ 2026-05-20 15:19:10 | node_2 | INFO ] InMemoryServer started at node_2
[ 2026-05-20 15:19:10 | node_2 | INFO ] 🏁 Starting gossiper...
[ 2026-05-20 15:19:11 | node_3 | INFO ] InMemoryServer started at node_3
[ 2026-05-20 15:19:11 | node_3 | INFO ] 🏁 Starting gossiper...
[ 2026-05-20 15:19:13 | node_4 | INFO ] InMemoryServer started at node_4
[ 2026-05-20 15:19:13 | node_4 | INFO ] 🏁 Starting gossiper...
[ 2026-05-20 15:19:14 | node_5 | INFO ] InMemoryServer started at node_5
[ 2026-05-20 15:19:14 | node_5 | INFO ] 🏁 Starting gossiper...
[ 2026-05-20 15:19:14 | None | INFO ] 🚀 Created 5/10 nodes, waiting 1.50s for CPU to breathe...
[ 2026-05-20 15:19:16 | node_6 | INFO ] InMemoryServer started at node_6
[ 2026-05-20 15:19:16 | node_6 | INFO ] 🏁 Starting gossiper...
[ 2026-05-20 15:19:17 | node_7 | INFO ] InMemoryServer started at node_7
[ 2026-05-20 15:19:17 | node_7 | INFO ] 🏁 Starting gossiper...
[ 2026-05-20 15:19:19 | node_8 | INFO ] InMemoryServer started at node_8
[ 2026-05-20 15:19:19 | node_8 | INFO ] 🏁 Starting gossiper...
[ 2026-05-20 15:19:21 | node_9 | INFO ] InMemoryServer started at node_9
[ 2026-05-20 15:19:21 | node_9 | INFO ] 🏁 Starting gossiper...
