[ 2026-05-14 04:51:21 | None | INFO ] Created experiment folder: /home/hoap/p2pfl/experiments/p2pfl_MNIST_RandomIIDPartitionStrategy_DSGTAggregator_model_build_fn_20260514_045121 and copied dsgt_test.yaml
[ 2026-05-14 04:51:21 | None | INFO ] Set simulation heartbeat: timeout=300s, period=5s
[ 2026-05-14 04:51:23 | node | INFO ] InMemoryServer started at node
[ 2026-05-14 04:51:23 | node | INFO ] 🏁 Starting gossiper...
[ 2026-05-14 04:51:23 | None | INFO ] 🚀 Created 0/5 nodes, waiting 1.00s for CPU to breathe...
[ 2026-05-14 04:51:24 | node_1 | INFO ] InMemoryServer started at node_1
[ 2026-05-14 04:51:24 | node_1 | INFO ] 🏁 Starting gossiper...
[ 2026-05-14 04:51:25 | node_2 | INFO ] InMemoryServer started at node_2
[ 2026-05-14 04:51:25 | node_2 | INFO ] 🏁 Starting gossiper...
[ 2026-05-14 04:51:26 | node_3 | INFO ] InMemoryServer started at node_3
[ 2026-05-14 04:51:26 | node_3 | INFO ] 🏁 Starting gossiper...
[ 2026-05-14 04:51:27 | node_4 | INFO ] InMemoryServer started at node_4
[ 2026-05-14 04:51:27 | node_4 | INFO ] 🏁 Starting gossiper...
[ 2026-05-14 04:51:29 |  | INFO ] Connected nodes node and node_1
[ 2026-05-14 04:51:29 |  | INFO ] Connected nodes node and node_2
[ 2026-05-14 04:51:29 |  | INFO ] Connected nodes node and node_3
[ 2026-05-14 04:51:29 |  | INFO ] Connected nodes node and node_4
[ 2026-05-14 04:51:29 |  | INFO ] Connected nodes node_1 and node_2
[ 2026-05-14 04:51:29 |  | INFO ] Connected nodes node_1 and node_3
[ 2026-05-14 04:51:29 |  | INFO ] Connected nodes node_1 and node_4
[ 2026-05-14 04:51:29 |  | INFO ] Connected nodes node_2 and node_3
[ 2026-05-14 04:51:29 |  | INFO ] Connected nodes node_2 and node_4
[ 2026-05-14 04:51:29 |  | INFO ] Connected nodes node_3 and node_4
[ 2026-05-14 04:51:29 | None | INFO ] 📡 Performing global simulation discovery for 5 nodes...
[ 2026-05-14 04:51:29 | None | INFO ] ⌛ Waiting for direct topology connections (4-4 per node)...
[ 2026-05-14 04:51:29 | None | INFO ] ✅ Network topology ready.
[ 2026-05-14 04:51:29 | node | INFO ] 🚀 Broadcasting start learning to 5 nodes...
[ 2026-05-14 04:51:29 | node_1 | INFO ] 🔍 Neighbors found: ['node', 'node_2', 'node_3', 'node_4'] | Degree: 4
