[ 2026-04-18 07:17:52 | None | INFO ] Created experiment folder: /home/thaihoa_hn120/p2pfl/experiments/p2pfl_MNIST_DirichletPartitionStrategy_DFedAdp_2_model_build_fn_20260418_071752 and copied 01_mnist_dirichlet_0.1.yaml
[ 2026-04-18 07:17:52 | None | INFO ] Set simulation heartbeat: timeout=99999s, period=10s
[ 2026-04-18 07:17:57 | node | INFO ] InMemoryServer started at node
[ 2026-04-18 07:17:57 | node | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 07:17:57 | None | INFO ] 🚀 Created 0/20 nodes, waiting 1.00s for CPU to breathe...
[ 2026-04-18 07:17:58 | node_1 | INFO ] InMemoryServer started at node_1
[ 2026-04-18 07:17:58 | node_1 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 07:17:59 | node_2 | INFO ] InMemoryServer started at node_2
[ 2026-04-18 07:17:59 | node_2 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 07:18:00 | node_3 | INFO ] InMemoryServer started at node_3
[ 2026-04-18 07:18:00 | node_3 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 07:18:01 | node_4 | INFO ] InMemoryServer started at node_4
[ 2026-04-18 07:18:01 | node_4 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 07:18:03 | node_5 | INFO ] InMemoryServer started at node_5
[ 2026-04-18 07:18:03 | node_5 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 07:18:03 | None | INFO ] 🚀 Created 5/20 nodes, waiting 1.50s for CPU to breathe...
[ 2026-04-18 07:18:04 | node_6 | INFO ] InMemoryServer started at node_6
[ 2026-04-18 07:18:04 | node_6 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 07:18:06 | node_7 | INFO ] InMemoryServer started at node_7
[ 2026-04-18 07:18:06 | node_7 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 07:18:08 | node_8 | INFO ] InMemoryServer started at node_8
[ 2026-04-18 07:18:08 | node_8 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 07:18:10 | node_9 | INFO ] InMemoryServer started at node_9
[ 2026-04-18 07:18:10 | node_9 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 07:18:11 | node_10 | INFO ] InMemoryServer started at node_10
[ 2026-04-18 07:18:11 | node_10 | INFO ] 🏁 Starting gossiper...
