[ 2026-04-18 07:37:13 | None | INFO ] Created experiment folder: /home/thaihoa_hn120/p2pfl/experiments/p2pfl_MNIST_DirichletPartitionStrategy_DFedAdp_model_build_fn_20260418_073713 and copied 01_mnist_dirichlet_0.1_original.yaml
[ 2026-04-18 07:37:13 | None | INFO ] Set simulation heartbeat: timeout=99999s, period=10s
[ 2026-04-18 07:37:16 | node | INFO ] InMemoryServer started at node
[ 2026-04-18 07:37:16 | node | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 07:37:16 | None | INFO ] 🚀 Created 0/20 nodes, waiting 1.00s for CPU to breathe...
[ 2026-04-18 07:37:17 | node_1 | INFO ] InMemoryServer started at node_1
[ 2026-04-18 07:37:17 | node_1 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 07:37:18 | node_2 | INFO ] InMemoryServer started at node_2
[ 2026-04-18 07:37:18 | node_2 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 07:37:19 | node_3 | INFO ] InMemoryServer started at node_3
[ 2026-04-18 07:37:19 | node_3 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 07:37:21 | node_4 | INFO ] InMemoryServer started at node_4
[ 2026-04-18 07:37:21 | node_4 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 07:37:22 | node_5 | INFO ] InMemoryServer started at node_5
[ 2026-04-18 07:37:22 | node_5 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 07:37:22 | None | INFO ] 🚀 Created 5/20 nodes, waiting 1.50s for CPU to breathe...
[ 2026-04-18 07:37:23 | node_6 | INFO ] InMemoryServer started at node_6
[ 2026-04-18 07:37:23 | node_6 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 07:37:25 | node_7 | INFO ] InMemoryServer started at node_7
[ 2026-04-18 07:37:25 | node_7 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 07:37:27 | node_8 | INFO ] InMemoryServer started at node_8
[ 2026-04-18 07:37:27 | node_8 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 07:37:29 | node_9 | INFO ] InMemoryServer started at node_9
[ 2026-04-18 07:37:29 | node_9 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 07:37:31 | node_10 | INFO ] InMemoryServer started at node_10
[ 2026-04-18 07:37:31 | node_10 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 07:37:31 | None | INFO ] 🚀 Created 10/20 nodes, waiting 2.00s for CPU to breathe...
[ 2026-04-18 07:37:33 | node_11 | INFO ] InMemoryServer started at node_11
[ 2026-04-18 07:37:33 | node_11 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 07:37:35 | node_12 | INFO ] InMemoryServer started at node_12
[ 2026-04-18 07:37:35 | node_12 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 07:37:37 | node_13 | INFO ] InMemoryServer started at node_13
[ 2026-04-18 07:37:37 | node_13 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 07:37:39 | node_14 | INFO ] InMemoryServer started at node_14
[ 2026-04-18 07:37:39 | node_14 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 07:37:42 | node_15 | INFO ] InMemoryServer started at node_15
[ 2026-04-18 07:37:42 | node_15 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 07:37:42 | None | INFO ] 🚀 Created 15/20 nodes, waiting 2.50s for CPU to breathe...
[ 2026-04-18 07:37:44 | node_16 | INFO ] InMemoryServer started at node_16
[ 2026-04-18 07:37:44 | node_16 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 07:37:47 | node_17 | INFO ] InMemoryServer started at node_17
[ 2026-04-18 07:37:47 | node_17 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 07:37:50 | node_18 | INFO ] InMemoryServer started at node_18
[ 2026-04-18 07:37:50 | node_18 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 07:37:52 | node_19 | INFO ] InMemoryServer started at node_19
[ 2026-04-18 07:37:52 | node_19 | INFO ] 🏁 Starting gossiper...
[ 2026-04-18 07:37:55 |  | INFO ] Connected nodes node and node_4
[ 2026-04-18 07:37:55 |  | INFO ] Connected nodes node and node_7
[ 2026-04-18 07:37:55 |  | INFO ] Connected nodes node and node_8
[ 2026-04-18 07:37:55 |  | INFO ] Connected nodes node and node_12
[ 2026-04-18 07:37:55 |  | INFO ] Connected nodes node and node_14
[ 2026-04-18 07:37:55 |  | INFO ] Connected nodes node and node_16
[ 2026-04-18 07:37:55 |  | INFO ] Connected nodes node and node_18
[ 2026-04-18 07:37:55 |  | INFO ] Connected nodes node_1 and node_2
[ 2026-04-18 07:37:55 |  | INFO ] Connected nodes node_1 and node_6
[ 2026-04-18 07:37:55 |  | INFO ] Connected nodes node_1 and node_7
[ 2026-04-18 07:37:55 |  | INFO ] Connected nodes node_1 and node_11
[ 2026-04-18 07:37:55 |  | INFO ] Connected nodes node_1 and node_13
[ 2026-04-18 07:37:55 |  | INFO ] Connected nodes node_1 and node_14
[ 2026-04-18 07:37:55 |  | INFO ] Connected nodes node_1 and node_15
[ 2026-04-18 07:37:55 |  | INFO ] Connected nodes node_1 and node_16
[ 2026-04-18 07:37:55 |  | INFO ] Connected nodes node_1 and node_18
[ 2026-04-18 07:37:55 |  | INFO ] Connected nodes node_2 and node_3
[ 2026-04-18 07:37:55 |  | INFO ] Connected nodes node_2 and node_4
[ 2026-04-18 07:37:55 |  | INFO ] Connected nodes node_2 and node_11
[ 2026-04-18 07:37:55 |  | INFO ] Connected nodes node_2 and node_12
[ 2026-04-18 07:37:55 |  | INFO ] Connected nodes node_2 and node_13
[ 2026-04-18 07:37:55 |  | INFO ] Connected nodes node_2 and node_14
[ 2026-04-18 07:37:55 |  | INFO ] Connected nodes node_2 and node_15
[ 2026-04-18 07:37:55 |  | INFO ] Connected nodes node_3 and node_6
[ 2026-04-18 07:37:55 |  | INFO ] Connected nodes node_3 and node_8
[ 2026-04-18 07:37:55 |  | INFO ] Connected nodes node_3 and node_11
[ 2026-04-18 07:37:55 |  | INFO ] Connected nodes node_3 and node_14
