[ 2026-05-14 05:20:41 | node_28 | INFO ] Heartbeat timeout for node_41 (394.48463249206543). Removing...
[ 2026-05-14 05:20:41 | node_28 | INFO ] Heartbeat timeout for node_49 (379.4719588756561). Removing...
[ 2026-05-14 05:20:41 | node_12 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.5972597002983093, 'test_acc': 0.8899999856948853, 'test_precision': 0.887511134147644, 'test_recall': 0.9034031629562378, 'test_f1': 0.8839177489280701, 'communication_cost': 2822790}
[ 2026-05-14 05:20:41 | node_12 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 05:20:41 | node_12 | INFO ] 🎉 Round 19 of 100 finished.
[ 2026-05-14 05:20:41 | node_12 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 24
[ 2026-05-14 05:20:41 | node_12 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 05:20:41 | node_12 | INFO ] 🎓 Training step done.
[ 2026-05-14 05:20:41 | node_38 | INFO ] Heartbeat timeout for node_7 (391.20941042900085). Removing...
[ 2026-05-14 05:20:41 | node_38 | INFO ] Heartbeat timeout for node_31 (406.2471239566803). Removing...
[ 2026-05-14 05:20:41 | node_38 | INFO ] Heartbeat timeout for node_14 (412.89896845817566). Removing...
[ 2026-05-14 05:20:41 | node_38 | INFO ] Heartbeat timeout for node_48 (394.72350692749023). Removing...
[ 2026-05-14 05:20:41 | node_38 | INFO ] Heartbeat timeout for node_27 (392.8714747428894). Removing...
[ 2026-05-14 05:20:41 | node_38 | INFO ] Heartbeat timeout for node_19 (403.3946807384491). Removing...
[ 2026-05-14 05:20:41 | node_38 | INFO ] Heartbeat timeout for node_41 (395.2185969352722). Removing...
[ 2026-05-14 05:20:41 | node_38 | INFO ] Heartbeat timeout for node_5 (394.2711646556854). Removing...
[ 2026-05-14 05:20:41 | node_38 | INFO ] Heartbeat timeout for node_35 (393.48509311676025). Removing...
