[ 2026-02-15 07:25:52 | 0.0.0.0:37071 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 07:25:52 | 0.0.0.0:37071 | INFO ] 🤫 Gossip finished.
[ 2026-02-15 07:25:52 | 0.0.0.0:37071 | INFO ] 🔬 Evaluating...
[ 2026-02-15 07:25:52 | 0.0.0.0:57349 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 07:25:52 | 0.0.0.0:57349 | INFO ] 🔬 Evaluating...
[ 2026-02-15 07:25:52 | 0.0.0.0:37071 | INFO ] 📈 Evaluated. Results: {'test_loss': 9.376886367797852, 'test_acc': 0.43150684237480164, 'test_precision': 0.24756468832492828, 'test_recall': 0.13136056065559387, 'test_f1': 0.154782235622406}
[ 2026-02-15 07:25:52 | 0.0.0.0:37071 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 07:25:52 | 0.0.0.0:37071 | INFO ] 🎉 Round 90 of 100 finished.
[ 2026-02-15 07:25:52 | 0.0.0.0:37071 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 47
[ 2026-02-15 07:25:52 | 0.0.0.0:37071 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 07:25:52 | 0.0.0.0:57349 | INFO ] 📈 Evaluated. Results: {'test_loss': 67.83689880371094, 'test_acc': 0.008658008649945259, 'test_precision': 0.03693181648850441, 'test_recall': 0.033766236156225204, 'test_f1': 0.031655844300985336}
[ 2026-02-15 07:25:52 | 0.0.0.0:57349 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 07:25:52 | 0.0.0.0:57349 | WARNING ] ⚠️ Aggregation list empty after timeout. Using local backup.
[ 2026-02-15 07:25:52 | 0.0.0.0:57349 | INFO ] 🎉 Round 89 of 100 finished.
[ 2026-02-15 07:25:52 | 0.0.0.0:57349 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 46
[ 2026-02-15 07:25:52 | 0.0.0.0:57349 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 07:25:52 | 0.0.0.0:57349 | INFO ] ♻️ Proactively processing 3 early models.
[ 2026-02-15 07:25:52 | 0.0.0.0:57349 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 07:25:52 | 0.0.0.0:57349 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 07:25:52 | 0.0.0.0:37071 | INFO ] 🎓 Training step done.
[ 2026-02-15 07:25:52 | 0.0.0.0:37071 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 07:25:52 | 0.0.0.0:37071 | INFO ] ✅ [FORCE] Local model added. (1/2)
[ 2026-02-15 07:25:52 | 0.0.0.0:46073 | INFO ] 🎓 Training step done.
[ 2026-02-15 07:25:52 | 0.0.0.0:46073 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 07:25:52 | 0.0.0.0:46073 | INFO ] ✅ [FORCE] Local model added. (1/3)
[ 2026-02-15 07:25:52 | 0.0.0.0:57349 | INFO ] 🎓 Training step done.
[ 2026-02-15 07:25:52 | 0.0.0.0:57349 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 07:25:52 | 0.0.0.0:57349 | INFO ] ✅ [FORCE] Local model added. (1/5)
[ 2026-02-15 07:25:55 | 0.0.0.0:48431 | INFO ] 📤 Sending model to 5 direct neighbors: ['0.0.0.0:48251', '0.0.0.0:57349', '0.0.0.0:49453', '0.0.0.0:45781', '0.0.0.0:47473']
[ 2026-02-15 07:25:55 | 0.0.0.0:57349 | INFO ] 🧩 Model added (2/5) from ['0.0.0.0:48431']
[ 2026-02-15 07:25:55 | 0.0.0.0:45781 | INFO ] 🧩 Model added (2/4) from ['0.0.0.0:48431']
[ 2026-02-15 07:25:56 | 0.0.0.0:45781 | INFO ] 📤 Sending model to 3 direct neighbors: ['0.0.0.0:49453', '0.0.0.0:48431', '0.0.0.0:33489']
[ 2026-02-15 07:25:56 | 0.0.0.0:45781 | INFO ] 📤 Sending model to 3 direct neighbors: ['0.0.0.0:49453', '0.0.0.0:48431', '0.0.0.0:33489']
[ 2026-02-15 07:25:56 | 0.0.0.0:33489 | INFO ] 📤 Sending model to 1 direct neighbors: ['0.0.0.0:45781']
[ 2026-02-15 07:25:56 | 0.0.0.0:33489 | INFO ] 📤 Sending model to 1 direct neighbors: ['0.0.0.0:45781']
[ 2026-02-15 07:25:56 | 0.0.0.0:45781 | INFO ] 🧩 Model added (3/4) from ['0.0.0.0:33489']
[ 2026-02-15 07:25:57 | 0.0.0.0:37071 | INFO ] 📤 Sending model to 1 direct neighbors: ['0.0.0.0:46073']
[ 2026-02-15 07:25:57 | 0.0.0.0:46073 | INFO ] 🧩 Model added (2/3) from ['0.0.0.0:37071']
[ 2026-02-15 07:25:57 | 0.0.0.0:46073 | INFO ] 📤 Sending model to 2 direct neighbors: ['0.0.0.0:37071', '0.0.0.0:52613']
[ 2026-02-15 07:25:57 | 0.0.0.0:57349 | INFO ] 📤 Sending model to 4 direct neighbors: ['0.0.0.0:48251', '0.0.0.0:37875', '0.0.0.0:52613', '0.0.0.0:48431']
[ 2026-02-15 07:25:58 | 0.0.0.0:48431 | INFO ] 🧩 Model added (2/6) from ['0.0.0.0:57349']
[ 2026-02-15 07:26:01 | 0.0.0.0:48431 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 07:26:01 | 0.0.0.0:48431 | INFO ] 🔬 Evaluating...
[ 2026-02-15 07:26:02 | 0.0.0.0:48431 | INFO ] 📈 Evaluated. Results: {'test_loss': 26.250186920166016, 'test_acc': 0.2150537669658661, 'test_precision': 0.07545581459999084, 'test_recall': 0.4000000059604645, 'test_f1': 0.12199999392032623}
[ 2026-02-15 07:26:02 | 0.0.0.0:48431 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 07:26:02 | 0.0.0.0:48431 | WARNING ] ⚠️ Aggregation list empty after timeout. Using local backup.
[ 2026-02-15 07:26:02 | 0.0.0.0:48431 | INFO ] 🎉 Round 90 of 100 finished.
[ 2026-02-15 07:26:02 | 0.0.0.0:48431 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 48
[ 2026-02-15 07:26:02 | 0.0.0.0:48431 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 07:26:02 | 0.0.0.0:48431 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 07:26:02 | 0.0.0.0:48431 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 07:26:02 | 0.0.0.0:48431 | INFO ] 🎓 Training step done.
[ 2026-02-15 07:26:02 | 0.0.0.0:48431 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 07:26:02 | 0.0.0.0:48431 | INFO ] ✅ [FORCE] Local model added. (1/6)
[ 2026-02-15 07:26:02 | 0.0.0.0:45781 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 07:26:02 | 0.0.0.0:45781 | INFO ] 🔬 Evaluating...
[ 2026-02-15 07:26:03 | 0.0.0.0:45781 | INFO ] 📈 Evaluated. Results: {'test_loss': 18.825664520263672, 'test_acc': 0.4962121248245239, 'test_precision': 0.2680218517780304, 'test_recall': 0.273616760969162, 'test_f1': 0.2575019299983978}
[ 2026-02-15 07:26:03 | 0.0.0.0:45781 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 07:26:03 | 0.0.0.0:45781 | WARNING ] ⚠️ Aggregation list empty after timeout. Using local backup.
[ 2026-02-15 07:26:03 | 0.0.0.0:45781 | INFO ] 🎉 Round 63 of 100 finished.
[ 2026-02-15 07:26:03 | 0.0.0.0:45781 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-15 07:26:03 | 0.0.0.0:45781 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 07:26:03 | 0.0.0.0:45781 | WARNING ] ⚠️ Aggregation list empty after timeout. Using local backup.
[ 2026-02-15 07:26:03 | 0.0.0.0:45781 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 07:26:03 | 0.0.0.0:45781 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 07:26:03 | 0.0.0.0:45781 | INFO ] ♻️ Proactively processing 1 early models.
[ 2026-02-15 07:26:03 | 0.0.0.0:45781 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 07:26:03 | 0.0.0.0:45781 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 07:26:03 | 0.0.0.0:33489 | INFO ] 🧩 Model added (2/2) from ['0.0.0.0:45781']
[ 2026-02-15 07:26:03 | 0.0.0.0:33489 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 07:26:03 | 0.0.0.0:33489 | WARNING ] ⚠️ Aggregation list empty after timeout. Using local backup.
[ 2026-02-15 07:26:03 | 0.0.0.0:33489 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 07:26:03 | 0.0.0.0:33489 | INFO ] 🤫 Gossip finished.
[ 2026-02-15 07:26:03 | 0.0.0.0:33489 | INFO ] 🔬 Evaluating...
[ 2026-02-15 07:26:03 | 0.0.0.0:33489 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 07:26:03 | 0.0.0.0:33489 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 07:26:03 | 0.0.0.0:33489 | INFO ] 🤫 Gossip finished.
[ 2026-02-15 07:26:03 | 0.0.0.0:33489 | INFO ] 🔬 Evaluating...
[ 2026-02-15 07:26:03 | 0.0.0.0:45781 | INFO ] 🎓 Training step done.
[ 2026-02-15 07:26:03 | 0.0.0.0:45781 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 07:26:03 | 0.0.0.0:45781 | INFO ] ✅ [FORCE] Local model added. (1/4)
[ 2026-02-15 07:26:03 | 0.0.0.0:33489 | INFO ] 📈 Evaluated. Results: {'test_loss': 12.994067192077637, 'test_acc': 0.2326388955116272, 'test_precision': 0.2527140974998474, 'test_recall': 0.09198597073554993, 'test_f1': 0.09287333488464355}
[ 2026-02-15 07:26:03 | 0.0.0.0:33489 | INFO ] 📈 Evaluated. Results: {'test_loss': 12.994067192077637, 'test_acc': 0.2326388955116272, 'test_precision': 0.2527140974998474, 'test_recall': 0.09198597073554993, 'test_f1': 0.09287333488464355}
[ 2026-02-15 07:26:03 | 0.0.0.0:33489 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 07:26:03 | 0.0.0.0:33489 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 07:26:03 | 0.0.0.0:33489 | INFO ] 🎉 Round 65 of 100 finished.
[ 2026-02-15 07:26:03 | 0.0.0.0:33489 | INFO ] 🎉 Round 65 of 100 finished.
[ 2026-02-15 07:26:03 | 0.0.0.0:33489 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 46
[ 2026-02-15 07:26:03 | 0.0.0.0:33489 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 46
