[ 2026-02-15 07:48:33 | 0.0.0.0:40971 | INFO ] 📈 Evaluated. Results: {'test_loss': 5.085007190704346, 'test_acc': 0.8999999761581421, 'test_precision': 0.89998459815979, 'test_recall': 0.903135359287262, 'test_f1': 0.8952043652534485}
[ 2026-02-15 07:48:33 | 0.0.0.0:40971 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 07:48:33 | 0.0.0.0:44241 | INFO ] 🎓 Training step done.
[ 2026-02-15 07:48:33 | 0.0.0.0:44241 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 07:48:33 | 0.0.0.0:44241 | INFO ] ✅ [FORCE] Local model added. (1/6)
[ 2026-02-15 07:48:33 | 0.0.0.0:35409 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 07:48:33 | 0.0.0.0:38439 | INFO ] 🎉 Round 71 of 100 finished.
[ 2026-02-15 07:48:33 | 0.0.0.0:44241 | INFO ] 🎉 Round 88 of 100 finished.
[ 2026-02-15 07:48:33 | 0.0.0.0:38439 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 47
[ 2026-02-15 07:48:33 | 0.0.0.0:44241 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-15 07:48:33 | 0.0.0.0:38439 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 07:48:33 | 0.0.0.0:44241 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 07:48:33 | 0.0.0.0:45741 | INFO ] 📤 Sending model to 2 direct neighbors: ['0.0.0.0:36333', '0.0.0.0:58489']
[ 2026-02-15 07:48:33 | 0.0.0.0:45741 | INFO ] 📤 Sending model to 2 direct neighbors: ['0.0.0.0:36333', '0.0.0.0:58489']
[ 2026-02-15 07:48:33 | 0.0.0.0:36333 | INFO ] 🧩 Model added (2/8) from ['0.0.0.0:45741']
[ 2026-02-15 07:48:33 | 0.0.0.0:35409 | INFO ] 🎓 Training step done.
[ 2026-02-15 07:48:33 | 0.0.0.0:35409 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 07:48:33 | 0.0.0.0:35409 | INFO ] ✅ [FORCE] Local model added. (1/3)
[ 2026-02-15 07:48:33 | 0.0.0.0:40971 | WARNING ] ⚠️ Aggregation list empty after timeout. Using local backup.
[ 2026-02-15 07:48:33 | 0.0.0.0:40971 | INFO ] 🎉 Round 56 of 100 finished.
[ 2026-02-15 07:48:33 | 0.0.0.0:40971 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-15 07:48:33 | 0.0.0.0:40971 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 07:48:33 | 0.0.0.0:40971 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 07:48:33 | 0.0.0.0:38439 | INFO ] 🎓 Training step done.
[ 2026-02-15 07:48:33 | 0.0.0.0:45741 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 07:48:33 | 0.0.0.0:45741 | WARNING ] ⚠️ Aggregation list empty after timeout. Using local backup.
[ 2026-02-15 07:48:33 | 0.0.0.0:38439 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 07:48:33 | 0.0.0.0:42895 | INFO ] 📤 Sending model to 3 direct neighbors: ['0.0.0.0:58489', '0.0.0.0:51431', '0.0.0.0:51295']
[ 2026-02-15 07:48:33 | 0.0.0.0:42895 | INFO ] 📤 Sending model to 3 direct neighbors: ['0.0.0.0:58489', '0.0.0.0:51431', '0.0.0.0:51295']
