[ 2026-02-15 08:40:32 | 0.0.0.0:41199 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 48
[ 2026-02-15 08:40:32 | 0.0.0.0:41199 | INFO ] ♻️ Proactively processing 2 early models.
[ 2026-02-15 08:40:32 | 0.0.0.0:41895 | INFO ] 🎉 Round 10 of 100 finished.
[ 2026-02-15 08:40:32 | 0.0.0.0:41199 | INFO ] 🧩 Model added (1/4) from ['0.0.0.0:45333']
[ 2026-02-15 08:40:32 | 0.0.0.0:41895 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 47
[ 2026-02-15 08:40:32 | 0.0.0.0:41199 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 08:40:32 | 0.0.0.0:41895 | INFO ] ♻️ Proactively processing 3 early models.
[ 2026-02-15 08:40:32 | 0.0.0.0:41895 | INFO ] 🧩 Model added (1/5) from ['0.0.0.0:59479']
[ 2026-02-15 08:40:32 | 0.0.0.0:41895 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 08:40:32 | 0.0.0.0:41199 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 08:40:32 | 0.0.0.0:41199 | INFO ] 🔬 Evaluating...
[ 2026-02-15 08:40:32 | 0.0.0.0:41199 | INFO ] 🎓 Training step done.
[ 2026-02-15 08:40:32 | 0.0.0.0:41199 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 08:40:32 | 0.0.0.0:41895 | INFO ] 🎓 Training step done.
[ 2026-02-15 08:40:32 | 0.0.0.0:41199 | INFO ] ✅ [FORCE] Local model added. (2/4)
[ 2026-02-15 08:40:32 | 0.0.0.0:41895 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 08:40:32 | 0.0.0.0:41895 | INFO ] ✅ [FORCE] Local model added. (2/5)
[ 2026-02-15 08:40:32 | 0.0.0.0:41199 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.8015384674072266, 'test_acc': 0.9049999713897705, 'test_precision': 0.9132241606712341, 'test_recall': 0.9026356339454651, 'test_f1': 0.899427056312561}
[ 2026-02-15 08:40:32 | 0.0.0.0:41199 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 08:40:32 | 0.0.0.0:41199 | INFO ] 🎉 Round 12 of 100 finished.
[ 2026-02-15 08:40:32 | 0.0.0.0:41199 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 48
[ 2026-02-15 08:40:32 | 0.0.0.0:41199 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 08:40:32 | 0.0.0.0:41199 | INFO ] 🎓 Training step done.
[ 2026-02-15 08:40:32 | 0.0.0.0:41199 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 08:40:32 | 0.0.0.0:41199 | INFO ] ✅ [FORCE] Local model added. (1/4)
[ 2026-02-15 08:40:33 | 0.0.0.0:55817 | INFO ] 📤 Sending model to 6 direct neighbors: ['0.0.0.0:37699', '0.0.0.0:51449', '0.0.0.0:60331', '0.0.0.0:48049', '0.0.0.0:58027', '0.0.0.0:51535']
[ 2026-02-15 08:40:33 | 0.0.0.0:55817 | INFO ] 📤 Sending model to 6 direct neighbors: ['0.0.0.0:37699', '0.0.0.0:51449', '0.0.0.0:60331', '0.0.0.0:48049', '0.0.0.0:58027', '0.0.0.0:51535']
[ 2026-02-15 08:40:33 | 0.0.0.0:60331 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 08:40:33 | 0.0.0.0:60331 | INFO ] 🔬 Evaluating...
[ 2026-02-15 08:40:33 | 0.0.0.0:60331 | INFO ] 📈 Evaluated. Results: {'test_loss': 3.105647087097168, 'test_acc': 0.8899999856948853, 'test_precision': 0.9016011953353882, 'test_recall': 0.8892064094543457, 'test_f1': 0.8897033929824829}
[ 2026-02-15 08:40:33 | 0.0.0.0:60331 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 08:40:33 | 0.0.0.0:60331 | WARNING ] ⚠️ Aggregation list empty after timeout. Using local backup.
[ 2026-02-15 08:40:33 | 0.0.0.0:60331 | INFO ] 🎉 Round 63 of 100 finished.
[ 2026-02-15 08:40:33 | 0.0.0.0:60331 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 48
[ 2026-02-15 08:40:33 | 0.0.0.0:60331 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 08:40:33 | 0.0.0.0:60331 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 08:40:33 | 0.0.0.0:60331 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 08:40:33 | 0.0.0.0:55817 | INFO ] 🧩 Model added (3/7) from ['0.0.0.0:60331']
[ 2026-02-15 08:40:33 | 0.0.0.0:60331 | INFO ] 🎓 Training step done.
[ 2026-02-15 08:40:33 | 0.0.0.0:60331 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 08:40:33 | 0.0.0.0:60331 | INFO ] ✅ [FORCE] Local model added. (1/3)
[ 2026-02-15 08:40:34 | 0.0.0.0:60331 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 08:40:34 | 0.0.0.0:60331 | INFO ] 🔬 Evaluating...
