[ 2026-02-13 08:21:14 | None | INFO ] Created experiment folder: /mnt/c/Users/thaih/Documents/HK252/DATN/p2pfl/experiments/p2pfl_MNIST_RandomIIDPartitionStrategy_PSGD_model_build_fn_20260213_082114 and copied mnist.yaml
[ 2026-02-13 08:21:24 | ActorPool | WARNING ] No GPUs available. Actors will run on CPU only.
[ 2026-02-13 08:21:24 | ActorPool | INFO ] Initialized with 4 actors, 0 GPU per actor
[ 2026-02-13 08:21:24 | node | INFO ] InMemoryServer started at node
[ 2026-02-13 08:21:24 | node | INFO ] 🏁 Starting gossiper...
[ 2026-02-13 08:21:24 | node_1 | INFO ] InMemoryServer started at node_1
[ 2026-02-13 08:21:24 | node_1 | INFO ] 🏁 Starting gossiper...
[ 2026-02-13 08:21:25 | node_2 | INFO ] InMemoryServer started at node_2
[ 2026-02-13 08:21:25 | node_2 | INFO ] 🏁 Starting gossiper...
[ 2026-02-13 08:21:25 |  | INFO ] Connected nodes node and node_1
[ 2026-02-13 08:21:25 |  | INFO ] Connected nodes node and node_2
[ 2026-02-13 08:21:25 |  | INFO ] Connected nodes node_1 and node_2
[ 2026-02-13 08:21:25 | node | INFO ] 🚀 Broadcasting start learning...
[ 2026-02-13 08:21:25 | node_1 | INFO ] 🔍 Neighbors found: ['node', 'node_2'] | Degree: 2
[ 2026-02-13 08:21:25 | node_2 | INFO ] 🔍 Neighbors found: ['node', 'node_1'] | Degree: 2
[ 2026-02-13 08:21:25 | node_1 | INFO ] ⏳ Waiting initialization.
[ 2026-02-13 08:21:25 | node_2 | INFO ] ⏳ Waiting initialization.
[ 2026-02-13 08:21:25 | node | INFO ] 🔍 Neighbors found: ['node_1', 'node_2'] | Degree: 2
[ 2026-02-13 08:21:25 | node | INFO ] ⏳ Waiting initialization.
[ 2026-02-13 08:21:25 | node | INFO ] 🗣️ Gossiping model initialization.
[ 2026-02-13 08:21:26 | node_1 | INFO ] 🤖 Model Weights Initialized
[ 2026-02-13 08:21:26 | node_1 | INFO ] 🗣️ Gossiping model initialization.
[ 2026-02-13 08:21:26 | node_2 | INFO ] 🤖 Model Weights Initialized
[ 2026-02-13 08:21:26 | node_2 | INFO ] 🗣️ Gossiping model initialization.
[ 2026-02-13 08:21:27 | node_1 | INFO ] 🤫 Gossip finished.
[ 2026-02-13 08:21:27 | node_2 | INFO ] 🤫 Gossip finished.
[ 2026-02-13 08:21:27 | node | INFO ] 🤫 Gossip finished.
[ 2026-02-13 08:21:29 | node_1 | INFO ] 🚂 Train set of 3 nodes (all available nodes): ['node', 'node_2', 'node_1']
[ 2026-02-13 08:21:29 | node_2 | INFO ] 🚂 Train set of 3 nodes (all available nodes): ['node', 'node_1', 'node_2']
[ 2026-02-13 08:21:29 | node_1 | INFO ] 🔬 Evaluating...
[ 2026-02-13 08:21:29 | node_2 | INFO ] 🔬 Evaluating...
[ 2026-02-13 08:21:29 | node | INFO ] 🚂 Train set of 3 nodes (all available nodes): ['node_1', 'node_2', 'node']
[ 2026-02-13 08:21:29 | node | INFO ] 🔬 Evaluating...
[ 2026-02-13 08:23:56 | node_2 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 8.24547290802002, 'test_acc\n': 0.08640863746404648, 'test_precision\n': 0.09859021753072739, 'test_recall\n': 0.08374020457267761, 'test_f1\n': 0.07532607018947601}
[ 2026-02-13 08:23:56 | node | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 8.524264335632324, 'test_acc\n': 0.08608278632164001, 'test_precision\n': 0.12125995755195618, 'test_recall\n': 0.0854267030954361, 'test_f1\n': 0.07403384894132614}
[ 2026-02-13 08:23:56 | node | INFO ] 📢 Broadcasting metrics.
[ 2026-02-13 08:23:56 | node_2 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-13 08:23:56 | node | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-13 08:23:56 | node_2 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-13 08:24:17 | node_2 | INFO ] 🎓 Training step done.
[ 2026-02-13 08:24:17 | node_2 | INFO ] 🧩 Model added (1/3) from ['node_2']
[ 2026-02-13 08:24:17 | node | INFO ] 🎓 Training step done.
[ 2026-02-13 08:24:18 | node | INFO ] 🧩 Model added (1/3) from ['node']
[ 2026-02-13 08:24:23 | node_2 | INFO ] 📤 Sending model to 2 direct neighbors: ['node', 'node_1']
[ 2026-02-13 08:24:23 | node | INFO ] 📤 Sending model to 2 direct neighbors: ['node_1', 'node_2']
[ 2026-02-13 08:24:23 | node | INFO ] 🧩 Model added (2/3) from ['node_2']
[ 2026-02-13 08:24:23 | node_1 | INFO ] 🧩 Model added (1/3) from ['node']
[ 2026-02-13 08:24:23 | node_2 | INFO ] 🧩 Model added (2/3) from ['node']
[ 2026-02-13 08:24:23 | node_1 | INFO ] 🧩 Model added (2/3) from ['node_2']
[ 2026-02-13 08:25:22 | node_1 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 8.586212158203125, 'test_acc\n': 0.08760876208543777, 'test_precision\n': 0.1278795599937439, 'test_recall\n': 0.08737357705831528, 'test_f1\n': 0.07750340551137924}
[ 2026-02-13 08:25:22 | node_1 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-13 08:25:22 | node_1 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-13 08:25:30 | node_1 | INFO ] 🎓 Training step done.
[ 2026-02-13 08:25:30 | node_1 | INFO ] 🧩 Model added (3/3) from ['node_1']
[ 2026-02-13 08:25:35 | node_1 | INFO ] 📤 Sending model to 2 direct neighbors: ['node', 'node_2']
[ 2026-02-13 08:25:35 | node | INFO ] 🧩 Model added (3/3) from ['node_1']
[ 2026-02-13 08:25:35 | node | INFO ] 🧠 Aggregating models.
[ 2026-02-13 08:25:36 | node_2 | INFO ] 🧩 Model added (3/3) from ['node_1']
[ 2026-02-13 08:25:36 | node_2 | INFO ] 🧠 Aggregating models.
[ 2026-02-13 08:25:36 | node | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-13 08:25:36 | node_1 | INFO ] 🧠 Aggregating models.
[ 2026-02-13 08:25:36 | node_2 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-13 08:25:36 | node_1 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-13 08:25:36 | node_1 | INFO ] 🤫 Gossip finished.
[ 2026-02-13 08:25:36 | node_1 | INFO ] 🎉 Round 1 of 5 finished.
[ 2026-02-13 08:25:36 | node_1 | INFO ] 🗳️ Sending train set vote.
[ 2026-02-13 08:25:37 | node | INFO ] 🤫 Gossip finished.
[ 2026-02-13 08:25:37 | node_2 | INFO ] 🤫 Gossip finished.
[ 2026-02-13 08:25:37 | node | INFO ] 🎉 Round 1 of 5 finished.
[ 2026-02-13 08:25:37 | node_2 | INFO ] 🎉 Round 1 of 5 finished.
[ 2026-02-13 08:25:37 | node | INFO ] 🗳️ Sending train set vote.
[ 2026-02-13 08:25:37 | node_2 | INFO ] 🗳️ Sending train set vote.
[ 2026-02-13 08:25:37 | node_1 | INFO ] 🔢 Computed 3 votes.
[ 2026-02-13 08:25:37 | node_1 | INFO ] 🚂 Train set of 3 nodes: ['node_1', 'node', 'node_2']
[ 2026-02-13 08:25:37 | node | INFO ] 🔢 Computed 3 votes.
[ 2026-02-13 08:25:37 | node_2 | INFO ] 🔢 Computed 3 votes.
[ 2026-02-13 08:25:37 | node | INFO ] 🚂 Train set of 3 nodes: ['node_1', 'node', 'node_2']
[ 2026-02-13 08:25:37 | node_1 | INFO ] 🔬 Evaluating...
[ 2026-02-13 08:25:37 | node_2 | INFO ] 🚂 Train set of 3 nodes: ['node_1', 'node', 'node_2']
[ 2026-02-13 08:25:37 | node | INFO ] 🔬 Evaluating...
[ 2026-02-13 08:25:37 | node_2 | INFO ] 🔬 Evaluating...
[ 2026-02-13 08:25:39 | node | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 10.991568565368652, 'test_acc\n': 0.1787642538547516, 'test_precision\n': 0.14492492377758026, 'test_recall\n': 0.17343339323997498, 'test_f1\n': 0.11981922388076782}
[ 2026-02-13 08:25:39 | node | INFO ] 📢 Broadcasting metrics.
[ 2026-02-13 08:25:39 | node_1 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 9.222127914428711, 'test_acc\n': 0.1635163575410843, 'test_precision\n': 0.1389753520488739, 'test_recall\n': 0.16400335729122162, 'test_f1\n': 0.12102190405130386}
[ 2026-02-13 08:25:39 | node_1 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-13 08:25:39 | node | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-13 08:25:39 | node_1 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-13 08:25:40 | node_2 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 9.863110542297363, 'test_acc\n': 0.18361836671829224, 'test_precision\n': 0.16494520008563995, 'test_recall\n': 0.18262821435928345, 'test_f1\n': 0.1212470605969429}
[ 2026-02-13 08:25:40 | node_2 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-13 08:25:40 | node_2 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-13 08:25:53 | node | INFO ] 🎓 Training step done.
[ 2026-02-13 08:25:53 | node | INFO ] 🧩 Model added (1/3) from ['node']
[ 2026-02-13 08:25:53 | node_1 | INFO ] 🎓 Training step done.
[ 2026-02-13 08:25:53 | node_1 | INFO ] 🧩 Model added (1/3) from ['node_1']
[ 2026-02-13 08:25:54 | node_2 | INFO ] 🎓 Training step done.
[ 2026-02-13 08:25:54 | node_2 | INFO ] 🧩 Model added (1/3) from ['node_2']
[ 2026-02-13 08:25:58 | node | INFO ] 📤 Sending model to 2 direct neighbors: ['node_1', 'node_2']
