[ 2026-02-13 08:50:50 | None | INFO ] Created experiment folder: /mnt/c/Users/thaih/Documents/HK252/DATN/p2pfl/experiments/p2pfl_MNIST_RandomIIDPartitionStrategy_DFedAdp_model_build_fn_20260213_085050 and copied mnist.yaml
[ 2026-02-13 08:51:01 | ActorPool | WARNING ] No GPUs available. Actors will run on CPU only.
[ 2026-02-13 08:51:01 | ActorPool | INFO ] Initialized with 4 actors, 0 GPU per actor
[ 2026-02-13 08:51:01 | node | INFO ] InMemoryServer started at node
[ 2026-02-13 08:51:01 | node | INFO ] 🏁 Starting gossiper...
[ 2026-02-13 08:51:01 | node_1 | INFO ] InMemoryServer started at node_1
[ 2026-02-13 08:51:01 | node_1 | INFO ] 🏁 Starting gossiper...
[ 2026-02-13 08:51:01 | node_2 | INFO ] InMemoryServer started at node_2
[ 2026-02-13 08:51:01 | node_2 | INFO ] 🏁 Starting gossiper...
[ 2026-02-13 08:51:01 |  | INFO ] Connected nodes node and node_1
[ 2026-02-13 08:51:01 |  | INFO ] Connected nodes node and node_2
[ 2026-02-13 08:51:01 |  | INFO ] Connected nodes node_1 and node_2
[ 2026-02-13 08:51:01 | node | INFO ] 🚀 Broadcasting start learning...
[ 2026-02-13 08:51:01 | node_1 | INFO ] 🔍 Neighbors found: ['node', 'node_2'] | Degree: 2
[ 2026-02-13 08:51:01 | node_2 | INFO ] 🔍 Neighbors found: ['node', 'node_1'] | Degree: 2
[ 2026-02-13 08:51:01 | node_1 | INFO ] ⏳ Waiting initialization.
[ 2026-02-13 08:51:01 | node_2 | INFO ] ⏳ Waiting initialization.
[ 2026-02-13 08:51:01 | node | INFO ] 🔍 Neighbors found: ['node_1', 'node_2'] | Degree: 2
[ 2026-02-13 08:51:01 | node | INFO ] ⏳ Waiting initialization.
[ 2026-02-13 08:51:01 | node | INFO ] 🗣️ Gossiping model initialization.
[ 2026-02-13 08:51:02 | node_1 | INFO ] 🤖 Model Weights Initialized
[ 2026-02-13 08:51:02 | node_1 | INFO ] 🗣️ Gossiping model initialization.
[ 2026-02-13 08:51:02 | node_2 | INFO ] 🤖 Model Weights Initialized
[ 2026-02-13 08:51:03 | node_2 | INFO ] 🗣️ Gossiping model initialization.
[ 2026-02-13 08:51:03 | node_1 | INFO ] 🤫 Gossip finished.
[ 2026-02-13 08:51:04 | node_2 | INFO ] 🤫 Gossip finished.
[ 2026-02-13 08:51:04 | node | INFO ] 🤫 Gossip finished.
[ 2026-02-13 08:51:05 | node_1 | INFO ] 🚂 Train set of 3 nodes (all available nodes): ['node', 'node_2', 'node_1']
[ 2026-02-13 08:51:05 | node_2 | INFO ] 🚂 Train set of 3 nodes (all available nodes): ['node', 'node_1', 'node_2']
[ 2026-02-13 08:51:05 | node | INFO ] 🚂 Train set of 3 nodes (all available nodes): ['node_1', 'node_2', 'node']
[ 2026-02-13 08:51:05 | node_1 | INFO ] 🔬 Evaluating...
[ 2026-02-13 08:51:05 | node_2 | INFO ] 🔬 Evaluating...
[ 2026-02-13 08:51:05 | node | INFO ] 🔬 Evaluating...
[ 2026-02-13 08:53:38 | node_2 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 17.15552520751953, 'test_acc\n': 0.11641164124011993, 'test_precision\n': 0.11263434588909149, 'test_recall\n': 0.11935469508171082, 'test_f1\n': 0.05279148370027542}
[ 2026-02-13 08:53:38 | node | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 17.580108642578125, 'test_acc\n': 0.10947810113430023, 'test_precision\n': 0.084483802318573, 'test_recall\n': 0.11506177484989166, 'test_f1\n': 0.050438109785318375}
[ 2026-02-13 08:53:38 | node_2 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-13 08:53:38 | node | INFO ] 📢 Broadcasting metrics.
[ 2026-02-13 08:53:38 | node_2 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-13 08:53:38 | node | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-13 08:53:48 | node_2 | INFO ] 🎓 Training step done.
[ 2026-02-13 08:53:48 | node_2 | INFO ] 🧩 Model added (1/3) from ['node_2']
[ 2026-02-13 08:53:49 | node | INFO ] 🎓 Training step done.
[ 2026-02-13 08:53:49 | node | INFO ] 🧩 Model added (1/3) from ['node']
