[ 2026-02-15 17:22:24 | 0.0.0.0:36643 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 17:22:24 | 0.0.0.0:60823 | INFO ] 🎉 Round 93 of 100 finished.
[ 2026-02-15 17:22:24 | 0.0.0.0:55433 | INFO ] ✅ [FORCE] Local model added for round 93. (7/11)
[ 2026-02-15 17:22:24 | 0.0.0.0:54771 | INFO ] 🧩 Model added for round 93 (2/12) from ['0.0.0.0:34281']
[ 2026-02-15 17:22:24 | 0.0.0.0:54771 | INFO ] 🧩 Model added for round 93 (3/12) from ['0.0.0.0:58189']
[ 2026-02-15 17:22:24 | 0.0.0.0:60823 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-15 17:22:24 | 0.0.0.0:36643 | INFO ] 🔬 Evaluating...
[ 2026-02-15 17:22:24 | 0.0.0.0:54771 | INFO ] 🧩 Model added for round 93 (4/12) from ['0.0.0.0:50457']
[ 2026-02-15 17:22:25 | 0.0.0.0:54771 | INFO ] 🧩 Model added for round 93 (5/12) from ['0.0.0.0:56811']
[ 2026-02-15 17:22:25 | 0.0.0.0:42721 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 17:22:25 | 0.0.0.0:54771 | INFO ] 🧩 Model added for round 93 (6/12) from ['0.0.0.0:36991']
[ 2026-02-15 17:22:25 | 0.0.0.0:60823 | INFO ] ♻️ Proactively processing 5 early models for round 93.
[ 2026-02-15 17:22:25 | 0.0.0.0:40387 | INFO ] 📤 Sending model to 8 direct neighbors: ['0.0.0.0:41291', '0.0.0.0:36253', '0.0.0.0:45421', '0.0.0.0:48947', '0.0.0.0:43967', '0.0.0.0:50523', '0.0.0.0:55885', '0.0.0.0:36991']
[ 2026-02-15 17:22:25 | 0.0.0.0:36643 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.15924809873104095, 'test_acc': 0.9658536314964294, 'test_precision': 0.7809678912162781, 'test_recall': 0.8164756894111633, 'test_f1': 0.7908909320831299}
[ 2026-02-15 17:22:25 | 0.0.0.0:54771 | INFO ] 🧩 Model added for round 93 (7/12) from ['0.0.0.0:54897']
[ 2026-02-15 17:22:25 | 0.0.0.0:48947 | INFO ] 📤 Sending model to 9 direct neighbors: ['0.0.0.0:54771', '0.0.0.0:40387', '0.0.0.0:45321', '0.0.0.0:57037', '0.0.0.0:48057', '0.0.0.0:57243', '0.0.0.0:36643', '0.0.0.0:60407', '0.0.0.0:55433']
[ 2026-02-15 17:22:25 | 0.0.0.0:60823 | INFO ] 🧩 Model added for round 93 (1/8) from ['0.0.0.0:50523']
[ 2026-02-15 17:22:25 | 0.0.0.0:54771 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 17:22:25 | 0.0.0.0:36643 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 17:22:25 | 0.0.0.0:42721 | INFO ] 🔬 Evaluating...
[ 2026-02-15 17:22:25 | 0.0.0.0:60823 | INFO ] 🧩 Model added for round 93 (2/8) from ['0.0.0.0:46831']
[ 2026-02-15 17:22:25 | 0.0.0.0:60823 | INFO ] 🧩 Model added for round 93 (3/8) from ['0.0.0.0:58189']
[ 2026-02-15 17:22:25 | 0.0.0.0:60823 | INFO ] 🧩 Model added for round 93 (4/8) from ['0.0.0.0:57969']
[ 2026-02-15 17:22:25 | 0.0.0.0:42721 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.2342991679906845, 'test_acc': 0.9694322943687439, 'test_precision': 0.766089677810669, 'test_recall': 0.7536545395851135, 'test_f1': 0.7587153911590576}
