[ 2026-02-16 04:48:46 | None | INFO ] Created experiment folder: /home/thaihoa_hn120/p2pfl/experiments/p2pfl_MNIST_RandomIIDPartitionStrategy_DFedAdp_model_build_fn_20260216_044846 and copied 00_test_verify.yaml
[ 2026-02-16 04:48:46 | None | INFO ] Set simulation heartbeat: timeout=60s, period=2s
[ 2026-02-16 04:48:47 | 0.0.0.0:35583 | INFO ] 🏁 Starting gossiper...
[ 2026-02-16 04:48:47 | None | INFO ] 🚀 Created 0/3 nodes, waiting 0.50s...
[ 2026-02-16 04:48:47 | 0.0.0.0:49577 | INFO ] 🏁 Starting gossiper...
[ 2026-02-16 04:48:48 | 0.0.0.0:38783 | INFO ] 🏁 Starting gossiper...
[ 2026-02-16 04:48:48 |  | INFO ] Connected nodes 0.0.0.0:35583 and 0.0.0.0:49577
[ 2026-02-16 04:48:48 |  | INFO ] Connected nodes 0.0.0.0:35583 and 0.0.0.0:38783
[ 2026-02-16 04:48:48 |  | INFO ] Connected nodes 0.0.0.0:49577 and 0.0.0.0:38783
[ 2026-02-16 04:48:48 | None | INFO ] 📡 Performing global simulation discovery for 3 nodes...
[ 2026-02-16 04:48:48 | None | INFO ] ⌛ Waiting for direct topology connections (2-2 per node)...
[ 2026-02-16 04:48:48 | None | INFO ] ✅ Network topology ready.
[ 2026-02-16 04:48:48 | 0.0.0.0:35583 | INFO ] 🚀 Broadcasting start learning to 3 nodes...
[ 2026-02-16 04:48:48 | 0.0.0.0:49577 | INFO ] 🔍 Neighbors found: ['0.0.0.0:35583', '0.0.0.0:38783'] | Degree: 2
[ 2026-02-16 04:48:48 | 0.0.0.0:38783 | INFO ] 🔍 Neighbors found: ['0.0.0.0:35583', '0.0.0.0:49577'] | Degree: 2
[ 2026-02-16 04:48:48 | 0.0.0.0:49577 | INFO ] ⏳ Waiting initialization.
[ 2026-02-16 04:48:48 | 0.0.0.0:38783 | INFO ] ⏳ Waiting initialization.
[ 2026-02-16 04:48:48 | 0.0.0.0:35583 | INFO ] 🔍 Neighbors found: ['0.0.0.0:49577', '0.0.0.0:38783'] | Degree: 2
[ 2026-02-16 04:48:48 | 0.0.0.0:35583 | INFO ] ⏳ Waiting initialization.
[ 2026-02-16 04:48:48 | 0.0.0.0:35583 | INFO ] 🗣️ Gossiping model initialization.
[ 2026-02-16 04:48:49 | 0.0.0.0:49577 | INFO ] 🗣️ Gossiping model initialization.
[ 2026-02-16 04:48:49 | 0.0.0.0:38783 | INFO ] 🗣️ Gossiping model initialization.
[ 2026-02-16 04:48:50 | 0.0.0.0:49577 | INFO ] 🤫 Gossip finished.
[ 2026-02-16 04:48:50 | 0.0.0.0:38783 | INFO ] 🤫 Gossip finished.
[ 2026-02-16 04:48:50 | 0.0.0.0:35583 | INFO ] 🤫 Gossip finished.
[ 2026-02-16 04:48:58 | 0.0.0.0:49577 | INFO ] 🚂 Train set of 3 nodes (all available nodes): ['0.0.0.0:35583', '0.0.0.0:38783', '0.0.0.0:49577']
[ 2026-02-16 04:48:58 | 0.0.0.0:38783 | INFO ] 🚂 Train set of 3 nodes (all available nodes): ['0.0.0.0:35583', '0.0.0.0:49577', '0.0.0.0:38783']
[ 2026-02-16 04:48:58 | 0.0.0.0:49577 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-16 04:48:58 | 0.0.0.0:38783 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-16 04:48:58 | 0.0.0.0:35583 | INFO ] 🚂 Train set of 3 nodes (all available nodes): ['0.0.0.0:49577', '0.0.0.0:38783', '0.0.0.0:35583']
[ 2026-02-16 04:48:58 | 0.0.0.0:35583 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-16 04:51:06 | 0.0.0.0:35583 | INFO ] Stopping node...
[ 2026-02-16 04:51:06 | 0.0.0.0:35583 | INFO ] 🛑 Stopping gossiper...
[ 2026-02-16 04:51:06 | 0.0.0.0:49577 | INFO ] Stopping node...
[ 2026-02-16 04:51:06 | 0.0.0.0:49577 | INFO ] 🛑 Stopping gossiper...
[ 2026-02-16 04:51:06 | 0.0.0.0:38783 | INFO ] Stopping node...
[ 2026-02-16 04:51:06 | 0.0.0.0:38783 | INFO ] 🛑 Stopping gossiper...
