[ 2026-02-15 22:01:25 | 0.0.0.0:34965 | INFO ] 📤 Sending model to 9 direct neighbors: ['0.0.0.0:54027', '0.0.0.0:59953', '0.0.0.0:35165', '0.0.0.0:54425', '0.0.0.0:37927', '0.0.0.0:53859', '0.0.0.0:55957', '0.0.0.0:51783', '0.0.0.0:58125']
[ 2026-02-15 22:01:25 | 0.0.0.0:55957 | INFO ] 🧩 Model added for round 93 (9/12) from ['0.0.0.0:39315']
[ 2026-02-15 22:01:25 | 0.0.0.0:53793 | INFO ] 🧩 Model added for round 93 (5/8) from ['0.0.0.0:35461']
[ 2026-02-15 22:01:25 | 0.0.0.0:42453 | INFO ] 🎉 Round 93 of 100 finished.
[ 2026-02-15 22:01:25 | 0.0.0.0:57855 | INFO ] 🧩 Model added for round 93 (2/7) from ['0.0.0.0:45461']
[ 2026-02-15 22:01:25 | 0.0.0.0:54027 | INFO ] 🧩 Model added for round 93 (5/10) from ['0.0.0.0:34965']
[ 2026-02-15 22:01:25 | 0.0.0.0:42453 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-15 22:01:25 | 0.0.0.0:57461 | INFO ] 📤 Sending model to 5 direct neighbors: ['0.0.0.0:36927', '0.0.0.0:53859', '0.0.0.0:51375', '0.0.0.0:42453', '0.0.0.0:40143']
[ 2026-02-15 22:01:25 | 0.0.0.0:34965 | INFO ] 🧩 Model added for round 93 (8/10) from ['0.0.0.0:58125']
[ 2026-02-15 22:01:25 | 0.0.0.0:56797 | INFO ] 🧩 Model added for round 93 (7/7) from ['0.0.0.0:35401']
[ 2026-02-15 22:01:25 | 0.0.0.0:48293 | INFO ] 🎉 Round 93 of 100 finished.
[ 2026-02-15 22:01:25 | 0.0.0.0:43941 | INFO ] 🎉 Round 93 of 100 finished.
[ 2026-02-15 22:01:25 | 0.0.0.0:54027 | INFO ] 🧩 Model added for round 93 (6/10) from ['0.0.0.0:53735']
[ 2026-02-15 22:01:25 | 0.0.0.0:42453 | INFO ] ♻️ Proactively processing 3 early models for round 93.
[ 2026-02-15 22:01:25 | 0.0.0.0:48293 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-15 22:01:25 | 0.0.0.0:53735 | INFO ] 🧩 Model added for round 93 (5/10) from ['0.0.0.0:38715']
[ 2026-02-15 22:01:25 | 0.0.0.0:42453 | INFO ] 🧩 Model added for round 93 (1/12) from ['0.0.0.0:57855']
[ 2026-02-15 22:01:25 | 0.0.0.0:43941 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-15 22:01:26 | 0.0.0.0:40143 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 22:01:26 | 0.0.0.0:42453 | INFO ] 🧩 Model added for round 93 (2/12) from ['0.0.0.0:40797']
[ 2026-02-15 22:01:26 | 0.0.0.0:42453 | INFO ] 🧩 Model added for round 93 (3/12) from ['0.0.0.0:35461']
[ 2026-02-15 22:01:26 | 0.0.0.0:36927 | INFO ] 🧩 Model added for round 93 (6/8) from ['0.0.0.0:57461']
[ 2026-02-15 22:01:26 | 0.0.0.0:48293 | INFO ] ♻️ Proactively processing 8 early models for round 93.
[ 2026-02-15 22:01:26 | 0.0.0.0:42453 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 22:01:26 | 0.0.0.0:43941 | INFO ] ♻️ Proactively processing 9 early models for round 93.
[ 2026-02-15 22:01:26 | 0.0.0.0:48293 | INFO ] 🧩 Model added for round 93 (1/13) from ['0.0.0.0:53859']
[ 2026-02-15 22:01:27 | 0.0.0.0:40143 | INFO ] 🔬 Evaluating...
[ 2026-02-15 22:01:27 | 0.0.0.0:43941 | INFO ] 🧩 Model added for round 93 (1/14) from ['0.0.0.0:54027']
[ 2026-02-15 22:01:27 | 0.0.0.0:56797 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 22:01:27 | 0.0.0.0:48293 | INFO ] 🧩 Model added for round 93 (2/13) from ['0.0.0.0:36829']
[ 2026-02-15 22:01:27 | 0.0.0.0:54027 | INFO ] 🧩 Model added for round 93 (7/10) from ['0.0.0.0:50715']
[ 2026-02-15 22:01:27 | 0.0.0.0:43941 | INFO ] 🧩 Model added for round 93 (2/14) from ['0.0.0.0:55957']
[ 2026-02-15 22:01:27 | 0.0.0.0:48293 | INFO ] 🧩 Model added for round 93 (3/13) from ['0.0.0.0:53793']
[ 2026-02-15 22:01:27 | 0.0.0.0:43941 | INFO ] 🧩 Model added for round 93 (3/14) from ['0.0.0.0:38857']
[ 2026-02-15 22:01:27 | 0.0.0.0:48293 | INFO ] 🧩 Model added for round 93 (4/13) from ['0.0.0.0:51375']
[ 2026-02-15 22:01:27 | 0.0.0.0:40143 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.35976627469062805, 'test_acc': 0.9623655676841736, 'test_precision': 0.8432865142822266, 'test_recall': 0.8157476782798767, 'test_f1': 0.8278183341026306}
[ 2026-02-15 22:01:27 | 0.0.0.0:42453 | INFO ] 🎓 Training step done.
[ 2026-02-15 22:01:27 | 0.0.0.0:43941 | INFO ] 🧩 Model added for round 93 (4/14) from ['0.0.0.0:40797']
[ 2026-02-15 22:01:27 | 0.0.0.0:48293 | INFO ] 🧩 Model added for round 93 (5/13) from ['0.0.0.0:54425']
[ 2026-02-15 22:01:27 | 0.0.0.0:42453 | INFO ] 🛠️ Calling force_add_local_model...
