[ 2026-02-16 07:17:41 | 0.0.0.0:49691 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-16 07:17:41 | 0.0.0.0:34309 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-16 07:17:41 | 0.0.0.0:51729 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_acc': 0.0, 'test_precision': 0.0, 'test_recall': 0.0, 'test_f1': 0.0}
[ 2026-02-16 07:17:41 | 0.0.0.0:43835 | INFO ] 🔬 Evaluating...
[ 2026-02-16 07:17:41 | 0.0.0.0:50951 | INFO ] 🤫 Gossip finished.
[ 2026-02-16 07:17:41 | 0.0.0.0:51729 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-16 07:17:42 | 0.0.0.0:50951 | INFO ] 🔬 Evaluating...
[ 2026-02-16 07:17:42 | 0.0.0.0:34309 | INFO ] 🔬 Evaluating...
[ 2026-02-16 07:17:42 | 0.0.0.0:34843 | INFO ] 📤 Sending model to 5 direct neighbors: ['0.0.0.0:55601', '0.0.0.0:43721', '0.0.0.0:35995', '0.0.0.0:41621', '0.0.0.0:48087']
[ 2026-02-16 07:17:42 | 0.0.0.0:43835 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_acc': 0.0, 'test_precision': 0.0, 'test_recall': 0.0, 'test_f1': 0.0}
[ 2026-02-16 07:17:42 | 0.0.0.0:34167 | INFO ] 🎉 Round 52 of 100 finished.
[ 2026-02-16 07:17:42 | 0.0.0.0:43835 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-16 07:17:42 | 0.0.0.0:51871 | INFO ] 🎓 Training step done.
[ 2026-02-16 07:17:42 | 0.0.0.0:44363 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 07:17:42 | 0.0.0.0:50951 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_acc': 0.4761904776096344, 'test_precision': 0.2380952388048172, 'test_recall': 0.5, 'test_f1': 0.32258063554763794}
[ 2026-02-16 07:17:42 | 0.0.0.0:34167 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-16 07:17:42 | 0.0.0.0:34309 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_acc': 0.0, 'test_precision': 0.0, 'test_recall': 0.0, 'test_f1': 0.0}
[ 2026-02-16 07:17:42 | 0.0.0.0:51871 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-16 07:17:42 | 0.0.0.0:50951 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-16 07:17:42 | 0.0.0.0:34309 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-16 07:17:42 | 0.0.0.0:51871 | INFO ] ✅ [FORCE] Local model added for round 52. (1/6)
[ 2026-02-16 07:17:42 | 0.0.0.0:50639 | INFO ] 🤫 Gossip finished.
[ 2026-02-16 07:17:42 | 0.0.0.0:34167 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-16 07:17:42 | 0.0.0.0:50639 | INFO ] 🔬 Evaluating...
[ 2026-02-16 07:17:42 | 0.0.0.0:58041 | INFO ] 🎉 Round 52 of 100 finished.
[ 2026-02-16 07:17:42 | 0.0.0.0:58041 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-16 07:17:42 | 0.0.0.0:34167 | INFO ] 🎓 Training step done.
