[ 2026-02-16 09:31:26 | 0.0.0.0:57251 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_acc': 0.0, 'test_precision': 0.0, 'test_recall': 0.0, 'test_f1': 0.0}
[ 2026-02-16 09:31:27 | 0.0.0.0:57251 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-16 09:31:27 | 0.0.0.0:43911 | INFO ] 📤 Sending model to 11 direct neighbors: ['0.0.0.0:41421', '0.0.0.0:46265', '0.0.0.0:50899', '0.0.0.0:53423', '0.0.0.0:37353', '0.0.0.0:49255', '0.0.0.0:50765', '0.0.0.0:52507', '0.0.0.0:48549', '0.0.0.0:36361', '0.0.0.0:41189']
[ 2026-02-16 09:31:27 | 0.0.0.0:36361 | INFO ] 🧩 Model added for round 94 (8/10) from ['0.0.0.0:38387']
[ 2026-02-16 09:31:27 | 0.0.0.0:59421 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 09:31:27 | 0.0.0.0:57251 | INFO ] 🎉 Round 95 of 100 finished.
[ 2026-02-16 09:31:27 | 0.0.0.0:57251 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-16 09:31:27 | 0.0.0.0:57251 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-16 09:31:28 | 0.0.0.0:41421 | INFO ] 🧩 Model added for round 94 (6/7) from ['0.0.0.0:43911']
[ 2026-02-16 09:31:28 | 0.0.0.0:36603 | INFO ] 🧩 Model added for round 94 (8/9) from ['0.0.0.0:53423']
[ 2026-02-16 09:31:28 | 0.0.0.0:57251 | INFO ] 🎓 Training step done.
[ 2026-02-16 09:31:28 | 0.0.0.0:51637 | INFO ] 🧩 Model added for round 94 (7/7) from ['0.0.0.0:33615']
[ 2026-02-16 09:31:28 | 0.0.0.0:57251 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-16 09:31:28 | 0.0.0.0:57251 | INFO ] ✅ [FORCE] Local model added for round 95. (1/3)
[ 2026-02-16 09:31:28 | 0.0.0.0:57981 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-16 09:31:29 | 0.0.0.0:57981 | INFO ] 🔬 Evaluating...
[ 2026-02-16 09:31:29 | 0.0.0.0:57981 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_acc': 0.0, 'test_precision': 0.0, 'test_recall': 0.0, 'test_f1': 0.0}
[ 2026-02-16 09:31:29 | 0.0.0.0:57981 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-16 09:31:29 | 0.0.0.0:46265 | INFO ] 🧩 Model added for round 94 (11/14) from ['0.0.0.0:43911']
[ 2026-02-16 09:31:29 | 0.0.0.0:41189 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-02-16 09:31:29 | 0.0.0.0:41189 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-16 09:31:29 | 0.0.0.0:53491 | INFO ] 📤 Sending model to 10 direct neighbors: ['0.0.0.0:53381', '0.0.0.0:55911', '0.0.0.0:47945', '0.0.0.0:37353', '0.0.0.0:35987', '0.0.0.0:43899', '0.0.0.0:59179', '0.0.0.0:33615', '0.0.0.0:50485', '0.0.0.0:52201']
[ 2026-02-16 09:31:29 | 0.0.0.0:41189 | INFO ] ♻️ Proactively processing 9 early models for round 94.
[ 2026-02-16 09:31:29 | 0.0.0.0:41189 | INFO ] 🧩 Model added for round 94 (1/13) from ['0.0.0.0:36603']
[ 2026-02-16 09:31:29 | 0.0.0.0:41189 | INFO ] 🧩 Model added for round 94 (2/13) from ['0.0.0.0:37919']
[ 2026-02-16 09:31:29 | 0.0.0.0:41189 | INFO ] 🧩 Model added for round 94 (3/13) from ['0.0.0.0:35987']
[ 2026-02-16 09:31:29 | 0.0.0.0:41189 | INFO ] 🧩 Model added for round 94 (4/13) from ['0.0.0.0:48549']
[ 2026-02-16 09:31:29 | 0.0.0.0:41189 | INFO ] 🧩 Model added for round 94 (5/13) from ['0.0.0.0:50485']
[ 2026-02-16 09:31:29 | 0.0.0.0:41189 | INFO ] 🧩 Model added for round 94 (6/13) from ['0.0.0.0:34671']
[ 2026-02-16 09:31:29 | 0.0.0.0:41189 | INFO ] 🧩 Model added for round 94 (7/13) from ['0.0.0.0:47749']
[ 2026-02-16 09:31:29 | 0.0.0.0:40721 | INFO ] 🧩 Model added for round 94 (7/8) from ['0.0.0.0:53423']
[ 2026-02-16 09:31:29 | 0.0.0.0:41189 | INFO ] 🧩 Model added for round 94 (8/13) from ['0.0.0.0:43899']
[ 2026-02-16 09:31:29 | 0.0.0.0:41189 | INFO ] 🧩 Model added for round 94 (9/13) from ['0.0.0.0:38387']
[ 2026-02-16 09:31:29 | 0.0.0.0:41189 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-16 09:31:29 | 0.0.0.0:32981 | INFO ] 🧩 Model added for round 94 (6/9) from ['0.0.0.0:33615']
[ 2026-02-16 09:31:30 | 0.0.0.0:51637 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 09:31:30 | 0.0.0.0:41189 | INFO ] 🎓 Training step done.
[ 2026-02-16 09:31:30 | 0.0.0.0:53381 | INFO ] 🧩 Model added for round 94 (6/6) from ['0.0.0.0:53491']
[ 2026-02-16 09:31:30 | 0.0.0.0:41189 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-16 09:31:30 | 0.0.0.0:41189 | INFO ] ✅ [FORCE] Local model added for round 94. (10/13)
