[ 2026-02-16 09:26:46 | 0.0.0.0:38557 | INFO ] 🎉 Round 93 of 100 finished.
[ 2026-02-16 09:26:46 | 0.0.0.0:55401 | INFO ] 📤 Sending model to 9 direct neighbors: ['0.0.0.0:57541', '0.0.0.0:40253', '0.0.0.0:40069', '0.0.0.0:58253', '0.0.0.0:58933', '0.0.0.0:51361', '0.0.0.0:59409', '0.0.0.0:34811', '0.0.0.0:40999']
[ 2026-02-16 09:26:46 | 0.0.0.0:59409 | INFO ] 🧩 Model added for round 93 (5/10) from ['0.0.0.0:52487']
[ 2026-02-16 09:26:46 | 0.0.0.0:41921 | INFO ] 🧩 Model added for round 93 (1/8) from ['0.0.0.0:58777']
[ 2026-02-16 09:26:46 | 0.0.0.0:49189 | INFO ] 🧩 Model added for round 93 (5/6) from ['0.0.0.0:57803']
[ 2026-02-16 09:26:46 | 0.0.0.0:41921 | INFO ] 🧩 Model added for round 93 (2/8) from ['0.0.0.0:38047']
[ 2026-02-16 09:26:46 | 0.0.0.0:38557 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-16 09:26:46 | 0.0.0.0:52015 | INFO ] 🔬 Evaluating...
[ 2026-02-16 09:26:46 | 0.0.0.0:41921 | INFO ] 🧩 Model added for round 93 (3/8) from ['0.0.0.0:49415']
[ 2026-02-16 09:26:46 | 0.0.0.0:41921 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-16 09:26:46 | 0.0.0.0:38557 | INFO ] ♻️ Proactively processing 3 early models for round 93.
[ 2026-02-16 09:26:46 | 0.0.0.0:52015 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.2384273111820221, 'test_acc': 0.9300000071525574, 'test_precision': 0.32952380180358887, 'test_recall': 0.31445711851119995, 'test_f1': 0.32162556052207947}
[ 2026-02-16 09:26:46 | 0.0.0.0:57541 | INFO ] 🧩 Model added for round 93 (8/10) from ['0.0.0.0:55401']
[ 2026-02-16 09:26:46 | 0.0.0.0:38557 | INFO ] 🧩 Model added for round 93 (1/8) from ['0.0.0.0:34505']
[ 2026-02-16 09:26:46 | 0.0.0.0:38557 | INFO ] 🧩 Model added for round 93 (2/8) from ['0.0.0.0:46003']
[ 2026-02-16 09:26:46 | 0.0.0.0:52015 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-16 09:26:46 | 0.0.0.0:38557 | INFO ] 🧩 Model added for round 93 (3/8) from ['0.0.0.0:34551']
[ 2026-02-16 09:26:46 | 0.0.0.0:38557 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-16 09:26:46 | 0.0.0.0:41921 | INFO ] 🎓 Training step done.
[ 2026-02-16 09:26:46 | 0.0.0.0:41921 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-16 09:26:46 | 0.0.0.0:41921 | INFO ] ✅ [FORCE] Local model added for round 93. (4/8)
[ 2026-02-16 09:26:46 | 0.0.0.0:51361 | INFO ] 🧩 Model added for round 93 (4/6) from ['0.0.0.0:58933']
[ 2026-02-16 09:26:46 | 0.0.0.0:38557 | INFO ] 🎓 Training step done.
[ 2026-02-16 09:26:46 | 0.0.0.0:47889 | INFO ] 🧩 Model added for round 93 (6/9) from ['0.0.0.0:41815']
[ 2026-02-16 09:26:46 | 0.0.0.0:38557 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-16 09:26:47 | 0.0.0.0:35475 | INFO ] 🧩 Model added for round 93 (4/6) from ['0.0.0.0:35973']
[ 2026-02-16 09:26:47 | 0.0.0.0:38557 | INFO ] ✅ [FORCE] Local model added for round 93. (4/8)
[ 2026-02-16 09:26:47 | 0.0.0.0:55529 | INFO ] 🧩 Model added for round 93 (4/9) from ['0.0.0.0:37651']
[ 2026-02-16 09:26:47 | 0.0.0.0:34811 | INFO ] 🧩 Model added for round 93 (4/7) from ['0.0.0.0:57803']
[ 2026-02-16 09:26:47 | 0.0.0.0:58403 | INFO ] 🧩 Model added for round 93 (5/9) from ['0.0.0.0:49455']
[ 2026-02-16 09:26:47 | 0.0.0.0:38047 | INFO ] 🧩 Model added for round 93 (5/6) from ['0.0.0.0:35475']
[ 2026-02-16 09:26:47 | 0.0.0.0:48911 | INFO ] 🧩 Model added for round 93 (3/8) from ['0.0.0.0:52487']
[ 2026-02-16 09:26:47 | 0.0.0.0:39231 | INFO ] 🧩 Model added for round 93 (3/6) from ['0.0.0.0:53263']
[ 2026-02-16 09:26:47 | 0.0.0.0:57077 | INFO ] 🎉 Round 93 of 100 finished.
[ 2026-02-16 09:26:47 | 0.0.0.0:38781 | INFO ] 📤 Sending model to 7 direct neighbors: ['0.0.0.0:60887', '0.0.0.0:32787', '0.0.0.0:33193', '0.0.0.0:57803', '0.0.0.0:52015', '0.0.0.0:38557', '0.0.0.0:47349']
[ 2026-02-16 09:26:47 | 0.0.0.0:57077 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-16 09:26:47 | 0.0.0.0:43575 | INFO ] 📤 Sending model to 7 direct neighbors: ['0.0.0.0:40533', '0.0.0.0:60887', '0.0.0.0:40069', '0.0.0.0:48911', '0.0.0.0:46003', '0.0.0.0:47349', '0.0.0.0:57077']
[ 2026-02-16 09:26:47 | 0.0.0.0:59409 | INFO ] 🧩 Model added for round 93 (6/10) from ['0.0.0.0:58933']
[ 2026-02-16 09:26:47 | 0.0.0.0:58889 | INFO ] 🧩 Model added for round 93 (5/9) from ['0.0.0.0:38053']
[ 2026-02-16 09:26:47 | 0.0.0.0:40069 | INFO ] 🎉 Round 93 of 100 finished.
[ 2026-02-16 09:26:47 | 0.0.0.0:57077 | INFO ] ♻️ Proactively processing 2 early models for round 93.
[ 2026-02-16 09:26:47 | 0.0.0.0:57077 | INFO ] 🧩 Model added for round 93 (1/9) from ['0.0.0.0:55529']
[ 2026-02-16 09:26:48 | 0.0.0.0:40069 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-16 09:26:48 | 0.0.0.0:60887 | INFO ] 🧩 Model added for round 93 (4/8) from ['0.0.0.0:38781']
[ 2026-02-16 09:26:48 | 0.0.0.0:57077 | INFO ] 🧩 Model added for round 93 (2/9) from ['0.0.0.0:58889']
[ 2026-02-16 09:26:48 | 0.0.0.0:57077 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-16 09:26:48 | 0.0.0.0:40533 | INFO ] 🧩 Model added for round 93 (6/9) from ['0.0.0.0:43575']
[ 2026-02-16 09:26:48 | 0.0.0.0:40069 | INFO ] ♻️ Proactively processing 5 early models for round 93.
[ 2026-02-16 09:26:48 | 0.0.0.0:58239 | INFO ] 🧩 Model added for round 93 (5/6) from ['0.0.0.0:41815']
[ 2026-02-16 09:26:48 | 0.0.0.0:40069 | INFO ] 🧩 Model added for round 93 (1/12) from ['0.0.0.0:57541']
[ 2026-02-16 09:26:48 | 0.0.0.0:53263 | INFO ] 🧩 Model added for round 93 (6/11) from ['0.0.0.0:57803']
[ 2026-02-16 09:26:48 | 0.0.0.0:40069 | INFO ] 🧩 Model added for round 93 (2/12) from ['0.0.0.0:34551']
[ 2026-02-16 09:26:48 | 0.0.0.0:35973 | INFO ] 🧩 Model added for round 93 (6/8) from ['0.0.0.0:35475']
[ 2026-02-16 09:26:48 | 0.0.0.0:57077 | INFO ] 🎓 Training step done.
[ 2026-02-16 09:26:48 | 0.0.0.0:40069 | INFO ] 🧩 Model added for round 93 (3/12) from ['0.0.0.0:59409']
[ 2026-02-16 09:26:48 | 0.0.0.0:48911 | INFO ] 🧩 Model added for round 93 (4/8) from ['0.0.0.0:37651']
[ 2026-02-16 09:26:48 | 0.0.0.0:57077 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-16 09:26:48 | 0.0.0.0:40069 | INFO ] 🧩 Model added for round 93 (4/12) from ['0.0.0.0:35475']
[ 2026-02-16 09:26:48 | 0.0.0.0:40069 | INFO ] 🧩 Model added for round 93 (5/12) from ['0.0.0.0:38053']
[ 2026-02-16 09:26:48 | 0.0.0.0:57077 | INFO ] ✅ [FORCE] Local model added for round 93. (3/9)
[ 2026-02-16 09:26:48 | 0.0.0.0:40069 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-16 09:26:48 | 0.0.0.0:40069 | INFO ] 🧩 Model added for round 93 (6/12) from ['0.0.0.0:55401']
[ 2026-02-16 09:26:48 | 0.0.0.0:40173 | INFO ] 📤 Sending model to 9 direct neighbors: ['0.0.0.0:60887', '0.0.0.0:40069', '0.0.0.0:55529', '0.0.0.0:49455', '0.0.0.0:46003', '0.0.0.0:52015', '0.0.0.0:41921', '0.0.0.0:37621', '0.0.0.0:57077']
[ 2026-02-16 09:26:48 | 0.0.0.0:40173 | INFO ] 🧩 Model added for round 93 (6/10) from ['0.0.0.0:49455']
[ 2026-02-16 09:26:48 | 0.0.0.0:59833 | INFO ] 📤 Sending model to 8 direct neighbors: ['0.0.0.0:49415', '0.0.0.0:60887', '0.0.0.0:32787', '0.0.0.0:40253', '0.0.0.0:58253', '0.0.0.0:38053', '0.0.0.0:57803', '0.0.0.0:52015']
[ 2026-02-16 09:26:48 | 0.0.0.0:34811 | INFO ] 🧩 Model added for round 93 (5/7) from ['0.0.0.0:53263']
[ 2026-02-16 09:26:48 | 0.0.0.0:40069 | INFO ] 🎓 Training step done.
[ 2026-02-16 09:26:48 | 0.0.0.0:38053 | INFO ] 🧩 Model added for round 93 (6/12) from ['0.0.0.0:52487']
[ 2026-02-16 09:26:48 | 0.0.0.0:40069 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-16 09:26:48 | 0.0.0.0:60887 | INFO ] 🧩 Model added for round 93 (5/8) from ['0.0.0.0:40173']
[ 2026-02-16 09:26:49 | 0.0.0.0:40069 | INFO ] ✅ [FORCE] Local model added for round 93. (7/12)
[ 2026-02-16 09:26:49 | 0.0.0.0:49415 | INFO ] 🧩 Model added for round 93 (7/9) from ['0.0.0.0:59833']
[ 2026-02-16 09:26:49 | 0.0.0.0:53263 | INFO ] 🧩 Model added for round 93 (7/11) from ['0.0.0.0:41815']
[ 2026-02-16 09:26:49 | 0.0.0.0:58253 | INFO ] 📤 Sending model to 11 direct neighbors: ['0.0.0.0:59833', '0.0.0.0:57541', '0.0.0.0:32787', '0.0.0.0:55529', '0.0.0.0:58933', '0.0.0.0:49455', '0.0.0.0:48911', '0.0.0.0:39231', '0.0.0.0:55401', '0.0.0.0:58403', '0.0.0.0:41921']
[ 2026-02-16 09:26:49 | 0.0.0.0:47349 | INFO ] 📤 Sending model to 7 direct neighbors: ['0.0.0.0:45001', '0.0.0.0:60887', '0.0.0.0:38781', '0.0.0.0:33193', '0.0.0.0:47889', '0.0.0.0:46003', '0.0.0.0:43575']
[ 2026-02-16 09:26:49 | 0.0.0.0:52487 | INFO ] 🧩 Model added for round 93 (9/10) from ['0.0.0.0:38053']
[ 2026-02-16 09:26:49 | 0.0.0.0:55401 | INFO ] 🧩 Model added for round 93 (6/10) from ['0.0.0.0:58933']
[ 2026-02-16 09:26:49 | 0.0.0.0:60887 | INFO ] 🧩 Model added for round 93 (6/8) from ['0.0.0.0:43575']
[ 2026-02-16 09:26:49 | 0.0.0.0:59833 | INFO ] 🧩 Model added for round 93 (6/9) from ['0.0.0.0:58253']
[ 2026-02-16 09:26:49 | 0.0.0.0:38053 | INFO ] 🧩 Model added for round 93 (7/12) from ['0.0.0.0:37651']
[ 2026-02-16 09:26:49 | 0.0.0.0:45001 | INFO ] 🎉 Round 93 of 100 finished.
[ 2026-02-16 09:26:50 | 0.0.0.0:45001 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-16 09:26:50 | 0.0.0.0:60887 | INFO ] 🧩 Model added for round 93 (7/8) from ['0.0.0.0:47349']
[ 2026-02-16 09:26:50 | 0.0.0.0:57803 | INFO ] 🧩 Model added for round 93 (11/12) from ['0.0.0.0:38781']
[ 2026-02-16 09:26:50 | 0.0.0.0:45001 | INFO ] ♻️ Proactively processing 7 early models for round 93.
[ 2026-02-16 09:26:50 | 0.0.0.0:45001 | INFO ] 🧩 Model added for round 93 (1/12) from ['0.0.0.0:44009']
[ 2026-02-16 09:26:50 | 0.0.0.0:45001 | INFO ] 🧩 Model added for round 93 (2/12) from ['0.0.0.0:49189']
[ 2026-02-16 09:26:50 | 0.0.0.0:40069 | INFO ] 🧩 Model added for round 93 (8/12) from ['0.0.0.0:40173']
[ 2026-02-16 09:26:50 | 0.0.0.0:41815 | INFO ] 🧩 Model added for round 93 (6/8) from ['0.0.0.0:53263']
[ 2026-02-16 09:26:50 | 0.0.0.0:45001 | INFO ] 🧩 Model added for round 93 (3/12) from ['0.0.0.0:55529']
[ 2026-02-16 09:26:50 | 0.0.0.0:45001 | INFO ] 🧩 Model added for round 93 (4/12) from ['0.0.0.0:37621']
[ 2026-02-16 09:26:50 | 0.0.0.0:45001 | INFO ] 🧩 Model added for round 93 (5/12) from ['0.0.0.0:58403']
[ 2026-02-16 09:26:50 | 0.0.0.0:40533 | INFO ] 📤 Sending model to 8 direct neighbors: ['0.0.0.0:45001', '0.0.0.0:40253', '0.0.0.0:40069', '0.0.0.0:47889', '0.0.0.0:49455', '0.0.0.0:56935', '0.0.0.0:43575', '0.0.0.0:53263']
[ 2026-02-16 09:26:50 | 0.0.0.0:58253 | INFO ] 🧩 Model added for round 93 (9/12) from ['0.0.0.0:55401']
[ 2026-02-16 09:26:50 | 0.0.0.0:45001 | INFO ] 🧩 Model added for round 93 (6/12) from ['0.0.0.0:37651']
[ 2026-02-16 09:26:50 | 0.0.0.0:45001 | INFO ] 🧩 Model added for round 93 (7/12) from ['0.0.0.0:47349']
[ 2026-02-16 09:26:50 | 0.0.0.0:60887 | INFO ] 🧩 Model added for round 93 (8/8) from ['0.0.0.0:59833']
[ 2026-02-16 09:26:50 | 0.0.0.0:45001 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-16 09:26:50 | 0.0.0.0:46003 | INFO ] 🧩 Model added for round 93 (2/6) from ['0.0.0.0:52487']
[ 2026-02-16 09:26:51 | 0.0.0.0:45001 | INFO ] 🧩 Model added for round 93 (8/12) from ['0.0.0.0:40533']
[ 2026-02-16 09:26:51 | 0.0.0.0:45001 | INFO ] 🎓 Training step done.
[ 2026-02-16 09:26:51 | 0.0.0.0:41921 | INFO ] 📤 Sending model to 7 direct neighbors: ['0.0.0.0:49415', '0.0.0.0:40253', '0.0.0.0:58253', '0.0.0.0:58777', '0.0.0.0:38047', '0.0.0.0:38053', '0.0.0.0:40173']
[ 2026-02-16 09:26:51 | 0.0.0.0:45001 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-16 09:26:52 | 0.0.0.0:38557 | INFO ] 📤 Sending model to 7 direct neighbors: ['0.0.0.0:34551', '0.0.0.0:38781', '0.0.0.0:34505', '0.0.0.0:33193', '0.0.0.0:46003', '0.0.0.0:52015', '0.0.0.0:41815']
[ 2026-02-16 09:26:52 | 0.0.0.0:45001 | INFO ] ✅ [FORCE] Local model added for round 93. (9/12)
[ 2026-02-16 09:26:52 | 0.0.0.0:40069 | INFO ] 🧩 Model added for round 93 (9/12) from ['0.0.0.0:43575']
[ 2026-02-16 09:26:52 | 0.0.0.0:48911 | INFO ] 🧩 Model added for round 93 (5/8) from ['0.0.0.0:38053']
[ 2026-02-16 09:26:52 | 0.0.0.0:38557 | INFO ] 🧩 Model added for round 93 (5/8) from ['0.0.0.0:41815']
[ 2026-02-16 09:26:52 | 0.0.0.0:57541 | INFO ] 🧩 Model added for round 93 (9/10) from ['0.0.0.0:58253']
[ 2026-02-16 09:26:52 | 0.0.0.0:60887 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 09:26:52 | 0.0.0.0:49415 | INFO ] 🧩 Model added for round 93 (8/9) from ['0.0.0.0:41921']
[ 2026-02-16 09:26:52 | 0.0.0.0:34551 | INFO ] 🧩 Model added for round 93 (4/6) from ['0.0.0.0:38557']
[ 2026-02-16 09:26:52 | 0.0.0.0:38781 | INFO ] 🧩 Model added for round 93 (4/8) from ['0.0.0.0:47349']
[ 2026-02-16 09:26:52 | 0.0.0.0:34811 | INFO ] 🧩 Model added for round 93 (6/7) from ['0.0.0.0:37651']
[ 2026-02-16 09:26:53 | 0.0.0.0:58403 | INFO ] 🧩 Model added for round 93 (6/9) from ['0.0.0.0:52487']
[ 2026-02-16 09:26:53 | 0.0.0.0:55529 | INFO ] 🧩 Model added for round 93 (5/9) from ['0.0.0.0:40173']
[ 2026-02-16 09:26:53 | 0.0.0.0:60887 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 09:26:53 | 0.0.0.0:57077 | INFO ] 📤 Sending model to 8 direct neighbors: ['0.0.0.0:45001', '0.0.0.0:32787', '0.0.0.0:58889', '0.0.0.0:55529', '0.0.0.0:43575', '0.0.0.0:52015', '0.0.0.0:40999', '0.0.0.0:40173']
[ 2026-02-16 09:26:53 | 0.0.0.0:38557 | INFO ] 🧩 Model added for round 93 (6/8) from ['0.0.0.0:38781']
[ 2026-02-16 09:26:53 | 0.0.0.0:37651 | INFO ] 🧩 Model added for round 93 (6/8) from ['0.0.0.0:38053']
[ 2026-02-16 09:26:53 | 0.0.0.0:58933 | INFO ] 🧩 Model added for round 93 (5/9) from ['0.0.0.0:55401']
[ 2026-02-16 09:26:53 | 0.0.0.0:38781 | INFO ] 🧩 Model added for round 93 (5/8) from ['0.0.0.0:38557']
[ 2026-02-16 09:26:53 | 0.0.0.0:52015 | INFO ] 🎉 Round 93 of 100 finished.
[ 2026-02-16 09:26:53 | 0.0.0.0:45001 | INFO ] 🧩 Model added for round 93 (10/12) from ['0.0.0.0:57077']
[ 2026-02-16 09:26:54 | 0.0.0.0:58253 | INFO ] 🧩 Model added for round 93 (10/12) from ['0.0.0.0:59833']
[ 2026-02-16 09:26:54 | 0.0.0.0:52015 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-16 09:26:54 | 0.0.0.0:40069 | INFO ] 📤 Sending model to 11 direct neighbors: ['0.0.0.0:40533', '0.0.0.0:57541', '0.0.0.0:34551', '0.0.0.0:33193', '0.0.0.0:59409', '0.0.0.0:38053', '0.0.0.0:55401', '0.0.0.0:43575', '0.0.0.0:40999', '0.0.0.0:40173', '0.0.0.0:35475']
[ 2026-02-16 09:26:54 | 0.0.0.0:48911 | INFO ] 🧩 Model added for round 93 (6/8) from ['0.0.0.0:43575']
[ 2026-02-16 09:26:54 | 0.0.0.0:52015 | INFO ] ♻️ Proactively processing 6 early models for round 93.
[ 2026-02-16 09:26:54 | 0.0.0.0:52015 | INFO ] 🧩 Model added for round 93 (1/15) from ['0.0.0.0:59409']
[ 2026-02-16 09:26:54 | 0.0.0.0:52015 | INFO ] 🧩 Model added for round 93 (2/15) from ['0.0.0.0:35973']
[ 2026-02-16 09:26:54 | 0.0.0.0:52015 | INFO ] 🧩 Model added for round 93 (3/15) from ['0.0.0.0:35475']
[ 2026-02-16 09:26:54 | 0.0.0.0:40069 | INFO ] 🧩 Model added for round 93 (10/12) from ['0.0.0.0:40533']
[ 2026-02-16 09:26:54 | 0.0.0.0:58253 | INFO ] 🧩 Model added for round 93 (11/12) from ['0.0.0.0:41921']
[ 2026-02-16 09:26:54 | 0.0.0.0:40533 | INFO ] 🧩 Model added for round 93 (7/9) from ['0.0.0.0:40069']
[ 2026-02-16 09:26:54 | 0.0.0.0:52015 | INFO ] 🧩 Model added for round 93 (4/15) from ['0.0.0.0:58933']
[ 2026-02-16 09:26:54 | 0.0.0.0:52015 | INFO ] 🧩 Model added for round 93 (5/15) from ['0.0.0.0:52487']
[ 2026-02-16 09:26:54 | 0.0.0.0:55529 | INFO ] 🧩 Model added for round 93 (6/9) from ['0.0.0.0:58253']
[ 2026-02-16 09:26:54 | 0.0.0.0:47889 | INFO ] 🧩 Model added for round 93 (7/9) from ['0.0.0.0:47349']
[ 2026-02-16 09:26:54 | 0.0.0.0:52015 | INFO ] 🧩 Model added for round 93 (6/15) from ['0.0.0.0:38781']
[ 2026-02-16 09:26:54 | 0.0.0.0:52015 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-16 09:26:54 | 0.0.0.0:52015 | INFO ] 🎓 Training step done.
[ 2026-02-16 09:26:54 | 0.0.0.0:47349 | INFO ] 🧩 Model added for round 93 (5/8) from ['0.0.0.0:38781']
[ 2026-02-16 09:26:54 | 0.0.0.0:49455 | INFO ] 🧩 Model added for round 93 (7/11) from ['0.0.0.0:40173']
[ 2026-02-16 09:26:54 | 0.0.0.0:52015 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-16 09:26:55 | 0.0.0.0:52015 | INFO ] 🧩 Model added for round 93 (7/15) from ['0.0.0.0:38053']
[ 2026-02-16 09:26:55 | 0.0.0.0:51361 | INFO ] 🧩 Model added for round 93 (5/6) from ['0.0.0.0:55401']
[ 2026-02-16 09:26:55 | 0.0.0.0:34505 | INFO ] 🧩 Model added for round 93 (7/7) from ['0.0.0.0:38557']
[ 2026-02-16 09:26:55 | 0.0.0.0:52015 | INFO ] ✅ [FORCE] Local model added for round 93. (8/15)
[ 2026-02-16 09:26:56 | 0.0.0.0:46003 | INFO ] 🧩 Model added for round 93 (3/6) from ['0.0.0.0:43575']
[ 2026-02-16 09:26:56 | 0.0.0.0:34505 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 09:26:56 | 0.0.0.0:38053 | INFO ] 🧩 Model added for round 93 (8/12) from ['0.0.0.0:59833']
[ 2026-02-16 09:26:56 | 0.0.0.0:57541 | INFO ] 🧩 Model added for round 93 (10/10) from ['0.0.0.0:40069']
[ 2026-02-16 09:26:56 | 0.0.0.0:46003 | INFO ] 🧩 Model added for round 93 (4/6) from ['0.0.0.0:47349']
[ 2026-02-16 09:26:56 | 0.0.0.0:58933 | INFO ] 🧩 Model added for round 93 (6/9) from ['0.0.0.0:58253']
[ 2026-02-16 09:26:57 | 0.0.0.0:59409 | INFO ] 🧩 Model added for round 93 (7/10) from ['0.0.0.0:55401']
[ 2026-02-16 09:26:57 | 0.0.0.0:45001 | INFO ] 📤 Sending model to 11 direct neighbors: ['0.0.0.0:40533', '0.0.0.0:32787', '0.0.0.0:40253', '0.0.0.0:55529', '0.0.0.0:44009', '0.0.0.0:49189', '0.0.0.0:37651', '0.0.0.0:58403', '0.0.0.0:37621', '0.0.0.0:47349', '0.0.0.0:57077']
[ 2026-02-16 09:26:57 | 0.0.0.0:47889 | INFO ] 🧩 Model added for round 93 (8/9) from ['0.0.0.0:40533']
[ 2026-02-16 09:26:57 | 0.0.0.0:58889 | INFO ] 🧩 Model added for round 93 (6/9) from ['0.0.0.0:57077']
[ 2026-02-16 09:26:57 | 0.0.0.0:58777 | INFO ] 🧩 Model added for round 93 (8/8) from ['0.0.0.0:41921']
[ 2026-02-16 09:26:58 | 0.0.0.0:33193 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-16 09:26:59 | 0.0.0.0:46003 | INFO ] 🧩 Model added for round 93 (5/6) from ['0.0.0.0:38557']
[ 2026-02-16 09:26:59 | 0.0.0.0:47349 | INFO ] 🧩 Model added for round 93 (6/8) from ['0.0.0.0:43575']
[ 2026-02-16 09:26:59 | 0.0.0.0:40533 | INFO ] 🧩 Model added for round 93 (8/9) from ['0.0.0.0:45001']
[ 2026-02-16 09:26:59 | 0.0.0.0:57541 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 09:26:59 | 0.0.0.0:33193 | INFO ] 🔬 Evaluating...
[ 2026-02-16 09:26:59 | 0.0.0.0:46003 | INFO ] 🧩 Model added for round 93 (6/6) from ['0.0.0.0:40173']
[ 2026-02-16 09:26:59 | 0.0.0.0:34505 | INFO ] 🗣️ Gossiping aggregated model.
